No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	SL	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
467837	02/06/2014	ZSCR	551	035-1	0	'054	A2C53243155B	NA	A2C00003409	1	3011	054	1351	"15K,5%,TK250,125mW,0805,LIN RES/"		ROH	NA	0.01	PS_ARAMIS II MCG_F.FERN	NO	4978728801
467849	02/06/2014	ZSCR	551	035-1	0	'054	A2C31748900	NA	A2C00003974	16			1351	"R LIN,20R,5%,TK200,125mW,0805"		ROH	NA	0.16	PSAD_GM BRASIL_L.LPL AU	NO	4978728372
471385	09/06/2014	ZSCR	551	035-1	0	'054	A2C8153300092	NA	A2C00004336	24	3011	054	1351	"R LIN,2K55,1%,TK100,100mW,0603"		ROH	NA	0.24	PS_ARAMIS III_F.FERNAND	NO	4978728940
471385	09/06/2014	ZSCR	551	035-1	0	'054	A2C8153280092	NA	A2C00004336	48	3011	054	1351	"R LIN,2K55,1%,TK100,100mW,0603"		ROH	NA	0.48	PS_ARAMIS III_F.FERNAND	NO	4978728704
471385	09/06/2014	ZSCR	551	035-1	0	'054	A2C8661710092	NA	A2C00004336	35	3011	054	1351	"R LIN,2K55,1%,TK100,100mW,0603"		ROH	NA	0.35	PS_ARAMIS III_F.FERNAND	NO	4978729080
471385	09/06/2014	ZSCR	551	035-1	0	'054	A2C8153120092	NA	A2C00004336	143	3011	054	1351	"R LIN,2K55,1%,TK100,100mW,0603"		ROH	NA	1.43	PS_ARAMIS III_F.FERNAND	NO	4978728903
471386	09/06/2014	ZSCR	551	035-1	0	'054	A2C53243155B	NA	A2C00004336	133	3011	054	1351	"R LIN,2K55,1%,TK100,100mW,0603"		ROH	NA	1.33	PS_ARAMIS II MCG_F.FERN	NO	4978728801
471387	09/06/2014	ZSCR	551	035-1	0	'054	A2C8404350093	NA	A2C00002107	3	3011	054	1351	"100pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.06	PSAD_EPSILON_L.LPL AUTO	NO	4978729052
471389	09/06/2014	ZSCR	551	035-1	0	'054	A2C53395078	NA	A2C00016441	3	3011	054	1351	"R LIN,100R,1%,TK100,100mW,0603"		ROH	NA	0.03	OC_BOSE VW_L.LPL AUTOMA	NO	4978728888
471392	09/06/2014	ZSCR	551	035-1	0	'054	A2C53404915B	NA	A2C00019595	3	3011	054	1351	"R LIN,22K1,1%,TK100,63mW,0402"		ROH	NA	0.03	PS_HONDA HRS5_L.LPL AUT	NO	4978728929
471403	09/06/2014	ZSCR	551	035-1	0	'054	A2C9271190093	NA	A2C00000568	514	3011	054	1351	"T BIP/BC 847S E6327,SOT363"		ROH	NA	71.96	PSAD_DAIMLER STAR2_ISC_	NO	4978728656
471404	09/06/2014	ZSCR	551	035-1	0	'054	A2C8397200092	NA	A2C00010473	9	3011	054	1351	"47K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.09	PS_SDM10+_L.LPL AUTOMAT	NO	4978729014
471404	09/06/2014	ZSCR	551	035-1	0	'054	A2C8397200093	NA	A2C00000328	5	3011	054	1351	"70V,100mA,2,serial,FAST,SOT23,RECT DIODE"		ROH	NA	0.35	PS_SDM10+_L.LPL AUTOMAT	NO	4978729029
471404	09/06/2014	ZSCR	551	035-1	0	'054	A2C8397200093	NA	A2C00010473	33	3011	054	1351	"47K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.33	PS_SDM10+_L.LPL AUTOMAT	NO	4978729029
471404	09/06/2014	ZSCR	551	035-1	0	'054	A2C8334150093	NA	A2C00010473	19	3011	054	1351	"47K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.19	PS_SDM10+_L.LPL AUTOMAT	NO	4978728976
471404	09/06/2014	ZSCR	551	035-1	0	'054	A2C8397190093	NA	A2C00010473	40	3011	054	1351	"47K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.4	PS_SDM10+_L.LPL AUTOMAT	NO	4978728995
471405	09/06/2014	ZSCR	551	035-1	0	'054	A2C8397200092	NA	A2C00010473	9	3011	054	1351	"47K,1%,TK100,63mW,0402,LIN RES/CRCW"		ROH	NA	0.09	PS_SDM10+_L.LPL AUTOMAT	NO	4978729014
471406	09/06/2014	ZSCR	551	035-1	0	'054	A2C9257270092	NA	A2C00044219	13	3011	054	1351	"240R,1%,TK100,63mW,0603,LIN RES/RC"		ROH	NA	0.13	PS_SDM30_L.LPL AUTOMATI	NO	4978729113
471406	09/06/2014	ZSCR	551	035-1	0	'054	A2C9257240092	NA	A2C00044219	16	3011	054	1351	"240R,1%,TK100,63mW,0603,LIN RES/RC"		ROH	NA	0.16	PS_SDM30_L.LPL AUTOMATI	NO	4978729097
