No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	045		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
508449	20/08/2014	MB1A	951	025-3	NA	'045	NA	NA	A2C8480790093	40	3011	045		1253	pcb assy BCU Top	VUG102496	HALB	S.Real	3617.6	S4_PQ GATEWAY MY13_. (	NO	4981239944			
508449	20/08/2014	MB1A	951	025-3	NA	'045	NA	NA	A2C8480800093	24	3011	045		1253	pcb assy BCU Top	VUG102496	HALB	S.Real	2074.56	S4_PQ GATEWAY MY13_. (	NO	4981239944			
508449	20/08/2014	MB1A	951	025-3	NA	'045	NA	NA	A2C8480810093	56	3011	045		1253	pcb assy BCU Top	VUG102496	HALB	S.Real	4897.76	S4_PQ GATEWAY MY13_. (	NO	4981239944			
509280	22/08/2014	ZSCR	551	030-1	NA	'045	A2C8480790093	NA	A2C8480790093	1	3011	045		1301	pcb assy BCU Top	NA	HALB	S.Real	90.44	S4_PQ GATEWAY MY13_.	NO	4981239970			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00000345	25	3011	045		1351	"70V,250mA,2,FAST,SOT23,RECT DIODE/BAV70"		ROH	NA	1.75	S4_PQ25 LP3_P.PABLO TOR	NO	4981237075			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C3271310193	NA	A2C00000561	59	3011	045		1351	"1,PNP,NORMAL,500mA,45V,SOT23,BIP/BC807-4"		ROH	NA	4.72	S4_PQ25 LP3_P.PABLO TOR	NO	4981237136			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C3270740193	NA	A2C00000609	40	3011	045		1351	"T FET/BSS138,SOT23,MOS,SMALLSIGNAL,N_CHA"		ROH	NA	7.2	S4_PQ25 LP3_P.PABLO TOR	NO	4981237158			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00000609	154	3011	045		1351	"T FET/BSS138,SOT23,MOS,SMALLSIGNAL,N_CHA"		ROH	NA	27.72	S4_PQ25 LP3_P.PABLO TOR	NO	4981237158			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C3271310193	NA	A2C00002102	49	3011	045		1351	"220pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.98	S4_PQ25 LP3_P.PABLO TOR	NO	4981237170			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00003698	1	3011	045		1351	"R LIN,820R,5%,TK200,100mW,0603"		ROH	NA	0.01	S4_PQ25 LP3_P.PABLO TOR	NO	4981237194			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00003704	1	3011	045		1351	"R LIN,51K,5%,TK250,100mW,0603"		ROH	NA	0.01	S4_PQ25 LP3_P.PABLO TOR	NO	4981237222			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00003817	48	3011	045		1351	"R LIN,33K,5%,TK200,100mW,0603"		ROH	NA	0.48	S4_PQ25 LP3_P.PABLO TOR	NO	4981237237			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00003826	1	3011	045		1351	"1K5,5%,TK200,63mW,0603,LIN RES/"		ROH	NA	0.01	S4_PQ25 LP3_P.PABLO TOR	NO	4981237260			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C9467120093	NA	A2C00003837	4	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.04	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C3270740193	NA	A2C00003837	64	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.64	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C3270740192	NA	A2C00003837	2	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.02	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00003837	1	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.01	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C3271310192	NA	A2C00003837	12	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.12	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C3271310193	NA	A2C00003837	147	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	1.47	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509447	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00004318	11	3011	045		1351	"R LIN,1K,1%,TK100,100mW,0603"		ROH	NA	0.11	S4_PQ25 LP3_P.PABLO TOR	NO	4981237317			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00000345	25	3011	045		1351	"70V,250mA,2,FAST,SOT23,RECT DIODE/BAV70"		ROH	NA	1.75	S4_PQ25 LP3_P.PABLO TOR	NO	4981237075			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C3271310193	NA	A2C00000561	59	3011	045		1351	"1,PNP,NORMAL,500mA,45V,SOT23,BIP/BC807-4"		ROH	NA	4.72	S4_PQ25 LP3_P.PABLO TOR	NO	4981237136			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00000609	154	3011	045		1351	"T FET/BSS138,SOT23,MOS,SMALLSIGNAL,N_CHA"		ROH	NA	27.72	S4_PQ25 LP3_P.PABLO TOR	NO	4981237158			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C3270740193	NA	A2C00000609	40	3011	045		1351	"T FET/BSS138,SOT23,MOS,SMALLSIGNAL,N_CHA"		ROH	NA	7.2	S4_PQ25 LP3_P.PABLO TOR	NO	4981237158			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C3271310193	NA	A2C00002102	49	3011	045		1351	"220pF,5%,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.98	S4_PQ25 LP3_P.PABLO TOR	NO	4981237170			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00003698	1	3011	045		1351	"R LIN,820R,5%,TK200,100mW,0603"		ROH	NA	0.01	S4_PQ25 LP3_P.PABLO TOR	NO	4981237194			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00003704	1	3011	045		1351	"R LIN,51K,5%,TK250,100mW,0603"		ROH	NA	0.01	S4_PQ25 LP3_P.PABLO TOR	NO	4981237222			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00003817	48	3011	045		1351	"R LIN,33K,5%,TK200,100mW,0603"		ROH	NA	0.48	S4_PQ25 LP3_P.PABLO TOR	NO	4981237237			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00003826	1	3011	045		1351	"1K5,5%,TK200,63mW,0603,LIN RES/"		ROH	NA	0.01	S4_PQ25 LP3_P.PABLO TOR	NO	4981237260			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C3271310193	NA	A2C00003837	147	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	1.47	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C3271310192	NA	A2C00003837	12	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.12	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00003837	1	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.01	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C3270740192	NA	A2C00003837	2	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.02	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C3270740193	NA	A2C00003837	64	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.64	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C9467120093	NA	A2C00003837	4	3011	045		1351	"R LIN,22K,5%,TK200,100mW,0603"		ROH	NA	0.04	S4_PQ25 LP3_P.PABLO TOR	NO	4981237295			
509472	23/08/2014	ZSCR	551	035-1	0	'045	A2C53361994T	NA	A2C00004318	11	3011	045		1351	"R LIN,1K,1%,TK100,100mW,0603"		ROH	NA	0.11	S4_PQ25 LP3_P.PABLO TOR	NO	4981237317			
509522	23/08/2014	ZSCR	551	030-1	NA	'045	A2C8480800093	NA	A2C8480800093	1	3011	045		1301	pcb assy BCU Top	NA	HALB	S.Real	86.44	S4_PQ GATEWAY MY13_.	NO	4981239970			
509524	23/08/2014	ZSCR	551	030-1	NA	'045	A2C8480800093	NA	A2C8480800093	1	3011	045		1301	pcb assy BCU Top	NA	HALB	S.Real	86.44	S4_PQ GATEWAY MY13_.	NO	4981239970			
