No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
522800	20/09/2014	ZSCR	551	035-1	0	'045	A2C8527140093	NA	A2C00018642	13	3011	1351	"47uH,340mA,SMD,COIL/B82442-A1473-K"		ROH	NA	12.74	S6_ESCL_E.EDGAR FLORES	NO	4982529381
527580	30/09/2014	ZSCR	551	050-3	NA	'045	S180192100C	NA	A2C32184705	4	3011	1503	pcb	NA	ROH	NA	201.12	S2_CMF1_.	NO	4982530369
527637	30/09/2014	ZSCR	551	030-1	NA	'045	5WK50553	NA	A2C00052547	8	3011	1301	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	58.88	S4_PQ25 LP3_.	NO	4982529874
527700	30/09/2014	ZSCR	551	030-1	NA	'045	A2C53359575	NA	A2C53353454	2	3011	1301	"pcb VW POLO,IBI"	NA	ROH	NA	77.8	S4_PQ25 LP3_.	NO	4982530583
527701	30/09/2014	ZSCR	551	030-1	NA	'045	A2C53359574	NA	A2C53353454	2	3011	1301	"pcb VW POLO,IBI"	NA	ROH	NA	77.8	S4_PQ25 LP3_.	NO	4982530583
527870	30/09/2014	ZSCR	551	030-1	NA	'045	A2C8480790093	NA	A2C53287265	56	3011	1301	pcb VW PQ35	NA	ROH	NA	689.92	S4_PQ GATEWAY MY13_.	NO	4982530516
527898	30/09/2014	ZSCR	551	030-1	NA	'045	A2C32765500	NA	A2C00054060	14	3011	1301	"MICRO,SINGLE,12V,RELAY/G8NB-17SR"	NA	ROH	NA	53.9	S2_CMF1_.	NO	4982529902
527899	30/09/2014	ZSCR	551	030-1	NA	'045	A2C32828300	NA	A2C00054061	9	3011	1301	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	69.03	S2_CMF1_.	NO	4982529917
527907	30/09/2014	ZSCR	551	030-1	NA	'045	A2C53359575	NA	A2C53353454	2	3011	1301	"pcb VW POLO,IBI"	NA	ROH	NA	77.8	S4_PQ25 LP3_.	NO	4982530583
528064	01/10/2014	ZSCR	551	030-1	NA	'045	A2C53359575	NA	A2C00047432	128	3011	1301	"MICRO,SINGLE,10V,PIP-RELAY/V23086-R1802-"	NA	ROH	NA	569.6	S4_PQ25 LP3_.	NO	4982529657
528064	01/10/2014	ZSCR	551	030-1	NA	'045	A2C31082700	NA	A2C00052547	32	3011	1301	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	235.52	S4_PQ25 LP3_.	NO	4982529874
528064	01/10/2014	ZSCR	551	030-1	NA	'045	A2C32828200	NA	A2C00054061	3	3011	1301	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	23.01	S4_PQ25 LP3_.	NO	4982529917
528064	01/10/2014	ZSCR	551	030-1	NA	'045	5WK50555	NA	A2C00055646	17	3011	1301	"POWER,SINGLE,6.5V,RELAY/EM1-2U1-W"	NA	ROH	NA	92.48	S4_PQ25 LP3_.	NO	4982530049
528133	01/10/2014	ZSCR	551	030-1	NA	'045	5WK50331	NA	A2C53252204	4	3011	1301	receiver	NA	ROH	NA	126.8	S4_PQ25 LP3_.	NO	4982530495
528139	01/10/2014	ZSCR	551	030-1	NA	'045	A2C74024211	NA	A2C00055980	7	3011	1301	"IC SMART POW/TLE7230R,PG-DSO-36-47,8,60V"	NA	ROH	NA	70.91	S4_PQ25 LP3_.	NO	4982530070
528139	01/10/2014	ZSCR	551	030-1	NA	'045	A2C74024810	NA	A2C00063970	4	3011	1301	"IC MCU BLK/UPD70F3558M1GM(A1)-V2.2,A1,QF"	NA	ROH	NA	139	S4_PQ25 LP3_.	NO	4982530179
528219	01/10/2014	ZSCR	551	030-1	NA	'045	A2C53359575	NA	A2C00047433	16	3011	1301	"MICRO,SINGLE,12V,PIP-RELAY/V23086-R1805-"	NA	ROH	NA	88.64	S4_PQ25 LP3_.	NO	4982529675
528219	01/10/2014	ZSCR	551	030-1	NA	'045	A2C31082700	NA	A2C00052547	20	3011	1301	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	147.2	S4_PQ25 LP3_.	NO	4982529874
528219	01/10/2014	ZSCR	551	030-1	NA	'045	A2C3276550193	NA	A2C00054060	9	3011	1301	"MICRO,SINGLE,12V,RELAY/G8NB-17SR"	NA	ROH	NA	34.65	S4_PQ25 LP3_.	NO	4982529902
528219	01/10/2014	ZSCR	551	030-1	NA	'045	A2C32828100	NA	A2C00054061	2	3011	1301	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	15.34	S4_PQ25 LP3_.	NO	4982529917
528219	01/10/2014	ZSCR	551	030-1	NA	'045	A2C3271310193	NA	A2C00054426	3	3011	1301	IC MCU BLK/MPC5606BVLUR(64MHz)(Bolero) C	NA	ROH	NA	82.38	S4_PQ25 LP3_.	NO	4982530025
528219	01/10/2014	ZSCR	551	030-1	NA	'045	A2C31082700	NA	A2C00055646	6	3011	1301	"POWER,SINGLE,6.5V,RELAY/EM1-2U1-W"	NA	ROH	NA	32.64	S4_PQ25 LP3_.	NO	4982530049
528337	01/10/2014	ZSCR	551	040-3	NA	'045	A2C37796600	NA	A2C32559800	4	3011	1403	housing	NA	ROH	NA	18.12	S2_CMF1_. (APROBACION	NO	4982530403
528397	01/10/2014	ZSCR	551	040-3	NA	'045	A2C37796600	NA	A2C32559800	12	3011	1403	housing	NA	ROH	NA	54.36	S2_CMF1_. (APROBACION	NO	4982530403
528475	01/10/2014	ZSCR	551	040-3	NA	'045	5WK50087	NA	A2C53340509	2	3011	1403	"housing UPP 170,0x 180,0"	NA	ROH	NA	16.68	S4_PQ35 6ta Gen_. (APR	NO	4982530548
528673	02/10/2014	ZSCR	551	040-2	NA	'045	A2C8275221093	NA	A2C32184705	2	3011	1402	pcb	NA	ROH	NA	100.56	S2_CMF1_.	NO	4982530369
528675	02/10/2014	ZSCR	551	030-1	NA	'045	A2C30852000	NA	A2C53416942	6	3011	1301	pcb panel family	NA	ROH	NA	135.42	S6_WEBASTO_M.MIGUEL ZAV	NO	4982530701
528677	02/10/2014	ZSCR	551	030-1	NA	'045	A2C3276360193	NA	A2C33290100	2	3011	1301	pcb 4-lay	NA	ROH	NA	68.6	S4_PQ25 LP3_.	NO	4982530421
528685	02/10/2014	ZSCR	551	030-1	NA	'045	S180192100C	NA	A2C32184705	6	3011	1301	pcb	NA	ROH	NA	301.68	S2_CMF1_.	NO	4982530369
528688	02/10/2014	ZSCR	551	030-1	NA	'045	A2C3276360193	NA	A2C33290100	16	3011	1301	pcb 4-lay	NA	ROH	NA	548.8	S4_PQ25 LP3_.	NO	4982530421
529036	02/10/2014	ZSCR	551	030-1	NA	'045	A2C3276360193	NA	A2C00052547	14	3011	1301	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	103.04	S4_PQ25 LP3_.	NO	4982529874
529036	02/10/2014	ZSCR	551	030-1	NA	'045	A2C3276360193	NA	A2C00054060	48	3011	1301	"MICRO,SINGLE,12V,RELAY/G8NB-17SR"	NA	ROH	NA	184.8	S4_PQ25 LP3_.	NO	4982529902
529036	02/10/2014	ZSCR	551	030-1	NA	'045	A2C32763601	NA	A2C00054061	5	3011	1301	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	38.35	S4_PQ25 LP3_.	NO	4982529917
529059	02/10/2014	ZSCR	551	030-1	NA	'045	A2C31082700	NA	A2C00052547	33	3011	1301	"EX2-N20-W RELAY,POWER,TWIN,12V"	NA	ROH	NA	242.88	S4_PQ25 LP3_.	NO	4982529874
529059	02/10/2014	ZSCR	551	030-1	NA	'045	A2C32707400	NA	A2C00054060	92	3011	1301	"MICRO,SINGLE,12V,RELAY/G8NB-17SR"	NA	ROH	NA	354.2	S4_PQ25 LP3_.	NO	4982529902
529059	02/10/2014	ZSCR	551	030-1	NA	'045	A2C32707400	NA	A2C00054061	12	3011	1301	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	92.04	S4_PQ25 LP3_.	NO	4982529917
