No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
531873	08/10/2014	ZSCR	551	040-2	NA	'045	A2C31244500	NA	A2C31241700	4	3011	045		1402	Lincoln Jewel	NA	ROH	NA	22.36	S1_PK MY 13 FORD_M.MANU	NO	4983209823		
531873	08/10/2014	ZSCR	551	040-2	NA	'045	A2C31244500	NA	A2C31241900	12	3011	045		1402	housing bottom	NA	ROH	NA	327.24	S1_PK MY 13 FORD_M.MANU	NO	4983209823		
531937	08/10/2014	ZSCR	551	040-3	NA	'045	S180039013	NA	A2C53121776	5	3011	045		1403	cover	NA	ROH	NA	5.55	S2_RF TUNER_A.ANTONIO A	NO	4983210835		
531937	08/10/2014	ZSCR	551	040-3	NA	'045	S180039013	NA	A2C53121779	12	3011	045		1403	sticker	NA	ROH	NA	2.52	S2_RF TUNER_A.ANTONIO A	NO	4983210835		
531945	08/10/2014	ZSCR	551	040-3	NA	'045	A2C74024211	NA	A2C34710900	14	3011	045		1403	"CONNECTOR 183P,GLOBAL A BCM High Content"	NA	ROH	NA	586.88	S1_BCM K2XX_L.LUIS LIZA	NO	4983210805		
531945	08/10/2014	ZSCR	551	040-3	NA	'045	A2C74024211	NA	A2C40001221	47	3011	045		1403	"C ELEC,AL,470uF,20%,35V"	NA	ROH	NA	45.59	S1_BCM K2XX_L.LUIS LIZA	NO	4983210805		
532054	09/10/2014	ZSCR	551	040-3	NA	'045	5WY5971	NA	A2C31197800	9	3011	045		1403	Key ring	NA	ROH	NA	4.59	S1_PEPS_J.JAVIER BECERR	NO	4983210262		
532054	09/10/2014	ZSCR	551	040-3	NA	'045	5WY5971	NA	A2C53429315	9	3011	045		1403	housing cover assy FOG FORD P	NA	ROH	NA	225	S1_PEPS_J.JAVIER BECERR	NO	4983210262		
532054	09/10/2014	ZSCR	551	040-3	NA	'045	5WY5971	NA	A2C53441221	27	3011	045		1403	Key Tag	NA	ROH	NA	34.56	S1_PEPS_J.JAVIER BECERR	NO	4983210262		
533636	12/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C00024322	24	3011	045		1403	key ring	NA	ROH	NA	15.84	S1_PEPS PK 1 WAY_M.MANU	NO	4983210622		
533636	12/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C00045268	16	3011	045		1403	"EM OTH BATTERY/CR2025 LMX (A2C00045268),"	NA	ROH	NA	27.2	S1_PEPS PK 1 WAY_M.MANU	NO	4983210622		
533636	12/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227400	22	3011	045		1403	contact spring	NA	ROH	NA	16.5	S1_PEPS PK 1 WAY_M.MANU	NO	4983210622		
533636	12/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227500	17	3011	045		1403	label	NA	ROH	NA	4.08	S1_PEPS PK 1 WAY_M.MANU	NO	4983210622		
533636	12/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31578100	15	3011	045		1403	contact spring	NA	ROH	NA	10.65	S1_PEPS PK 1 WAY_M.MANU	NO	4983210622		
533636	12/10/2014	ZSCR	551	040-3	NA	'045	A2C31243800	NA	A2C37754600	22	3011	045		1403	housing	NA	ROH	NA	58.3	S1_PEPS PK 1 WAY_M.MANU	NO	4983210657		
533636	12/10/2014	ZSCR	551	040-3	NA	'045	A2C31243800	NA	A2C37755000	7	3011	045		1403	ring	NA	ROH	NA	143.99	S1_PEPS PK 1 WAY_M.MANU	NO	4983210657		
533636	12/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C53405271	17	3011	045		1403	Foam cushion	NA	ROH	NA	5.61	S1_PEPS PK 1 WAY_M.MANU	NO	4983210622		
534346	14/10/2014	ZSCR	551	040-2	NA	'045	A2C34710700	NA	A2C73614301	51	3011	045		1402	TOP_HOUSING_GLOBAL A BCM	NA	ROH	NA	439.11	S1_BCM K2XX_L.LUIS LIZA	NO	4983209952		
534791	14/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227300	1	3011	045		1403	housing assy	NA	ROH	NA	2.61	S1_PK MY 13 FORD_M.MANU	NO	4983210622		
534791	14/10/2014	ZSCR	551	040-3	NA	'045	A2C31243300	NA	A2C31227400	5	3011	045		1403	contact spring	NA	ROH	NA	3.75	S1_PK MY 13 FORD_M.MANU	NO	4983210622		
534791	14/10/2014	ZSCR	551	040-3	NA	'045	A2C31244300	NA	A2C31578100	9	3011	045		1403	contact spring	NA	ROH	NA	6.39	S1_PK MY 13 FORD_M.MANU	NO	4983210677		
534791	14/10/2014	ZSCR	551	040-3	NA	'045	A2C31243800	NA	A2C37754600	6	3011	045		1403	housing	NA	ROH	NA	15.9	S1_PK MY 13 FORD_M.MANU	NO	4983210657		
535102	15/10/2014	ZSCR	551	040-3	NA	'045	A2C53426032	NA	A2C00054503	17	3011	045		1403	"SEN/DST80 Wedge Transponder 134.2kHz, Fo"	NA	ROH	NA	194.82	S1_PEPS_J.JAVIER BECERR	NO	4983210750		
535102	15/10/2014	ZSCR	551	040-3	NA	'045	A2C53426032	NA	A2C53426033	17	3011	045		1403	frame	NA	ROH	NA	41.82	S1_PEPS_J.JAVIER BECERR	NO	4983210750		
535117	15/10/2014	ZSCR	551	040-4	NA	'045	A2C53426032	NA	A2C00054503	274	3011	045		1404	"SEN/DST80 Wedge Transponder 134.2kHz, Fo"	NA	ROH	NA	3140.04	S1_PEPS_J.JAVIER BECERR	NO	4983210890		
535117	15/10/2014	ZSCR	551	040-4	NA	'045	5WY5980D	NA	A2C31197800	274	3011	045		1404	Key ring	NA	ROH	NA	139.74	S1_PEPS_J.JAVIER BECERR	NO	4983210853		
535117	15/10/2014	ZSCR	551	040-4	NA	'045	5WY5980D	NA	A2C53333348	274	3011	045		1404	frame	NA	ROH	NA	983.66	S1_PEPS_J.JAVIER BECERR	NO	4983210853		
535117	15/10/2014	ZSCR	551	040-4	NA	'045	5WY5980D	NA	A2C53429315	274	3011	045		1404	housing cover assy FOG FORD P	NA	ROH	NA	6850	S1_PEPS_J.JAVIER BECERR	NO	4983210853		
535117	15/10/2014	ZSCR	551	040-4	NA	'045	5WY5980D	NA	A2C53434669	274	3011	045		1404	Lower Housing	NA	ROH	NA	1153.54	S1_PEPS_J.JAVIER BECERR	NO	4983210853		
535242	15/10/2014	ZSCR	551	040-3	NA	'045	A2C37625100S	NA	A2C73094001	4	3011	045		1403	housing bottom WIC P	NA	ROH	NA	27.84	S1_EXTERNAL RECEIVER K2	NO	4983210722		
535247	15/10/2014	ZSCR	551	040-3	NA	'045	5WY5973RSP	NA	A2C00005633	196	3011	045		1403	35V 0%~+30% ELECTROLYTIC CAPACITOR	NA	ROH	NA	307.72	S1_BCM K2XX_L.LUIS LIZA	NO	4983210330		
535247	15/10/2014	ZSCR	551	040-3	NA	'045	5WY8397A	NA	A2C00034446	8	3011	045		1403	"220uF,20%,50V,HOL,AL,ELEC CAP/"	NA	ROH	NA	8.56	S1_BCM K2XX_L.LUIS LIZA	NO	4983210533		
535248	15/10/2014	ZSCR	551	040-3	NA	'045	A2C74024205	NA	A2C40001221	38	3011	045		1403	"C ELEC,AL,470uF,20%,35V"	NA	ROH	NA	36.86	S1_BCM K2XX_L.LUIS LIZA	NO	4983210775		
535261	15/10/2014	ZSCR	551	040-3	NA	'045	5WY5980	NA	A2C53343557	9	3011	045		1403	Nut M4 Hex Head Flange	NA	ROH	NA	2.88	S1_PEPS_J.JAVIER BECERR	NO	4983210351		
535261	15/10/2014	ZSCR	551	040-3	NA	'045	5WY8678D	NA	A2C80174100	4	3011	045		1403	bracket FOG FORD PEPS	NA	ROH	NA	123.84	S1_PEPS_J.JAVIER BECERR	NO	4983210609		
