Folio	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
534969	15/10/2014	ZSCR	551	034-2	NA	'050	A2C73785403	NA	A2C73599005	4	1342	pcb 4-lay ImSn Chrysler MY15 CBC	NA	ROH	NA	398.56	S1_CBC MY15_. (APROBAC	NO	4983281737		
534971	15/10/2014	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00184100	8	1342	"IC SMART POW/BOSS PENTA 3/2 or SPLP0717,"	NA	ROH	NA	117.6	S1_CBC_P.PABLO PALMER-C	NO	4983281757		
534971	15/10/2014	ZSCR	551	034-2	NA	'050	A2C7378400093	NA	A2C00278300	2	1342	"IC MCU BLK/MPC5605BVLUR,1M03Y and 0N69H,"	NA	ROH	NA	49.24	S1_CBC_P.PABLO PALMER-C	NO	4983281757		
534976	15/10/2014	ZSCR	551	034-2	NA	'050	5WY8838	NA	A2C40010248	3	1342	"C ELEC,AL,100uF,20%,35V"	NA	ROH	NA	2.46	S1_SPDJB_P.PABLO PALMER	NO	4983281636		
534976	15/10/2014	ZSCR	551	034-2	NA	'050	A2C31229100T	NA	A2C40014082	6	1342	"IC VOLT REG/TLE7270G,TO263-5-1"	NA	ROH	NA	42.18	S1_SPDJB_P.PABLO PALMER	NO	4983281636		
535012	15/10/2014	ZSCR	551	034-2	NA	'050	A2C31231100	NA	A2C53428230	2210	1342	CONNECTOR FEADER	NA	ROH	NA	176.8	S1_TIPM MEDIUM_P.PABLO	NO	4983281723		
535279	15/10/2014	ZSCR	551	030-1	NA	'050	A2C73785403	NA	A2C73599005	2	1301	pcb 4-lay ImSn Chrysler MY15 CBC	NA	ROH	NA	199.28	S1_CBC MY15_. (APROBAC	NO	4983281428		
535293	15/10/2014	ZSCR	551	034-2	NA	'050	A2C32293500	NA	A2C35130200	1	1342	"RF-JACK FOR RS, KEY-H"	NA	ROH	NA	7.53	S1_WK_WD RFHUB_A.ADRIAN	NO	4983281898		
535293	15/10/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	3	1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	63.24	S1_WK_WD RFHUB_A.ADRIAN	NO	4983281881		
535293	15/10/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	2	1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	45.44	S1_WK_WD RFHUB_A.ADRIAN	NO	4983281881		
535295	15/10/2014	ZSCR	551	034-2	NA	'050	A2C30850600T	NA	A2C40015254	2	1342	"IC SMART POW/VND5004ASP30,MultiPowerSO-3"	NA	ROH	NA	33.7	S1_TIPM MEDIUM_P.PABLO	NO	4983281723		
535343	16/10/2014	ZSCR	551	040-2	NA	'015	A2C73601800	NA	A2C73637200	1	1402	"COVER, LOWER CBC"	NA	ROH	NA	6.69	S1_CBC MY15_. (APROBAC	NO	4983282049		
535366	16/10/2014	ZSCR	551	040-3	NA	'015	A2C73601800	NA	A2C73637100	2	1403	"HOUSING, UPPER CBC"	NA	ROH	NA	48.04	S1_CBC_P.PABLO PALMER-C	NO	4983282075		
535535	16/10/2014	ZSCR	551	034-2	NA	'050	A2C81624200	NA	A2C89522000	4	1342	pin header 20P V 2R THP	NA	ROH	NA	38.08	S1_WK_WD RFHUB_A.ADRIAN	NO	4983281906		
535538	16/10/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C53375403	7	1342	receiver DIVZZDIV RXI-35-4	NA	ROH	NA	159.04	S1_WK_WD RFHUB_A.ADRIAN	NO	4983281881		
535540	16/10/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C35130400	2	1342	"16-way connector, PIN&PASTE"	NA	ROH	NA	15.54	S1_WK_WD RFHUB_A.ADRIAN	NO	4983281881		
535540	16/10/2014	ZSCR	551	034-2	NA	'050	A2C32292100	NA	A2C40000660	5	1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	105.4	S1_WK_WD RFHUB_A.ADRIAN	NO	4983281881		
535745	16/10/2014	ZSCR	551	030-1	NA	'050	A2C73789705	NA	A2C73599005	2	1301	pcb 4-lay ImSn Chrysler MY15 CBC	NA	ROH	NA	199.28	S1_CBC MY15_. (APROBAC	NO	4983281436		
535827	16/10/2014	ZSCR	551	034-2	NA	'050	A2C73784000	NA	A2C00062486	1	1342	"IC SMART POW/VN5E006ASP-E,Power SO-10"	NA	ROH	NA	9.46	S1_CBC MY15_. (APROBAC	NO	4983281737		
535827	16/10/2014	ZSCR	551	034-2	NA	'050	A2C73784000	NA	A2C00184100	1	1342	"IC SMART POW/BOSS PENTA 3/2 or SPLP0717,"	NA	ROH	NA	14.7	S1_CBC MY15_. (APROBAC	NO	4983281737		
535832	16/10/2014	ZSCR	551	034-2	NA	'050	A2C53428272T	NA	A2C00833800	1	1342	"IC SMART POW/-,12.00 X 12.00 / 1.00,4,41"	NA	ROH	NA	19.63	S1_TIPM LOGIC_P.PABLO P	NO	4983281698		
535832	16/10/2014	ZSCR	551	034-2	NA	'050	A2C30822000	NA	A2C40014082	14	1342	"IC VOLT REG/TLE7270G,TO263-5-1"	NA	ROH	NA	98.42	S1_TIPM LOGIC_P.PABLO P	NO	4983281698		
535832	16/10/2014	ZSCR	551	034-2	NA	'050	A2C30822000	NA	A2C40014090	2	1342	"IC VOLT REG/L4989,SOIC-20"	NA	ROH	NA	5.7	S1_TIPM LOGIC_P.PABLO P	NO	4983281698		
535832	16/10/2014	ZSCR	551	034-2	NA	'050	A2C30822000	NA	A2C40016793	2	1342	"IC SMART POW/L9823,SOLIC24,8,45V,1Ohm,Lo"	NA	ROH	NA	12.62	S1_TIPM LOGIC_P.PABLO P	NO	4983281698		
535839	16/10/2014	ZSCR	551	034-2	NA	'050	A2C3229560093	NA	A2C40000660	2	1342	"IC MCU BLK/MC9S12XEG384CAL,3M25J or 1M12"	NA	ROH	NA	42.16	S1_WK_WD RFHUB_A.ADRIAN	NO	4983281881		
