No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	 	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
559437	03/12/2014	ZSCR	551	050-3	NA	'054	5WK44252	NA	A2C53364457	1	1503	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO	4985096241
559483	03/12/2014	ZSCR	551	050-3	NA	'054	5WY88050	NA	A2C53417787	2	1503	pcb assy	NA	HALB	S.Real/AutoBF	296.98	PSAD_GM BRASIL_A.ANA TA	NO	4985096260
559650	03/12/2014	ZSCR	551	040-3	NA	'054	A2C83021100	NA	A2C83021100	1	1403	pcb assy DAGARM3 3i DC Mex	NA	HALB	S.Real/AutoBF	318.38	PSAD_ARMIN_J.JOSE ORTIZ	NO	4985095686
559893	04/12/2014	ZSCR	551	034-2	NA	'054	A2C89730900	NA	A2C8021660002	3	1342	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	921.39	PS_HONDA HRS6_J.JUAN CH	NO	4985094411
559957	04/12/2014	ZSCR	551	040-3	NA	'054	5WK44252	NA	A2C53364457	1	1403	pcb assy	NA	HALB	S.Real/AutoBF	96.25	OC_BOSE VW_A.ANA TAPIA-	NO	4985095611
560341	05/12/2014	ZSCR	551	034-3	NA	'054	5WK44040	NA	A2C53279728	1	1343	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO	4985094056
560344	05/12/2014	ZSCR	551	034-2	NA	'054	A2C87038500	NA	A2C5339962902	2	1342	pcb assy HONHRS5 RO V13B	NA	HALB	S.Real/AutoBF	657.56	PS_HONDA HRS5_.	NO	4985094371
560357	05/12/2014	ZSCR	551	040-2	NA	'054	5WK44040	NA	A2C53279728	1	1402	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO	4985095514
560360	05/12/2014	ZSCR	551	040-1	NA	'054	A2C89731000	NA	A2C8021730003	1	1401	pcb assy HONHRS6 V06	NA	HALB	S.Real/AutoBF	179.51	PS_HONDA HRS6_J.JUAN CH	NO	4985095375
560465	05/12/2014	ZSCR	551	050-2	NA	'054	5WY78180	NA	A2C53139779	5	1502	circuit board assy	NA	HALB	S.Real/AutoBF	1924.45	PS_FORD_. (APROBACION	NO	4985093983
561248	07/12/2014	ZSCR	551	040-1	NA	'054	A2C87038500	NA	A2C5339962902	1	1401	pcb assy HONHRS5 RO V13B	NA	HALB	S.Real/AutoBF	328.78	PS_HONDA HRS5_. (APROB	NO	4985094844
561249	07/12/2014	ZSCR	551	040-3	NA	'054	A2C91764400	NA	A2C92572700	2	1403	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	774.36	PS_SDM30_. (APROBACION	NO	4985095803
561266	07/12/2014	ZSCR	551	040-3	NA	'054	5WK44040	NA	A2C53279728	1	1403	keypad assy	NA	HALB	S.Real/AutoBF	474.15	OC_OCS NISSAN_A.ANA TAP	NO	4985095557
561268	07/12/2014	ZSCR	551	040-3	NA	'054	5WK44245	NA	A2C53353898	1	1403	keypad assy	NA	HALB	S.Real/AutoBF	485.13	OC_OCS NISSAN_A.ANA TAP	NO	4985095586
561282	07/12/2014	ZSCR	551	040-1	NA	'054	A2C91764400	NA	A2C92572700	1	1401	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	387.18	PS_SDM30_.	NO	4985095456
561283	07/12/2014	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C92572300	1	1401	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO	4985095435
561285	07/12/2014	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53412214	2	1401	pcb assy	NA	HALB	S.Real/AutoBF	299.42	PSAD_GM BRASIL_A.ANA TA	NO	4985095306
