No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP			
604468	28/03/2015	ZSCR	551	034-2	NA	'054	A2C82735500	NA	A2C40000025	5	C ELEC AL 6 8mF 20 35V	NA	ROH	NA	41.9	PS_SDM30_. (APROBACION	NO				
604469	28/03/2015	ZSCR	551	040-4	NA	'054	A2C83377700	NA	A2C40005692	12	"C ELEC,AL,100uF,20%,50V"	NA	ROH	NA	3.96	PSAD_LAND ROVER_J.JOSE	NO				
604469	28/03/2015	ZSCR	551	040-4	NA	'054	5WY78960	NA	A2C53242009	4	multipoint connector 64P H 2SYS A-H	NA	ROH	NA	101.76	PSAD_LAND ROVER_J.JOSE	NO				
604469	28/03/2015	ZSCR	551	040-4	NA	'054	A2C83377700	NA	A2C83043800	4	bracket capacitor	NA	ROH	NA	13.32	PSAD_LAND ROVER_J.JOSE	NO				
604469	28/03/2015	ZSCR	551	040-4	NA	'054	A2C83377700	NA	A2C8337770093	4	pcb assy RCMT5 LR lado top	NA	HALB	S.Real	1822.16	PSAD_LAND ROVER_J.JOSE	NO				
604775	29/03/2015	ZSCR	551	040-4	NA	'054	A2C83377700	NA	A2C40005692	20	"C ELEC,AL,100uF,20%,50V"	NA	ROH	NA	6.6	PSAD_LAND ROVER_J.JOSE	NO				
604775	29/03/2015	ZSCR	551	040-4	NA	'054	A2C83377700	NA	A2C40005930	5	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	41.5	PSAD_LAND ROVER_J.JOSE	NO				
604775	29/03/2015	ZSCR	551	040-4	NA	'054	5WY78960	NA	A2C53242009	5	multipoint connector 64P H 2SYS A-H	NA	ROH	NA	127.2	PSAD_LAND ROVER_J.JOSE	NO				
604775	29/03/2015	ZSCR	551	040-4	NA	'054	A2C83377700	NA	A2C83043800	5	bracket capacitor	NA	ROH	NA	16.65	PSAD_LAND ROVER_J.JOSE	NO				
604775	29/03/2015	ZSCR	551	040-4	NA	'054	A2C83377700	NA	A2C8337770093	5	pcb assy RCMT5 LR lado top	NA	HALB	S.Real	2277.7	PSAD_LAND ROVER_J.JOSE	NO				
604800	29/03/2015	ZSCR	551	040-3	NA	'054	A2C91763800	NA	A2C53338471	111	contact element	NA	ROH	NA	122.1	PS_SDM30_.	NO				
604804	29/03/2015	ZSCR	551	040-1	NA	'054	A2C91764400	NA	A2C92572700	1	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	399.9	PS_SDM30_.	NO	4988677690			
604805	29/03/2015	ZSCR	551	040-1	NA	'054	A2C83971700	NA	A2C83971900	1	pcb topSMD	NA	HALB	S.Real/AutoBF	367.17	PS_SDM10+_.	NO	4988677404			
604806	29/03/2015	ZSCR	551	034-9	NA	'054	A2C91764100	2800	A2C91764100	3	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	939.3	PS_SDM30_.	NO	4988675981			
604807	29/03/2015	ZSCR	551	034-9	NA	'054	A2C91764100	2800	A2C91764100	1	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO	4988675981			
604834	29/03/2015	ZSCR	551	040-5	NA	'054	A2C91764100	2800	A2C91764100	1	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO	4988678352			
604838	29/03/2015	ZSCR	551	034-9	NA	'054	A2C91764100	2800	A2C91764100	8	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	2504.8	PS_SDM30_.	NO	4988675981			
605078	30/03/2015	ZSCR	551	040-2	NA	'054	A2C91764100	2800	A2C91764100	2	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	626.2	PS_SDM30_.	NO	4988677722			
605088	30/03/2015	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C92572300	1	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	264.43	PS_SDM30_.	NO	4988677675			
605090	30/03/2015	ZSCR	551	040-2	NA	'054	5WK43807	2	5WK43807	1	ACU DAGARM2 MY08 M30 xx xx 0 0 0	NA	FERT	NA	547.58	PS_ARAMIS II MCG_F.FERN	NO	4988674596			
605093	30/03/2015	ZSCR	551	040-3	NA	'054	5WY78881	NA	A2C53241830	4	circuit board assy	NA	HALB	S.Real	1075.36	PS_FORD_.	NO				
605121	30/03/2015	ZSCR	551	040-3	NA	'054	5WK44303	NA	A2C53108376	3	"housing FIP 175,0x 152,0"	NA	ROH	NA	141.15	PS_ARAMIS II MCG_F.FERN	NO	4988679170			
605121	30/03/2015	ZSCR	551	040-3	NA	'054	5WK44303	NA	A2C53108377	3	cover FIP T GY	NA	ROH	NA	12.6	PS_ARAMIS II MCG_F.FERN	NO	4988679170			
605178	30/03/2015	ZSCR	551	040-3	NA	'054	5WY89360	NA	A2C53424009	227	"pan head screw 3,5 x 12,00 1268"	NA	ROH	NA	52.21	PS_CHRYSLER MY2013_.	NO				
605180	30/03/2015	ZSCR	551	040-3	NA	'054	5WK44675	NA	A2C53337250	136	"pan head screw M3 x 8,00 1242"	NA	ROH	NA	29.92	PSAD_GM BRASIL_A.ANA TA	NO	4988679266			
605317	31/03/2015	ZSCR	551	030-1	NA	'054	A2C83971900	NA	A2C8397190093	1	pcb topSMD top	NA	HALB	S.Real	362.42	PS_SDM10+_.	NO				
605329	31/03/2015	ZSCR	551	030-1	NA	'054	A2C8145580093	NA	A2C8145580092	1	pcb assy RENT4 V01 BOTTOM	NA	HALB	S.Real/AutoBF	79.32	PS_RENAULT_.	NO	4988674893			
605334	31/03/2015	ZSCR	551	030-1	NA	'054	A2C91764100	2800	A2C91764100	1	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO	4988675090			
605342	31/03/2015	ZSCR	551	030-1	NA	'054	A2C85841502	NA	A2C814558000192	2	pcb assy RENT4 V01 (SW 02) BOT	NA	HALB	S.Real/AutoBF	158.64	PS_RENAULT_.	NO	4988674875			
605343	31/03/2015	ZSCR	551	030-1	NA	'054	A2C85841502	NA	A2C814558000193	1	pcb assy RENT4 V01 (SW 02) TOP	NA	HALB	S.Real	120.62	PS_RENAULT_.	NO				
605357	31/03/2015	ZSCR	551	030-1	NA	'054	A2C85841502	NA	A2C8145580001	1	pcb assy RENT4 V01 (SW 02)	NA	HALB	S.Real	134.1	PS_RENAULT_.	NO				
605378	31/03/2015	ZSCR	551	030-1	NA	'054	A2C8327870092	NA	A2C83277500	4	pcb	NA	ROH	NA	96.56	PS_SDM30_.	NO				
605391	31/03/2015	ZSCR	551	034-2	NA	'054	A2C91764100	2800	A2C91764100	3	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	939.3	PS_SDM30_.	NO	4988675903			
605392	31/03/2015	ZSCR	551	034-2	NA	'054	A2C91764100	2800	A2C91764100	2	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	626.2	PS_SDM30_.	NO	4988675903			
605393	31/03/2015	ZSCR	551	034-2	NA	'054	A2C91764100	2800	A2C91764100	1	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO	4988675903			
605399	31/03/2015	ZSCR	551	034-9	NA	'054	A2C83711000	AAAA	A2C83711000	1	ACU VW20 MY14 S15 20 08 0 0 0 000	NA	FERT	NA	265.77	PS_VW20 MQB_.	NO	4988675932			
605400	31/03/2015	ZSCR	551	034-2	NA	'054	A2C91764100	2800	A2C91764100	2	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	626.2	PS_SDM30_.	NO	4988675903			
605402	31/03/2015	ZSCR	551	034-9	NA	'054	A2C91764100	2800	A2C91764100	2	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	626.2	PS_SDM30_.	NO	4988675981			
605407	31/03/2015	ZSCR	551	040-2	NA	'054	A2C91764100	2800	A2C91764100	1	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO	4988677722			
605409	31/03/2015	ZSCR	551	034-9	NA	'054	A2C85841502	NA	A2C8145580001	1	pcb assy RENT4 V01 (SW 02)	NA	HALB	S.Real	134.1	PS_RENAULT_.	NO				
605410	31/03/2015	ZSCR	551	034-2	NA	'054	A2C91764100	2800	A2C91764100	1	ACU GMSDM30 MY14 S15 12 XX 0 0 0 000	NA	FERT	NA	313.1	PS_SDM30_.	NO	4988675903			
605415	31/03/2015	ZSCR	551	040-3	NA	'054	5WY87020	NA	A2C53108379	1	cover FIP T GY	NA	ROH	NA	3.73	PS_ARAMIS 2013_.	NO				
605663	01/04/2015	ZSCR	551	030-1	NA	'054	A2C8145580093	NA	A2C8145580092	1	pcb assy RENT4 V01 BOTTOM	NA	HALB	S.Real/AutoBF	79.32	PS_RENAULT_.	NO	4988674893			
605664	01/04/2015	ZSCR	551	030-1	NA	'054	A2C8145580093	NA	A2C8145580092	1	pcb assy RENT4 V01 BOTTOM	NA	HALB	S.Real/AutoBF	79.32	PS_RENAULT_.	NO	4988674893			
605665	01/04/2015	ZSCR	551	030-1	NA	'054	A2C85841502	NA	A2C814558000192	1	pcb assy RENT4 V01 (SW 02) BOT	NA	HALB	S.Real/AutoBF	79.32	PS_RENAULT_.	NO	4988674875			
605666	01/04/2015	ZSCR	551	030-1	NA	'054	A2C85841502	NA	A2C814558000193	1	pcb assy RENT4 V01 (SW 02) TOP	NA	HALB	S.Real	120.62	PS_RENAULT_.	NO				
605668	01/04/2015	ZSCR	551	030-1	NA	'054	A2C85841502	NA	A2C814558000193	1	pcb assy RENT4 V01 (SW 02) TOP	NA	HALB	S.Real	120.62	PS_RENAULT_.	NO				
605674	01/04/2015	ZSCR	551	030-1	NA	'054	A2C8145580093	NA	A2C8145580092	1	pcb assy RENT4 V01 BOTTOM	NA	HALB	S.Real/AutoBF	79.32	PS_RENAULT_.	NO	4988674893			
605675	01/04/2015	ZSCR	551	030-1	NA	'054	A2C8145580093	NA	A2C8145580092	1	pcb assy RENT4 V01 BOTTOM	NA	HALB	S.Real/AutoBF	79.32	PS_RENAULT_.	NO	4988674893			
605676	01/04/2015	ZSCR	551	030-1	NA	'054	A2C8145580093	NA	A2C8145580092	1	pcb assy RENT4 V01 BOTTOM	NA	HALB	S.Real/AutoBF	79.32	PS_RENAULT_.	NO	4988674893			
605677	01/04/2015	ZSCR	551	030-1	NA	'054	A2C8145580093	NA	A2C8145580092	1	pcb assy RENT4 V01 BOTTOM	NA	HALB	S.Real/AutoBF	79.32	PS_RENAULT_.	NO	4988674893			
605678	01/04/2015	ZSCR	551	030-1	NA	'054	A2C8145580093	NA	A2C8145580092	1	pcb assy RENT4 V01 BOTTOM	NA	HALB	S.Real/AutoBF	79.32	PS_RENAULT_.	NO	4988674893			
605679	01/04/2015	ZSCR	551	030-1	NA	'054	A2C85841502	NA	A2C814558000192	1	pcb assy RENT4 V01 (SW 02) BOT	NA	HALB	S.Real/AutoBF	79.32	PS_RENAULT_.	NO	4988674875			
