No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
605585	01/04/2015	ZSCR	551	034-2	NA	'050	A2C81624000	NA	A2C89521800	8	3011	050	 	1342	pin header 16P V 2R THP	NA	ROH	NA	70.56	S1_WK_WD RFHUB_A.ADRIAN	NO	No stock	
605934	01/04/2015	MB1A	951	025-3	NA	'050	NA	NA	A2C40007018	36				1253	"C CER,C0G,22pF,5%,50V,0402,-"	VUG019860	ROH	NA	0.36	S1_WK_WD RFHUB_A.ADRIAN	NO	**	
606094	02/04/2015	ZSCR	551	035-1	0	'015	A2C73753201	NA	A2C73750800	58	3011	015	 	1351	pad Jewel		ROH	NA	401.36	S1_PASE FOB CUSW_J.JORG	NO	No stock	
606094	02/04/2015	ZSCR	551	035-1	0	'015	A2C7375190200	NA	A2C73751200	25	3011	015	 	1351	key latch		ROH	NA	54.25	S1_PASE FOB CUSW_J.JORG	NO	4989486066	
606119	02/04/2015	ZSCR	551	035-1	0	'015	A2C73753201	NA	A2C73750800	58	3011	015	 	1351	pad Jewel		ROH	NA	401.36	S1_PASE FOB CUSW_J.JORG	NO	No stock	
606119	02/04/2015	ZSCR	551	035-1	0	'015	A2C7375190200	NA	A2C73751200	25	3011	015	 	1351	key latch		ROH	NA	54.25	S1_PASE FOB CUSW_J.JORG	NO	4989486066	
606862	07/04/2015	ZSCR	551	034-2	NA	'050	A2C32293500	NA	A2C00057177	11	3011	050	 	1342	"7.11mH,0A,SMD,COIL/3DC1515 XYZ 7.11mH"	NA	ROH	NA	115.83	S1_CUSW UF PASE_A.ADRIA	NO	4989487389	
607875	09/04/2015	ZSCR	551	034-2	NA	'050	A2C74986000	NA	A2C40015254	3	3011	050	 	1342	"IC SMART POW/VND5004ASP30,MultiPowerSO-3"	NA	ROH	NA	54.06	S1_TIPM LOGIC_P.PABLO P	NO	**	
608003	10/04/2015	ZSCR	551	034-2	NA	'050	A2C33278600	NA	A2C53428227	4	3011	050	 	1342	PIN	NA	ROH	NA	1.16	S1_TIPM MEDIUM_P.PABLO	NO	**	
608003	10/04/2015	ZSCR	551	034-2	NA	'050	A2C33278800	NA	A2C53428228	40	3011	050	 	1342	PIN	NA	ROH	NA	10.8	S1_TIPM MEDIUM_P.PABLO	NO	**	
608003	10/04/2015	ZSCR	551	034-2	NA	'050	A2C33278600	NA	A2C53428229	4	3011	050	 	1342	"PIN,TNG FORK (TALL)"	NA	ROH	NA	1.24	S1_TIPM MEDIUM_P.PABLO	NO	**	
608430	11/04/2015	ZSCR	551	035-1	0	'015	A2C73753201	NA	A2C73750800	58	3011	015	 	1351	pad Jewel		ROH	NA	401.36	S1_PASE FOB CUSW_J.JORG	NO	No stock	
608430	11/04/2015	ZSCR	551	035-1	0	'015	A2C7375190200	NA	A2C73751200	25	3011	015	 	1351	key latch		ROH	NA	54.25	S1_PASE FOB CUSW_J.JORG	NO	4989486066	
608544	12/04/2015	ZSCR	551	030-1	NA	'050	A2C89861600	NA	A2C32464500	20	3011	050	 	1301	transceiver assy	NA	ROH	NA	111	S1_RKE FOB CUSW_A.ADRIA	NO	4989487961	
608700	12/04/2015	ZSCR	551	040-2	NA	'050	A2C31229100T	NA	A2C53428225	2	3011	050	 	1402	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	106.86	S1_TIPM LOGIC_P.PABLO P	NO	**	
608716	12/04/2015	ZSCR	551	035-1	0	'050	A2C3229600093	NA	A2C00002174	6	3011	050	 	1351	"47nF,10%,100V,X7R,1206,TINNED,CER CAP/++"		ROH	NA	1.32	S1_RFHM CUSW_J.JORGE AG	NO	No stock	
608721	12/04/2015	ZSCR	551	035-1	0	'050	A2C7467830193	NA	A2C00010400	4	3011	050	 	1351	"L COIL/-,16uH,100mA,SMD +++ use instead"		ROH	NA	6.28	S1_CBC_A.ARTURO ARRIETA	NO	**	
609159	14/04/2015	ZSCR	551	034-2	NA	'015	A2C30848900	NA	A2C53428199	1560	3011	015	 	1342	"PIN,NAT"	NA	ROH	NA	124.8	S1_TIPM LOGIC_P.PABLO P	NO	4989485857	
609167	14/04/2015	ZSCR	551	035-1	NA	'050	A2C86022500	NA	A2C89521800	6	3011	050	 	1351	pin header 16P V 2R THP	NA	ROH	NA	52.92	S1_RFHM CUSW_A.ADRIANA	NO	**	
609167	14/04/2015	ZSCR	551	035-1	NA	'050	A2C87407901	NA	A2C89522000	27	3011	050	 	1351	pin header 20P V 2R THP	NA	ROH	NA	270.54	S1_RFHM CUSW_A.ADRIANA	NO	4989487919	
609179	14/04/2015	ZSCR	551	035-1	NA	'050	A2C73552402	NA	A2C00057177	47	3011	050	 	1351	"7.11mH,0A,SMD,COIL/3DC1515 XYZ 7.11mH"	NA	ROH	NA	494.91	S1_PASE FOB CUSW_A.ADRI	NO	**	
609511	15/04/2015	ZSCR	551	034-2	NA	'050	A2C86023100S	NA	A2C35130200	2	3011	050	 	1342	"RF-JACK FOR RS, KEY-H"	NA	ROH	NA	16	S1_WK_WD RFHUB_A.ADRIAN	NO	4989487853	
609511	15/04/2015	ZSCR	551	034-2	NA	'050	A2C87408000	NA	A2C89521800	5	3011	050	 	1342	pin header 16P V 2R THP	NA	ROH	NA	44.1	S1_WK_WD RFHUB_A.ADRIAN	NO	No stock	
609512	15/04/2015	ZSCR	551	034-2	NA	'050	A2C30849100	NA	A2C00058681	1	3011	050	 	1342	"IC MCU BLK/MC9S12XET512BMAG,3M25J or1M12"	NA	ROH	NA	29.12	S1_TIPM LOGIC_P.PABLO P	NO	**	
609917	15/04/2015	ZSCR	551	034-2	NA	'050	A2C81624000	NA	A2C89521800	1	3011	050	 	1342	pin header 16P V 2R THP	NA	ROH	NA	8.82	S1_WK_WD RFHUB_A.ADRIAN	NO	No stock	
