No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	E	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
606094	02/04/2015	ZSCR	551	035-1	0	'015	A2C73753201	NA	A2C73750800	58	3011	015	 	1351	pad Jewel		ROH	NA	401.36	S1_PASE FOB CUSW_J.JORG	NO	4991017486
606119	02/04/2015	ZSCR	551	035-1	0	'015	A2C73753201	NA	A2C73750800	58	3011	015	 	1351	pad Jewel		ROH	NA	401.36	S1_PASE FOB CUSW_J.JORG	NO	4991017486
608430	11/04/2015	ZSCR	551	035-1	0	'015	A2C73753201	NA	A2C73750800	58	3011	015	 	1351	pad Jewel		ROH	NA	401.36	S1_PASE FOB CUSW_J.JORG	NO	4991017486
609179	14/04/2015	ZSCR	551	035-1	NA	'050	A2C73552402	NA	A2C00057177	47	3011	050	 	1351	"7.11mH,0A,SMD,COIL/3DC1515 XYZ 7.11mH"	NA	ROH	NA	494.91	S1_PASE FOB CUSW_A.ADRI	NO	4991018393
612232	22/04/2015	ZSCR	551	035-1	0	'015	A2C73753201	NA	A2C73750800	58	3011	015	 	1351	pad Jewel		ROH	NA	401.36	S1_PASE FOB CUSW_J.JORG	NO	4991017486
613529	26/04/2015	ZSCR	551	035-1	0	'050	A2C7360170193	NA	A2C40011211	4	3011	050	 	1351	"R LIN,1K,1%,TK100,500mW,2010"		ROH	NA	0.44	S1_CBC_A.ARTURO ARRIETA	NO	Stock
613714	27/04/2015	ZSCR	551	042-4	NA	'015	A2C73753301	NA	A2C73750800	1	3011	015	 	1424	pad Jewel	NA	ROH	NA	6.92	S1_PASE FOB CUSW_A.ADRI	NO	4991017532
614556	28/04/2015	ZSCR	551	035-1	0	'015	A2C73753201	NA	A2C73750800	58	3011	015	 	1351	pad Jewel		ROH	NA	401.36	S1_PASE FOB CUSW_J.JORG	NO	4991017486
618728	11/05/2015	ZSCR	551	035-1	0	'015	A2C73753201	NA	A2C73750800	58	3011	015	 	1351	pad Jewel		ROH	NA	401.36	S1_PASE FOB CUSW_J.JORG	NO	4991017486
621026	17/05/2015	ZSCR	551	035-1	0	'050	A2C7451320093	NA	A2C40011211	5	3011	050	 	1351	"R LIN,1K,1%,TK100,500mW,2010"		ROH	NA	0.55	S1_CBC_A.ARTURO ARRIETA	NO	Stock
