area,tecnologia,defecto,causa,proyecto
SMD,AOI,PCB ABORTADO,MAQUINA,HYUNDAI
SMD,AOI,COMPONENTE DAÑADO,MAQUINA,HYUNDAI
SMD,AOI,COMPONENTE DAÑADO,MANO DE OBRA,HYUNDAI
SMD,AOI,EXCESO DE PRUEBAS,MANO DE OBRA,HYUNDAI
SMD,AOI,UNIDAD CAIDA AL PISO,MAQUINA,HYUNDAI
SMD,AOI,UNIDAD CAIDA AL PISO,MANO DE OBRA,HYUNDAI
SMD,AOI,LIBERACION DE EQUIPO,METODO,HYUNDAI
SMD,AOI,PRUEBA DE INGENIERIA,METODO,HYUNDAI
SMD,AOI,SIN PRUEBA ANTERIOR,MANO DE OBRA,HYUNDAI
SMD,AOI,COMPONENTE ARRANCADO,MAQUINA,HYUNDAI
SMD,AOI,COMPONENTE ARRANCADO,MANO DE OBRA,HYUNDAI
SMD,ASPI,UNIDAD CAIDA AL PISO,MANO DE OBRA,HYUNDAI
SMD,ASPI,LIBERACION DE EQUIPO,METODO,HYUNDAI
SMD,ASPI,PRUEBA DE INGENIERIA,METODO,HYUNDAI
SMD,ASPI,PCB ABORTADO,MAQUINA,HYUNDAI
SMD,ASPI,PANEL BARRIDO,MANO DE OBRA,HYUNDAI
SMD,ASYS,DESPLAZADO,MAQUINA,HYUNDAI
SMD,ASYS,PANEL ATORADO,METODO,HYUNDAI
SMD,ASYS,PANEL ATORADO,MAQUINA,HYUNDAI
SMD,ASYS,PANEL ATORADO,MANO DE OBRA,HYUNDAI
SMD,ASYS,DESPLAZADO,MANO DE OBRA,HYUNDAI
SMD,ASYS,UNIDAD CAIDA AL PISO,MAQUINA,HYUNDAI
SMD,ASYS,UNIDAD CAIDA AL PISO,MANO DE OBRA,HYUNDAI
SMD,ASYS,SET UP DE EQUIPO,MAQUINA,HYUNDAI
SMD,ASYS,SET UP DE EQUIPO,MANO DE OBRA,HYUNDAI
SMD,ASYS,LIBERACION DE EQUIPO,METODO,HYUNDAI
SMD,ASYS,PRUEBA DE INGENIERIA,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,PANEL ATORADO,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,PANEL ATORADO,MAQUINA,HYUNDAI
SMD,IMPRESION DE PASTA,PANEL ATORADO,MANO DE OBRA,HYUNDAI
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO A ,MAQUINA,HYUNDAI
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO A ,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,HYUNDAI
SMD,IMPRESION DE PASTA,INSUFICIENCIA DE SOLDADURA LADO B ,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,PERLAS DE SOLDADURA,MAQUINA,HYUNDAI
SMD,IMPRESION DE PASTA,PERLAS DE SOLDADURA,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,EXCESO DE SOLDADURA,MAQUINA,HYUNDAI
SMD,IMPRESION DE PASTA,EXCESO DE SOLDADURA,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,EXCESO DE SOLDADURA,MANO DE OBRA,HYUNDAI
SMD,IMPRESION DE PASTA,CORTOS,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,CORTOS,MAQUINA,HYUNDAI
SMD,IMPRESION DE PASTA,CORTOS,MANO DE OBRA,HYUNDAI
SMD,IMPRESION DE PASTA,SOLDADURA POROSA,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,SOLDADURA POROSA,MAQUINA,HYUNDAI
SMD,IMPRESION DE PASTA,SOLDADURA POROSA,PROVEEDOR,HYUNDAI
SMD,IMPRESION DE PASTA,CONTAMINACION,MANO DE OBRA,HYUNDAI
SMD,IMPRESION DE PASTA,CONTAMINACION,MAQUINA,HYUNDAI
SMD,IMPRESION DE PASTA,CONTAMINACION,PROVEEDOR,HYUNDAI
SMD,IMPRESION DE PASTA,CONTAMINACION,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,PCB ABORTADO,MAQUINA,HYUNDAI
SMD,IMPRESION DE PASTA,UNIDAD CAIDA AL PISO,MANO DE OBRA,HYUNDAI
SMD,IMPRESION DE PASTA,SET UP DE EQUIPO,MAQUINA,HYUNDAI
SMD,IMPRESION DE PASTA,SET UP DE EQUIPO,MANO DE OBRA,HYUNDAI
SMD,IMPRESION DE PASTA,LIBERACION DE EQUIPO,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,PRUEBA DE INGENIERIA,METODO,HYUNDAI
SMD,IMPRESION DE PASTA,PCB DEFECTUOSO,PROVEEDOR,HYUNDAI
SMD,HORNO,PANEL ATORADO,METODO,HYUNDAI
SMD,HORNO,PANEL ATORADO,MAQUINA,HYUNDAI
SMD,HORNO,PANEL ATORADO,MANO DE OBRA,HYUNDAI
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO A ,MAQUINA,HYUNDAI
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO A ,METODO,HYUNDAI
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO B ,MAQUINA,HYUNDAI
SMD,HORNO,INSUFICIENCIA DE SOLDADURA LADO B ,METODO,HYUNDAI
SMD,HORNO,PERLAS DE SOLDADURA,MAQUINA,HYUNDAI
SMD,HORNO,PERLAS DE SOLDADURA,METODO,HYUNDAI
SMD,HORNO,CORTOS,METODO,HYUNDAI
SMD,HORNO,CORTOS,MAQUINA,HYUNDAI
SMD,HORNO,CORTOS,MANO DE OBRA,HYUNDAI
SMD,HORNO,SOLDADURA POROSA,METODO,HYUNDAI
SMD,HORNO,SOLDADURA POROSA,MAQUINA,HYUNDAI
SMD,HORNO,SOLDADURA POROSA,PROVEEDOR,HYUNDAI
SMD,HORNO,COMPONENTE DAÑADO,MAQUINA,HYUNDAI
SMD,HORNO,COMPONENTE DAÑADO,MANO DE OBRA,HYUNDAI
SMD,HORNO,COMPONENTE FALTANTE,MAQUINA,HYUNDAI
SMD,HORNO,COMPONENTE FALTANTE,METODO,HYUNDAI
SMD,HORNO,COMPONENTE ARRANCADO,MAQUINA,HYUNDAI
SMD,HORNO,COMPONENTE ARRANCADO,MANO DE OBRA,HYUNDAI
SMD,HORNO,COMPONENTE DE CANTO,MAQUINA,HYUNDAI
SMD,HORNO,COMPONENTE DE CANTO,METODO,HYUNDAI
SMD,HORNO,DESPLAZADO,MAQUINA,HYUNDAI
SMD,HORNO,TOMBSTONE,METODO,HYUNDAI
SMD,HORNO,TOMBSTONE,MAQUINA,HYUNDAI
SMD,HORNO,CONTAMINACION,MANO DE OBRA,HYUNDAI
SMD,HORNO,CONTAMINACION,MAQUINA,HYUNDAI
SMD,HORNO,CONTAMINACION,PROVEEDOR,HYUNDAI
SMD,HORNO,CONTAMINACION,METODO,HYUNDAI
SMD,HORNO,PCB ABORTADO,MAQUINA,HYUNDAI
SMD,HORNO,UNIDAD CAIDA AL PISO,MANO DE OBRA,HYUNDAI
SMD,HORNO,LIBERACION DE EQUIPO,METODO,HYUNDAI
SMD,HORNO,PRUEBA DE INGENIERIA,METODO,HYUNDAI
SMD,HORNO,SIN PRUEBA ANTERIOR,MANO DE OBRA,HYUNDAI
SMD,LASER,MATERIAL OBSOLETO,METODO,HYUNDAI
SMD,LASER,COBRE EXPUESTO,MAQUINA,HYUNDAI
SMD,LASER,COBRE EXPUESTO,METODO,HYUNDAI
SMD,LASER,COBRE EXPUESTO,MANO DE OBRA,HYUNDAI
SMD,LASER,COBRE EXPUESTO,PROVEEDOR,HYUNDAI
SMD,LASER,DATA MATRIX ILEGIBLE,METODO,HYUNDAI
SMD,LASER,DATA MATRIX ILEGIBLE,MAQUINA,HYUNDAI
SMD,LASER,DATA MATRIX INCORRECTO,MAQUINA,HYUNDAI
SMD,LASER,DATA MATRIX INCORRECTO,METODO,HYUNDAI
SMD,LASER,PANEL ATORADO,METODO,HYUNDAI
SMD,LASER,PANEL ATORADO,MAQUINA,HYUNDAI
SMD,LASER,PANEL ATORADO,MANO DE OBRA,HYUNDAI
SMD,LASER,SIN IMPRESION DE DATA MATRIX,MAQUINA,HYUNDAI
SMD,LASER,DATA MATRIX DUPLICADO,MAQUINA,HYUNDAI
SMD,LASER,DATA MATRIX DUPLICADO,METODO,HYUNDAI
SMD,LASER,LIBERACION DE EQUIPO,METODO,HYUNDAI
SMD,SIPLACE,PANEL ATORADO,METODO,HYUNDAI
SMD,SIPLACE,PANEL ATORADO,MAQUINA,HYUNDAI
SMD,SIPLACE,PANEL ATORADO,MANO DE OBRA,HYUNDAI
SMD,SIPLACE,PIN ELEVADO ,MANO DE OBRA,HYUNDAI
SMD,SIPLACE,PIN ELEVADO ,MAQUINA,HYUNDAI
SMD,SIPLACE,PIN ELEVADO ,PROVEEDOR,HYUNDAI
SMD,SIPLACE,CORTOS,METODO,HYUNDAI
SMD,SIPLACE,CORTOS,MAQUINA,HYUNDAI
SMD,SIPLACE,CORTOS,MANO DE OBRA,HYUNDAI
SMD,SIPLACE,COMPONENTE DAÑADO,METODO,HYUNDAI
SMD,SIPLACE,COMPONENTE DAÑADO,MAQUINA,HYUNDAI
SMD,SIPLACE,COMPONENTE DAÑADO,MANO DE OBRA,HYUNDAI
SMD,SIPLACE,COMPONENTE FALTANTE,MAQUINA,HYUNDAI
SMD,SIPLACE,COMPONENTE FALTANTE,METODO,HYUNDAI
SMD,SIPLACE,COMPONENTE ARRANCADO,MAQUINA,HYUNDAI
SMD,SIPLACE,COMPONENTE ARRANCADO,MANO DE OBRA,HYUNDAI
SMD,SIPLACE,COMPONENTE BOCA BAJO,MAQUINA,HYUNDAI
SMD,SIPLACE,COMPONENTE BOCA BAJO,METODO,HYUNDAI
SMD,SIPLACE,COMPONENTE DE CANTO,MAQUINA,HYUNDAI
SMD,SIPLACE,COMPONENTE DE CANTO,METODO,HYUNDAI
SMD,SIPLACE,DESPLAZADO,MAQUINA,HYUNDAI
SMD,SIPLACE,TOMBSTONE,METODO,HYUNDAI
SMD,SIPLACE,TOMBSTONE,MAQUINA,HYUNDAI
SMD,SIPLACE,COMPONENTE CON POLARIDAD INVERTIDA,MANO DE OBRA,HYUNDAI
SMD,SIPLACE,COMPONENTE CON POLARIDAD INVERTIDA,MAQUINA,HYUNDAI
SMD,SIPLACE,COMPONENTE EQUIVOCADO,MANO DE OBRA,HYUNDAI
SMD,SIPLACE,COMPONENTE EQUIVOCADO,MAQUINA,HYUNDAI
SMD,SIPLACE,COMPONENTE EQUIVOCADO,METODO,HYUNDAI
SMD,SIPLACE,COMPONENTE EQUIVOCADO,PROVEEDOR,HYUNDAI
SMD,SIPLACE,COMPONENTE ADICIONAL,MAQUINA,HYUNDAI
SMD,SIPLACE,PCB ABORTADO,MAQUINA,HYUNDAI
SMD,SIPLACE,COMPONENTE DAÑADO,PROVEEDOR,HYUNDAI
SMD,SIPLACE,DESPLAZADO,METODO,HYUNDAI
SMD,SIPLACE,UNIDAD CAIDA AL PISO,MANO DE OBRA,HYUNDAI
SMD,SIPLACE,MATERIAL OBSOLETO,MANO DE OBRA,HYUNDAI
SMD,SIPLACE,SET UP DE EQUIPO,MAQUINA,HYUNDAI
SMD,SIPLACE,SET UP DE EQUIPO,MANO DE OBRA,HYUNDAI
SMD,SIPLACE,LIBERACION DE EQUIPO,METODO,HYUNDAI
SMD,SIPLACE,PRUEBA DE INGENIERIA,METODO,HYUNDAI
SMD,SIPLACE,SIN PRUEBA ANTERIOR,MANO DE OBRA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,UNIDAD CAIDA AL PISO,MANO DE OBRA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,UNIDAD CAIDA AL PISO,METODO,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,MANO DE OBRA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,MAQUINA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,METODO,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,CARCASA DAÑADA,PROVEEDOR,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,MANO DE OBRA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,MAQUINA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,METODO,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,TAPA DAÑADA,PROVEEDOR,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SUBENSAMBLE DAÑADO,MANO DE OBRA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SUBENSAMBLE DAÑADO,MAQUINA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COBRE EXPUESTO,MANO DE OBRA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COBRE EXPUESTO,MAQUINA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,PRUEBA DE INGENIERIA,METODO,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,SET UP DE EQUIPO,METODO,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,MATERIAL OBSOLETO,METODO,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE ARRANCADO,MANO DE OBRA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE ARRANCADO,MAQUINA,HYUNDAI
BACKEND/ENSAMBLE FINAL,ATORNILLADO AUTOMATICO,COMPONENTE DAÑADO,MANO DE OBRA,HYUNDAI
