area,tegnologia,linea,dibivision,proyecto
SMD,ASYS,Linea 10,ID 2,MB W164
SMD,DEK,Linea 10,ID 2,MB W164
SMD,SIPLACE,Linea 10,ID 2,MB W164
SMD,HORNO DE REFLUJO,Linea 10,ID 2,MB W164
SMD,AOI,Linea 10,ID 2,MB W164
SMD,DESPANALIZADO ,Linea 10,ID 2,MB W164
SMD,DESPANALIZADO,Linea 10,ID 2,MB W164
SMD,MOTOR PIN-PRESS,Linea 10,ID 2,MB W164
SMD,ICT,Linea 10,ID 2,MB W164
SMD,PRUEBA FUNCIONAL,Linea 10,ID 2,MB W164
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,MB BR 166,ID 2,MB W164
BACKEND/ENSAMBLE FINAL,EMPAQUE,MB BR 166,ID 2,MB W164
