area,tecnologia,linea,division,proyecto
BACKEND/ENSAMBLE FINAL,OP   1010-1020-1030-1035,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP  1040-1070,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1110,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1120 - 1122,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1125,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1130 ,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1140,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1180,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1190,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1205,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1206,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1210,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1220,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1225,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1240-1256,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1260,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1270 ,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1273,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1275,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1280,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1305,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1315 ,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1317,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1318,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1320,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1330,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1335,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1337,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1338,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL,OP 1340,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
BACKEND/ENSAMBLE FINAL, OP 1350,TIPM-JUAREZ,B&S 2,TIPM-JUAREZ
