area,tecnologia,division,proyecto,,,,,TIS1C127 GM
BACKEND/ENSAMBLE FINAL,BATERIA DESCARGADA,B&S 2,TIS1C127  GM,,,,,TIS1C127 HMC
BACKEND/ENSAMBLE FINAL,BATERIA GOLPEADA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,BATERIA MAL COLADA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,BURBUJA EN BATERIA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,BURBUJAS FUERA DE SPEC,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,BURBUJAS FUERA DE SPEC MAYOR O IGUAL A 3MM,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,CAP DAÑADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,COBRE EXPUESTO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,COMPONENTE ARRANCADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,COMPONENTE FRACTURADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,CONTAMINACION DE FLUX,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,CORTE INCOMPLETO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,CORTOS,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,DELAMINACION,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,ERRORES DE INTERLOCKING,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,EXCESO DE PASS-COUNT,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,EXCESO DE SOLDADURA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,FALLA DE PROCESO ANTERIOR,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,FALLA DE PROGRAMA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,FALLA DE PROVEEDOR,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,FALLAS DE ESD,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,FUGA DE ANTICONGELANTE,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,HOUSING DAÑADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,ID NO COINCIDE,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,INSUFICIENCIA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,INSUFICIENCIA EN BATERIA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,MAL CORTE X DISCO DAÑADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,MAL CORTE X PROGRAMA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,MAL ENSAMBLE,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,MAL MANEJO EN MAGAZINE,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,MATERIAL DAÑADO A GRANEL,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,MATERIAL OBSOLETO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,MEZCLA DE MATERIAL ENTRE 120 Y 127,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,NO SE SIGUIO EL METODO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,ORIFICIO EN ESQUINA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PALLET GIRADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PESTAÑA QUEBRADA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PIEZA CAIDA AL PISO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PIEZA GOLPEADA/DAÑADA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PILA ELEVADA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PILA EQUIVOCADA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION INCORRECTA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PRUEBA DESTRUCTIVA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PU DAÑADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PU DERRAMADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,PU RAYADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,REBABAS,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,SEAL ROTO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,SENSOR TAPADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,SET UP O PRUEBAS,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,SR METALICO FALTANTE,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,UNIDAD CON DOBLE MARCADO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,UNIDAD SIN LASER,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,UNIDAD YA EMPACADAS,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,VALVULA DAÑADA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,VALVULA EQUIVOCADA,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,WASHER INVERTIDO,B&S 2,TIS1C127  GM,,,,,
BACKEND/ENSAMBLE FINAL,BATERIA DESCARGADA,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,BATERIA GOLPEADA,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,BATERIA MAL COLADA,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,BURBUJA EN BATERIA,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,BURBUJAS FUERA DE SPEC,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,BURBUJAS FUERA DE SPEC MAYOR O IGUAL A 3MM,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,CAP DAÑADO,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,COBRE EXPUESTO,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,COMPONENTE ARRANCADO,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,COMPONENTE FRACTURADO,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,CONTAMINACION DE FLUX,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,CORTE INCOMPLETO,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,CORTOS,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,DELAMINACION,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,ERRORES DE INTERLOCKING,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,EXCESO DE PASS-COUNT,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,EXCESO DE SOLDADURA,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,FALLA DE PROCESO ANTERIOR,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,FALLA DE PROGRAMA,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,FALLA DE PROVEEDOR,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,FALLAS DE ESD,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,FUGA DE ANTICONGELANTE,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,HOUSING DAÑADO,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,ID NO COINCIDE,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,INSUFICIENCIA,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,INSUFICIENCIA EN BATERIA,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,MAL CORTE X DISCO DAÑADO,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,MAL CORTE X PROGRAMA,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,MAL ENSAMBLE,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,MAL MANEJO EN MAGAZINE,B&S 2,TIS1C127 HMC,,,,,
BACKEND/ENSAMBLE FINAL,MATERIAL DAÑADO A GRANEL,B&S 2,TIS1C127 HMC,,,,,
