area,tecnologia,defecto,causa,division,proyecto,,TIS1C127 HMC,TIS1C127 GM
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PU,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,RF MIX,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PU,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RF MIX,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,FALLA DE PROVEEDOR,PROVEEDOR,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PU,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,RF MIX,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PU,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RF MIX,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,PIEZA CAIDA AL PISO,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PU,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,RF MIX,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PU,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RF MIX,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,PIEZA CAIDA AL PISO,METODO,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,PU,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,RF MIX,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,ROBOT DE SOLDADO,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 GM,,,
BACKEND/ENSAMBLE FINAL,CARGA Y DESCARGA CELDA BOSCH,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,EMPAQUE,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE SEAL,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE VALVULA,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE WASHER,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,INSERCION DE BATERIA,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,MEDICION DE ALTURA,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PROGRAMACION,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,PU,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RETOQUE,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
BACKEND/ENSAMBLE FINAL,RF MIX,PU DAÑADOS POR CHAROLAS,MANO DE OBRA,B&S2,TIS1C127 HMC,,,
