area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,CERRADO,GOLDEN OBSOLETA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,CERRADO,PESTAÑAS DOBLADAS,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,CERRADO,PIEZA CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD ABIERTA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,CERRADO,UNIDAD CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,CURADO,GOLDEN OBSOLETA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,CURADO,MAL FLUJO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,CURADO,PIEZA CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,CURADO,UNIDAD CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE CARCAZA,CARCAZA QUEBRADA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE CARCAZA,EXCESO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE CARCAZA,GOLDEN OBSOLETA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE CARCAZA,INSUFICIENCIA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE CARCAZA,UNIDAD CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE CONECTOR,EXCESO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE CONECTOR,GOLDEN OBSOLETA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE CONECTOR,INSUFICIENCIA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE CONECTOR,UNIDAD CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE GF,CARCASA QUEBRADA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE GF,GOLDEN OBSOLETA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE GF,MAL DOSIFICADO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE GF,MAL FLUJO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE GF,UNIDAD CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,DOSIFICADO DE GF,UNIDAD GOLPEADA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ENSAMBLE,FUERA DE ESPECIFICACION,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ENSAMBLE,GOLDEN OBSOLETA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ENSAMBLE,PRUEBA DE INGENIERIA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ENSAMBLE,UNIDAD CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,FLASHING,CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,FLASHING,COMPONENTE ARRANCADO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,FLASHING,COMPONENTE FRACTURADO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,FLASHING,FALLA DE PRUEBAS,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,FLASHING,MAL FLUJO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,HERMETICIDAD,FUGA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,HERMETICIDAD,GOLDEN OBSOLETA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,HERMETICIDAD,MAL FLUJO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,HERMETICIDAD,PIEZA CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,HERMETICIDAD,UNIDAD CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE ARRANCADO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ICT,COMPONENTE FRACTURADO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ICT,FALLA DE ICT,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ICT,GOLDEN OBSOLETA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ICT,SIN PRUEBA ANTERIOR,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD GOLPEADA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,ICT,UNIDAD MAL COLOCADA EN FIXTURA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,MINI OLA,CAIDA AL PISO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,MINI OLA,CAMBIO DE INGENIERIA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,MINI OLA,COBRE EXPUESTO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,MINI OLA,CODIFICACION DUPLICADA,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,MINI OLA,COMPONENTE ARRANCADO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,MINI OLA,COMPONENTE MAL INSERTADO,METODO,V8 V10,PE
BACKEND/ENSAMBLE FINAL,MINI OLA,CONTAMINACION,METODO,V8 V10,PE
