area,tecnologia,defecto,causa,division,proyecto
WHSE,002,CADUCO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,CAMBIO DE INGENIERIA,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,DAÑADO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,DAÑADO EN ALMACEN,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,DAÑADO POR TRANSPORTE,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,DEFECTO COSMETICO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,DERRAME,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,DERRAME POR TRANSPORTE,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,GOLPEADO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,MAL DISEÑO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,MAL MANEJO DE ALMACEN,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,MATERIAL CONTAMINADO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,MATERIAL DAÑADO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,MATERIAL FUERA DE ESPECIFICACION,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,MOJADO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,OBSOLETO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,PETICION DEL CLIENTE,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,PRUEBA DESTRUCTIVA,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,SOBRE INVENTARIO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,UNIDAD CAIDA AL PISO,MANO DE OBRA,B&S 2,PASE FOB CUSW
WHSE,002,CADUCO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,CAMBIO DE INGENIERIA,METODO,B&S 2,PASE FOB CUSW
WHSE,002,DAÑADO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,DAÑADO EN ALMACEN,METODO,B&S 2,PASE FOB CUSW
WHSE,002,DAÑADO POR TRANSPORTE,METODO,B&S 2,PASE FOB CUSW
WHSE,002,DEFECTO COSMETICO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,DERRAME,METODO,B&S 2,PASE FOB CUSW
WHSE,002,DERRAME POR TRANSPORTE,METODO,B&S 2,PASE FOB CUSW
WHSE,002,GOLPEADO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,MAL DISEÑO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,MAL MANEJO DE ALMACEN,METODO,B&S 2,PASE FOB CUSW
WHSE,002,MATERIAL CONTAMINADO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,MATERIAL DAÑADO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,MATERIAL FUERA DE ESPECIFICACION,METODO,B&S 2,PASE FOB CUSW
WHSE,002,MOJADO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,OBSOLETO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,PETICION DEL CLIENTE,METODO,B&S 2,PASE FOB CUSW
WHSE,002,PRUEBA DESTRUCTIVA,METODO,B&S 2,PASE FOB CUSW
WHSE,002,SOBRE INVENTARIO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,UNIDAD CAIDA AL PISO,METODO,B&S 2,PASE FOB CUSW
WHSE,002,CADUCO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,CAMBIO DE INGENIERIA,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,DAÑADO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,DAÑADO EN ALMACEN,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,DAÑADO POR TRANSPORTE,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,DEFECTO COSMETICO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,DERRAME,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,DERRAME POR TRANSPORTE,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,GOLPEADO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,MAL DISEÑO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,MAL MANEJO DE ALMACEN,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,MATERIAL CONTAMINADO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,MATERIAL DAÑADO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,MATERIAL FUERA DE ESPECIFICACION,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,MOJADO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,OBSOLETO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,PETICION DEL CLIENTE,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,PRUEBA DESTRUCTIVA,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,SOBRE INVENTARIO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,UNIDAD CAIDA AL PISO,MAQUINA,B&S 2,PASE FOB CUSW
WHSE,002,CADUCO,PROVEEDOR,B&S 2,PASE FOB CUSW
