area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,TESLA TG ECU
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,TESLA TG ECU
BACKEND/ENSAMBLE FINAL,PRESS FIT ,B&S 2,TESLA TG ECU
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S 2,TESLA TG ECU
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,TESLA TG ECU
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,TESLA TG ECU
BACKEND/ENSAMBLE FINAL,LASER WELDING,B&S 2,TESLA TG ECU
BACKEND/ENSAMBLE FINAL,EMPAQUE,B&S 2,TESLA TG ECU
SMD,LASER MARKING,B&S 2,TESLA TG ECU
SMD,ASSYS,B&S 2,TESLA TG ECU
SMD,DEK,B&S 2,TESLA TG ECU
SMD,AOI PASTA,B&S 2,TESLA TG ECU
SMD,SIPLACE,B&S 2,TESLA TG ECU
SMD,SX2_1,B&S 2,TESLA TG ECU
SMD,SX2_2,B&S 2,TESLA TG ECU
SMD,SX2_3,B&S 2,TESLA TG ECU
SMD,X3,B&S 2,TESLA TG ECU
SMD,X4,B&S 2,TESLA TG ECU
SMD,HORNO DE REFLUJO,B&S 2,TESLA TG ECU
SMD,AOI COMPONENTES,B&S 2,TESLA TG ECU
SMD,ICT,B&S 2,TESLA TG ECU
