area,tecnologia,defecto,causa,division,proyecto
BACKEND/ENSAMBLE FINAL,PREFORMADO,componentes daños eso va para todos los procesos de PSA,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,PREFORMADO,componentes daños eso va para todos los procesos de PSA,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,PREFORMADO,componentes daños eso va para todos los procesos de PSA,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,FALTANTE,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,SIN EVIDENCIA DE PIN,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,CONECTOR EQUIVOCADO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARRANCADO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,MATERIAL OBSOLETO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,PRUEBAS DE INGENIERIA,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,MAL MANEJO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,FALTANTE,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,SIN EVIDENCIA DE PIN,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,CONECTOR EQUIVOCADO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARRANCADO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,MATERIAL OBSOLETO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,PRUEBAS DE INGENIERIA,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,MAL MANEJO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,FALTANTE,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,SIN EVIDENCIA DE PIN,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,CONECTOR EQUIVOCADO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,ARRANCADO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,MATERIAL OBSOLETO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,PRUEBAS DE INGENIERIA,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,MAL MANEJO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,CORTO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,SOLDADURA SOBRE PCB,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,CONECTOR QUEMADO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,PERLAS,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,PIN SIN SOLDAR,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,CORTO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,SOLDADURA SOBRE PCB,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,CONECTOR QUEMADO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,PERLAS,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,PIN SIN SOLDAR,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,CORTO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,SOLDADURA SOBRE PCB,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,INSUFICIENCIA,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,CONECTOR QUEMADO,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,PERLAS,OPEL 3300,PSAD,OPEL 4400
BACKEND/ENSAMBLE FINAL,OLA,PIN SIN SOLDAR,OPEL 3300,PSAD,OPEL 4400
