area,tecnologia,division,proyecto
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,INSERCION MANUAL,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,OLA,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,ENSAMBLE DE PCB,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,ANTENA
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,PRESS FIT ,B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,CERRADO,B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,KITTING,B&S 2,ACURA ECU
BACKEND/ENSAMBLE FINAL,ICT,B&S 2,ACURA FOB
BACKEND/ENSAMBLE FINAL,DESPANELIZADO,B&S 2,ACURA FOB
BACKEND/ENSAMBLE FINAL,LAQUEADO,B&S 2,ACURA FOB
BACKEND/ENSAMBLE FINAL,LASER MARKING,B&S 2,ACURA FOB
BACKEND/ENSAMBLE FINAL,PRUEBA FINAL,B&S 2,ACURA FOB
BACKEND/ENSAMBLE FINAL,"FLASHING 
(Test Software)",B&S 2,ACURA FOB
BACKEND/ENSAMBLE FINAL,DIAGNOSTICO,B&S 2,ACURA FOB
BACKEND/ENSAMBLE FINAL,OBSOLESCENCIA,B&S 2,ACURA FOB
