No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad			Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
95692	ZSCR	551	040-2	NA	5WK49521	NA	A2C53105128	1	015		1402	contact spring	NA	ROH	NA	0.32	4954709886
95703	ZSCR	551	034-4	NA	5WK49521	NA	A2C53105128	2	015		1344	contact spring	NA	ROH	NA	0.64	4954711206
95692	ZSCR	551	040-2	NA	5WK49521	NA	A2C53248677	1	015		1402	cover inner housing	NA	ROH	NA	1.65	4954709886
95703	ZSCR	551	034-4	NA	5WK49521	NA	A2C53248677	4	015		1344	cover inner housing	NA	ROH	NA	6.6	4954711206
87660	ZSCR	551	040-2	NA	A2C53348719	NA	A2C00046497	1	015		1402	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	9.17	4954709919
88125	ZSCR	551	040-2	NA	A2C53348718	NA	A2C00046497	1	015		1402	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	9.17	4954709906
88126	ZSCR	551	040-2	NA	A2C53439717	NA	A2C00051931	5	015		1402	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	43.65	4954709985
93642	ZSCR	551	040-2	NA	A2C53348718	NA	A2C00046497	6	015		1402	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	55.02	4954709906
95932	ZSCR	551	040-2	NA	A2C53348719	NA	A2C00046497	4	015		1402	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	36.68	4954709919
95697	ZSCR	551	040-4	NA	5WK49521	NA	A2C53251346	12	015		1404	FOB HONDA LOGO	NA	ROH	NA	65.4	4954709757
78153	ZSCR	551	040-3	NA	A2C53348719	NA	A2C53311707	41	015		1403	housing	NA	ROH	NA	97.58	4954709819
87143	ZSCR	551	034-2	NA	A2C53373418	NA	A2C53311707	4	015		1342	housing	NA	ROH	NA	9.52	4954711531
93258	ZSCR	551	034-2	NA	A2C53420010	NA	A2C53311707	2	015		1342	housing	NA	ROH	NA	4.76	4954711613
93312	ZSCR	551	034-2	NA	A2C53348718	NA	A2C53311707	5	015		1342	housing	NA	ROH	NA	11.9	4954711499
94846	ZSCR	551	034-2	NA	5WK50228	NA	A2C53371500	1	015		1342	housing	NA	ROH	NA	25.71	4954711488
95929	ZSCR	551	034-2	NA	A2C53348719	NA	A2C53311707	5	015		1342	housing	NA	ROH	NA	11.9	4954711511
95989	ZSCR	551	034-2	NA	A2C53348719	NA	A2C53311707	75	015		1342	housing	NA	ROH	NA	178.5	4954711511
95626	ZSCR	551	040-2	NA	5WK47834	NA	A2C53249345	11	015		1402	housing assy	NA	ROH	NA	59.62	4954709854
95630	ZSCR	551	050-1	NA	5WK47833H	NA	A2C53249345	1	015		1501	housing assy	NA	ROH	NA	5.42	4954709670
95636	ZSCR	551	040-2	NA	5WK47834	NA	A2C53249345	1	015		1402	housing assy	NA	ROH	NA	5.42	4954709854
95637	ZSCR	551	040-2	NA	5WK47834	NA	A2C53249345	9	015		1402	housing assy	NA	ROH	NA	48.78	4954709854
95697	ZSCR	551	040-4	NA	5WK49521	NA	A2C53248674	13	015		1404	Housing bottom fob	NA	ROH	NA	79.43	4954709757
95692	ZSCR	551	040-2	NA	5WK49521	NA	A2C53248676	1	015		1402	inner housing	NA	ROH	NA	2.64	4954709886
95703	ZSCR	551	034-4	NA	5WK49521	NA	A2C53248676	4	015		1344	inner housing	NA	ROH	NA	10.56	4954711206
94826	ZSCR	551	034-3	NA	5WK50227	NA	A2C53410060	25	015		1343	"label 50,00x 25,00mm green foil"	NA	ROH	NA	9.5	4954711257
94827	ZSCR	551	034-2	NA	5WK50221	NA	A2C53410060	69	015		1342	"label 50,00x 25,00mm green foil"	NA	ROH	NA	26.22	4954711287
94826	ZSCR	551	034-3	NA	5WK50222	NA	A2C53410038	13	015		1343	"label 50,00x 25,00mm white foil"	NA	ROH	NA	3.38	4954711231
94827	ZSCR	551	034-2	NA	5WK50222	NA	A2C53410038	15	015		1342	"label 50,00x 25,00mm white foil"	NA	ROH	NA	3.9	4954711463
94826	ZSCR	551	034-3	NA	5WK50226	NA	A2C53410048	11	015		1343	"label 50,00x 25,00mm yello foil"	NA	ROH	NA	4.18	4954711246
94827	ZSCR	551	034-2	NA	5WK50226	NA	A2C53410048	35	015		1342	"label 50,00x 25,00mm yello foil"	NA	ROH	NA	13.3	4954711477
95697	ZSCR	551	040-4	NA	5WK49521	NA	A2C53285408	8	015		1404	"label D= 3,00mm white paper"	NA	ROH	NA	6.08	4954709757
95647	ZSCR	551	040-4	NA	5WK47834	NA	A2C53249431	1	015		1404	multipoint connector 73P H 3SYS BK	NA	ROH	NA	25.47	4954709689
95651	ZSCR	551	040-4	NA	5WK47834	NA	A2C53249431	1	015		1404	multipoint connector 73P H 3SYS BK	NA	ROH	NA	25.47	4954709689
78153	ZSCR	551	040-3	NA	A2C53348719	NA	A2C53278177	41	015		1403	"sealing ring 2x 2,85 40"	NA	ROH	NA	5.33	4954709819
90236	ZSCR	551	040-4	NA	A2C53397674	NA	A2C53352996	29	015		1404	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	66.12	4954709771
90211	ZSCR	551	040-2	NA	A2C53373417F	NA	A2C53401335	3	015		1402	valve assy	NA	ROH	NA	21.09	4954709939
90188	ZSCR	551	040-2	NA	A2C53397674	NA	A2C53309038	1	015		1402	valve housing assy	NA	ROH	NA	6.74	4954709975
