No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad					Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
87402	MB1A	551	040-3	B30301-00495	NA	NA	A2C53395687	1	3011	045		1095	housing assy FOG FORD P	NA	ROH	NA	4.79	
91808	ZSCR	551	030-1	NA	5WY7976	NA	A2C53119454	48	3011	045		1301	PCB Clip On FR4/2-LAYER PATS	NA	ROH	NA	63.36	4954739877
91810	ZSCR	551	040-2	NA	5WY8042B	NA	A2C53211665	4	3011	045		1402	HOUSING ACTIVE ANTENNA FORD	NA	ROH	NA	11.84	4954739279
91812	ZSCR	551	034-4	NA	5WY7703	NA	A2C53119450	2	3011	045		1344	HOUSING PARA 5WY7703 (ANTENA) CLIP ON	NA	ROH	NA	21.3	4954739663
91814	ZSCR	551	040-1	NA	5WY7703B	NA	40091530	1	3011	045		1401	SMD ESPEJO PATS CLIP ON MY08	NA	HALB	S.Real	19.43	4954740071
91868	ZSCR	551	040-1	NA	5WY8686	NA	6594352056	11	3011	045		1401	"14VRMS,RAD,VARISTOR/S14K14AUTO"	NA	ROH	NA	7.92	4954739414
91868	ZSCR	551	040-1	NA	5WY8604	NA	A2C00005633	47	3011	045		1401	35V 0%~+30% ELECTROLYTIC CAPACITOR	NA	ROH	NA	56.87	4954739396
91868	ZSCR	551	040-1	NA	5WY8604	NA	A2C00042358	51	3011	045		1401	"220uF,20%,50V,HOL,AL,ELEC CAP/ J-Lead"	NA	ROH	NA	58.65	4954739396
93961	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53285996B	1	3011	045		1402	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	50.98	4954739993
93990	ZSCR	551	034-2	NA	5WK49622C	NA	A2C00004906	7	3011	045		1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	9.59	4954739803
93990	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53319341	7	3011	045		1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.28	4954739803
93990	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53323911	7	3011	045		1342	housing	NA	ROH	NA	7.42	4954739803
93990	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53323916	7	3011	045		1342	slide	NA	ROH	NA	5.6	4954739803
93990	ZSCR	551	034-2	NA	5WK49622C	NA	A2C53358639	7	3011	045		1342	contact spring	NA	ROH	NA	4.06	4954739803
93990	ZSCR	551	034-2	NA	S180143002	NA	A2C53365040	7	3011	045		1342	housing bottom	NA	ROH	NA	6.72	4954739848
93992	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53319341	1	3011	045		1402	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.04	4954739103
93992	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53323911	1	3011	045		1402	housing	NA	ROH	NA	1.06	4954739103
93992	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53323916	2	3011	045		1402	slide	NA	ROH	NA	1.6	4954739103
93992	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53358639	6	3011	045		1402	contact spring	NA	ROH	NA	3.48	4954739103
93992	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53365041	11	3011	045		1402	housing	NA	ROH	NA	11.22	4954739103
93992	ZSCR	551	040-2	NA	5WK49670C	NA	A2C53394918	6	3011	045		1402	certification label	NA	ROH	NA	29.58	4954739103
93997	ZSCR	551	034-2	NA	5WK49672C	NA	A2C00004906	2	3011	045		1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	2.74	4954739827
93997	ZSCR	551	034-2	NA	5WK49672C	NA	A2C53319341	2	3011	045		1342	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.08	4954739827
93997	ZSCR	551	034-2	NA	5WK49672C	NA	A2C53323911	2	3011	045		1342	housing	NA	ROH	NA	2.12	4954739827
93997	ZSCR	551	034-2	NA	5WK49672C	NA	A2C53323916	2	3011	045		1342	slide	NA	ROH	NA	1.6	4954739827
93997	ZSCR	551	034-2	NA	5WK49672C	NA	A2C53358639	2	3011	045		1342	contact spring	NA	ROH	NA	1.16	4954739827
93997	ZSCR	551	034-2	NA	S180143002	NA	A2C53365040	2	3011	045		1342	housing bottom	NA	ROH	NA	1.92	4954739848
93999	ZSCR	551	040-2	NA	5WK49608C	NA	A2C00004906	1	3011	045		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	1.37	4954739087
94262	ZSCR	551	040-2	NA	S180039013	NA	A2C53303672	1	3011	045		1402	bracket	NA	ROH	NA	3.78	4954739375
94263	ZSCR	551	030-1	NA	S180039013	NA	A2C53293984	18	3011	045		1301	pcb TLS_RECEIVE	NA	ROH	NA	66.42	4954739931
94264	ZSCR	551	030-1	NA	5WK49608C	NA	A2C53297341	30	3011	045		1301	pcb NIS	NA	ROH	NA	95.1	4954739864
94268	ZSCR	551	040-2	NA	5WK50195C	NA	A2C53319341	2	3011	045		1402	"compression spring D= 1,20x 0,25x 9,40"	NA	ROH	NA	0.08	4954739134
94268	ZSCR	551	040-2	NA	5WK50195C	NA	A2C53357565	2	3011	045		1402	Housing Logo Z	NA	ROH	NA	3.66	4954739244
94268	ZSCR	551	040-2	NA	5WK50195C	NA	A2C53357566	2	3011	045		1402	certification label	NA	ROH	NA	11.66	4954739134
94268	ZSCR	551	040-2	NA	5WK50195C	NA	A2C53358639	10	3011	045		1402	contact spring	NA	ROH	NA	5.8	4954739134
94270	ZSCR	551	040-3	NA	5WK49670C	NA	A2C53285996B	2	3011	045		1403	SMD Subassembly Key Fob 4B HWC	NA	HALB	S.Real	101.96	4954739976
