No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
87461	MB1A	951	025-3	NA	NA	NA	A2C00065102	6	3011	073		1253	"1RANSISTOR, IRF9640, TO 220"	VUG15094	ROH	NA	28.02	4955028869
87461	MB1A	951	025-3	NA	NA	NA	A2C00022085	2	3011	073		1253	"1,42V,38mOhm,TO220-AB/5,GENERAL PURPOSE,"	VUG15094	ROH	NA	23.52	4955028869
87461	MB1A	951	025-3	NA	NA	NA	A2C00011060	4	3011	073		1253	"60V,30mOhm,TO220-AB/5,GENERAL PURPOSE,HI"	VUG15094	ROH	NA	30.44	4955028869
87461	MB1A	951	025-3	NA	NA	NA	6596672047	1	3011	073		1253	"IC, LMB1029, TO 220"	VUG15094	ROH	NA	0.3	4955028869
87461	MB1A	951	025-3	NA	NA	NA	6594602055	6	3011	073		1253	BIP TRANSISTOR / TIP32C_______	VUG15094	ROH	NA	9.6	4955028869
87461	MB1A	951	025-3	NA	NA	NA	6594602092	1	3011	073		1253	"TRANSISTOR,MJE15031,TO220 AB"	VUG15094	ROH	NA	2.44	4955028869
87461	MB1A	951	025-3	NA	NA	NA	6594392053	1	3011	073		1253	"1UF,10%,160V,MKT,FILM CAP/"	VUG15094	ROH	NA	1.65	4955028869
87461	MB1A	951	025-3	NA	NA	NA	6592392085	2	3011	073		1253	"330UF,30%,63V,HOL,AL,ELEC CAP/"	VUG15094	ROH	NA	35.68	4955028869
87461	MB1A	951	025-3	NA	NA	NA	6594312007	3	3011	073		1253	"DIODO, MUR840, TO 220"	VUG15094	ROH	NA	6	4955028869
87461	MB1A	951	025-3	NA	NA	NA	6521017001	1	3011	073		1253	CONECTOR X1 CEC I	VUG15094	ROH	NA	61.38	4955028869
87461	MB1A	951	025-3	NA	NA	NA	6521010706	1	3011	073		1253	SOPORTE PARA CAPACITOR RM15	VUG15094	ROH	NA	1.02	4955028869
87461	MB1A	951	025-3	NA	NA	NA	6521010709	7	3011	073		1253	PERNO DE UNION NAVYSTAR	VUG15094	ROH	NA	23.03	4955028869
87461	MB1A	951	025-3	NA	NA	NA	6521017002	1	3011	073		1253	CONECTOR X2 CEC I	VUG15094	ROH	NA	61.38	4955028869
