No.Item	Txs SAP	Mov	C—digo Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
115468	ZSCR	551	035-1	0	6598087603	NA	6597947601	1898	1351	2-PIN CONNECTOR		ROH	NA	626.34	4956269241
115682	ZSCR	551	040-2	NA	A2C53386110	NA	A2C53386111B	204	1402	Circuit board assy SMD bottom	NA	HALB	S.Real/AutoBF	15442.8	4956269014
119011	ZSCR	551	035-1	0	6598087603	NA	6597947601	1362	1351	2-PIN CONNECTOR		ROH	NA	449.46	4956269241
120170	ZSCR	551	034-9	NA	5WY8606	NA	A2C00018512	300	1349	sticker identi spool unprin	NA	ROH	NA	111	4956269863
120205	ZSCR	551	040-2	NA	5WY8420	NA	A2C53139545	8	1402	key GM CADILLA 5BUT 295	NA	ROH	NA	190.24	4956268982
120206	ZSCR	551	040-2	NA	5WY8420	NA	A2C53139536	8	1402	housing BK	NA	ROH	NA	43.2	4956268982
120208	ZSCR	551	040-2	NA	5WY8417	NA	A2C53139537	8	1402	housing BK	NA	ROH	NA	17.84	4956268968
120209	ZSCR	551	040-2	NA	5WY8420	NA	A2C00004906	8	1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	10.96	4956268982
120211	ZSCR	551	040-2	NA	5WY8420	NA	A2C53141159	8	1402	spring button	NA	ROH	NA	7.28	4956268982
120213	ZSCR	551	040-2	NA	5WY8420	NA	A2C53141160	8	1402	pushbutton 0 top	NA	ROH	NA	11.12	4956268982
120214	ZSCR	551	040-2	NA	5WY8420	NA	A2C53105128	8	1402	contact spring	NA	ROH	NA	2.56	4956268982
120218	ZSCR	551	042-4	NA	5WY8042	NA	6598149024	1	1424	Active Antenna Subassembly	NA	HALB	S.Real/AutoBF	26.24	4956268459
120238	ZSCR	551	040-5	NA	5WY8604	NA	40340074	2	1405	Subassy SMD ECU PEPS MY11	NA	HALB	S.Real	245.44	4956268472
120804	ZSCR	551	034-2	NA	5WG50028	NA	A2C53287265	376	1342	pcb VW PQ35	NA	ROH	NA	4809.04	4956269881
121084	ZSCR	551	040-3	NA	5WY8604	NA	A2C53353727	1	1403	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	178.12	4956268632
121146	ZSCR	551	040-2	NA	5WY8042C	NA	A2C53211665	14	1402	HOUSING ACTIVE ANTENNA FORD	NA	ROH	NA	41.44	4956268957
121292	ZSCR	551	040-3	NA	5WY8604	NA	A2C53353727	2	1403	Wave sub assy FORD PEPS MY 2011	NA	HALB	S.Real/AutoBF	356.24	4956268632
121324	ZSCR	551	050-3	NA	5WY8042	NA	6598147621	1	1503	SMD Active Antenna	NA	HALB	S.Real	20.22	4956268440
121482	ZSCR	551	050-3	NA	5WK49608C	NA	A2C53113919	1	1503	pushbutton	NA	ROH	NA	10.25	4956268416
