No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	No.Docto.SAP
74151	ZSCR	551	034-2	NA	A2C53348715	NA	A2C53401335	2	valve assy	NA	ROH	NA	14.06	4956506286
77593	ZSCR	551	040-2	NA	A2C53348715	NA	A2C53327812	7	"sealing ring 10x 4,4"	NA	ROH	NA	12.95	4956507121
92848	ZSCR	551	022-2	NA	NA	NA	A2C53327812	22	"sealing ring 10x 4,4"	NA	ROH	NA	40.7	4956505875
99261	ZSCR	551	034-2	NA	A2C53348715	NA	A2C53327812	297	"sealing ring 10x 4,4"	NA	ROH	NA	549.45	4956506286
103967	ZSCR	551	034-2	NA	A2C53376140	NA	A2C53375809	14	Valve w/ Grey cap	NA	ROH	NA	105.14	4956506292
104723	ZSCR	551	040-2	NA	S180052017	NA	A2C53375809	15	Valve w/ Grey cap	NA	ROH	NA	112.65	4956507180
104724	ZSCR	551	040-2	NA	5WY8547	NA	A2C53401335	1	valve assy	NA	ROH	NA	7.03	4956506916
108471	ZSCR	551	034-2	NA	5WY8920	NA	A2C53429646	317	"CONT,CONN,M,0CONT,CONNECTORS, DL 0.64MM"	NA	ROH	NA	31.7	4956506133
109859	ZSCR	551	040-4	NA	A2C53348718	NA	A2C00046497	4	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	36.68	4956507291
114111	ZSCR	551	040-3	NA	S180052017	NA	A2C53278172	16	"rot shaft lip seal 9,4x16,30x 6,5 VMQ"	NA	ROH	NA	25.12	4956507277
115444	ZSCR	551	030-1	NA	A2C53406358	NA	A2C53335101	1	pin header 20P H 2R PF BK	NA	ROH	NA	48.02	4956505942
117000	ZSCR	551	040-3	NA	A2C53407348	NA	A2C53375809	8	Valve w/ Grey cap	NA	ROH	NA	60.08	4956507248
119756	ZSCR	551	040-3	NA	5WY7821	NA	A2C53179746	4	male connector 12P H 2R THP GN	NA	ROH	NA	35.12	4956507215
119782	ZSCR	551	040-2	NA	5WY7911	NA	A2C53189294	2	housing assy CHR (DCX) FOB	NA	ROH	NA	175.62	4956506913
119911	ZSCR	551	034-2	NA	5WK49521	NA	A2C53251345	4	SLIDER	NA	ROH	NA	6.96	4956505994
119912	ZSCR	551	022-2	NA	5WK49892	NA	A2C53251345	5	SLIDER	NA	ROH	NA	8.7	4956505809
119913	ZSCR	551	022-2	NA	5WK49892	NA	A2C53251345	28	SLIDER	NA	ROH	NA	48.72	4956505809
120010	ZSCR	551	034-2	NA	5WY7911	NA	A2C53189294	1	housing assy CHR (DCX) FOB	NA	ROH	NA	87.81	4956506096
120018	ZSCR	551	040-5	NA	5WY8309	NA	A2C53189296	7	RF Antenna	NA	ROH	NA	52.01	4956507413
122361	ZSCR	551	040-3	NA	S180052033	NA	A2C53352996	21	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	47.88	4956507256
122427	ZSCR	551	022-2	NA	A2C34446400	NA	A2C00000436	125	"1,NPN,NORMAL,200mA,40V,SOT23,BIP/PMBT390"	NA	ROH	NA	12.5	4956505858
122427	ZSCR	551	022-2	NA	5WY7847	NA	A2C00032313	125	"1/16W THICK FILM-RESISTOR 1%,"	NA	ROH	NA	1.25	4956505834
