No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP		
142534	ZSCR	551	040-4	NA	5WY9011	NA	A2C31231100	1404	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	670.44	S1_TIPM MEDIUM_ (APROB	4957511659		
142535	ZSCR	551	040-2	NA	5WY9011	NA	A2C31231100	1402	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	223.48	S1_TIPM MEDIUM_ (APROB	4957511506		
142536	ZSCR	551	034-2	NA	5WY9011	NA	A2C31231100	1342	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	893.92	S1_TIPM MEDIUM_ (APROB	4957511238		
142537	ZSCR	551	030-1	NA	5WY9011	NA	A2C31231100	1301	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	223.48	S1_TIPM MEDIUM_ (APROB	4957511120		
142539	ZSCR	551	030-1	NA	5WY9011	NA	A2C31231100	1301	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	1117.4	S1_TIPM MEDIUM_ (APROB	4957511120		
142738	ZSCR	551	034-2	NA	5WY9011	NA	A2C31231100	1342	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	223.48	S1_TIPM MEDIUM_ (APROB	4957511238		
142740	ZSCR	551	034-8	NA	A2C53428272T	NA	A2C53428225	1348	PCB RIGID MY11 TIPM DV LOGIC PCB	NA	ROH	NA	316.32	S1_TIPM LOGIC_ (APROBA	4957513552		
142741	ZSCR	551	034-8	NA	A2C53428272	NA	A2C53428198	1348	"PIN,SPD TERM Z02 VERISON"	NA	ROH	NA	10.8	S1_TIPM LOGIC_ (APROBA	4957513552		
142808	ZSCR	551	030-1	NA	5WY9011	NA	A2C31231100	1301	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	1340.88	S1_TIPM MEDIUM_ (APROB	4957511120		
142809	ZSCR	551	030-1	NA	5WY9011	NA	A2C31231100	1301	TIPM 7Ci MY12 PV MED PROD INT ASSEM v2	NA	HALB	S.Real	1340.88	S1_TIPM MEDIUM_ (APROB	4957511120		
