No.Item	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	No.Docto.SAP
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00000258	1	3011	050		1351	"4.7V,350mW,SOT23,ZENER/BZX84C4V7,215"		ROH	NA	0.09	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00000258	1	3011	050		1351	"4.7V,350mW,SOT23,ZENER/BZX84C4V7,215"		ROH	NA	0.09	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00000414	1	3011	050		1351	"70V,140mA,2,STANDARD,SOT23,RECT DIODE/BA"		ROH	NA	0.11	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00000414	1	3011	050		1351	"70V,140mA,2,STANDARD,SOT23,RECT DIODE/BA"		ROH	NA	0.11	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00000568	1	3011	050		1351	"T BIP/BC 847S E6327,SOT363"		ROH	NA	0.18	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00000568	1	3011	050		1351	"T BIP/BC 847S E6327,SOT363"		ROH	NA	0.18	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00001877	2	3011	050		1351	"220nF,10%,50V,X7R,1206,TINNED,CER CAP/"		ROH	NA	0.22	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00001877	2	3011	050		1351	"220nF,10%,50V,X7R,1206,TINNED,CER CAP/"		ROH	NA	0.22	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00001994	663	3011	050		1351	"1nF,10%,500V,X7R,1206,TINNED,CER CAP/"		ROH	NA	125.97	ES_V8 V10_NA	4958241255
156252	ZSCR	551	035-1	0	A2C31624400B	NA	A2C00001994	115	3011	050		1351	"1nF,10%,500V,X7R,1206,TINNED,CER CAP/"		ROH	NA	21.85	ES_V8 V10_NA	4958241324
156252	ZSCR	551	035-1	0	A2C31624600T	NA	A2C00001994	76	3011	050		1351	"1nF,10%,500V,X7R,1206,TINNED,CER CAP/"		ROH	NA	14.44	ES_V8 V10_NA	4958241516
156252	ZSCR	551	035-1	0	A2C31624100B	NA	A2C00001994	15	3011	050		1351	"1nF,10%,500V,X7R,1206,TINNED,CER CAP/"		ROH	NA	2.85	ES_V8 V10_NA	4958241175
156252	ZSCR	551	035-1	0	A2C31624600B	NA	A2C00001994	3	3011	050		1351	"1nF,10%,500V,X7R,1206,TINNED,CER CAP/"		ROH	NA	0.57	ES_V8 V10_NA	4958241494
156252	ZSCR	551	035-1	0	A2C31624500T	NA	A2C00001994	4	3011	050		1351	"1nF,10%,500V,X7R,1206,TINNED,CER CAP/"		ROH	NA	0.76	ES_V8 V10_NA	4958241458
156252	ZSCR	551	035-1	0	A2C31624100T	NA	A2C00001994	663	3011	050		1351	"1nF,10%,500V,X7R,1206,TINNED,CER CAP/"		ROH	NA	125.97	ES_V8 V10_NA	4958241255
