No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
165172	08/06/2012	ZSCR	551	034-2	NA	S180052025	NA	A2C53311707	44	3011	015		1342	housing	NA	ROH	NA	117.48	S5_TG1C HONDA_MIGUEL QU	NO	4958879135
165174	08/06/2012	ZSCR	551	034-2	NA	A2C53345109	NA	A2C53402231	1				1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	47.54	S5_TG1C HONDA_MIGUEL QU	NO	4958878585
165178	08/06/2012	ZSCR	551	034-8	NA	5WY8547	NA	A2C53311707	124	3011	015		1348	housing	NA	ROH	NA	331.08	S5_TG1C HONDA_MIGUEL QU	NO	4958879185
165192	08/06/2012	ZSCR	551	034-8	NA	S180052025	NA	A2C53278177	89	3011	015		1348	"sealing ring 2x 2,85 40"	NA	ROH	NA	8.01	S5_TG1C HONDA_MIGUEL QU	NO	4958879193
165192	08/06/2012	ZSCR	551	034-8	NA	S180052025	NA	A2C53311707	89	3011	015		1348	housing	NA	ROH	NA	237.63	S5_TG1C HONDA_MIGUEL QU	NO	4958879193
165194	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C00046497	7	3011	015		1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	68.6	S1_TG1C DCX_JAIME JIMEN	NO	4958878943
165203	08/06/2012	ZSCR	551	030-1	NA	S180052025	NA	A2C53311707	11	3011	015		1301	housing	NA	ROH	NA	29.37	S5_TG1C HONDA_MIGUEL QU	NO	4958878914
165209	08/06/2012	ZSCR	551	034-2	NA	A2C53345109	NA	A2C53402231	4				1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	190.16	S5_TG1C HONDA_MIGUEL QU	NO	4958878585
165211	08/06/2012	ZSCR	551	034-2	NA	S180052025	NA	A2C53345109	5				1342	wheel unit TPM 315 MHz TMPS	NA	HALB	S.Real/AutoBF	284.25	S5_TG1C HONDA_MIGUEL QU	NO	4958878538
165213	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53348715	2				1342	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	115.84	S1_TG1C DCX_JAIME JIMEN	NO	4958878549
165216	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C32163600	2				1342	module assy TPM	NA	HALB	S.Real/AutoBF	96	S1_TG1C DCX_JAIME JIMEN	NO	4958878478
165217	08/06/2012	ZSCR	551	034-2	NA	S180052036	NA	A2C81364700	2				1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	100.64	S1_TG1C NISSAN_JAIME JI	NO	4958878601
165218	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53311707	42	3011	015		1342	housing	NA	ROH	NA	112.14	S5_TG1C HONDA_MIGUEL QU	NO	4958878943
165221	08/06/2012	ZSCR	551	034-2	NA	S180052017	NA	A2C53402099	3				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	282.93	S1_TG1C HYUNDAI_CARLOS	NO	4958878567
165223	08/06/2012	ZSCR	551	034-2	NA	S180052036	NA	A2C81364700	1				1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	50.32	S1_TG1C NISSAN_JAIME JI	NO	4958878601
165224	08/06/2012	ZSCR	551	034-2	NA	S180052034	NA	A2C37347100	4				1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	122.92	S1_TG1C NISSAN_JAIME JI	NO	4958878513
165226	08/06/2012	ZSCR	551	040-1	NA	A2C53345109	NA	A2C53402230	2				1401	module assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	94.3	S5_TG1C HONDA_MIGUEL QU	NO	4958878621
165227	08/06/2012	ZSCR	551	034-2	NA	S180052033	NA	A2C37351000	1				1342	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	43.65	S1_TG1C NISSAN_JAIME JI	NO	4958878519
165228	08/06/2012	ZSCR	551	034-2	NA	5WY8816	NA	A2C34828400	1				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	54.25	S1_TG1C UNIVERSAL_JAIME	NO	4958878493
165229	08/06/2012	ZSCR	551	034-2	NA	S180052036	NA	A2C81364700	1				1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	50.32	S1_TG1C NISSAN_JAIME JI	NO	4958878601
165250	08/06/2012	ZSCR	551	034-2	NA	S180052034	NA	A2C37346900	3				1342	housing assy TPM	NA	HALB	S.Real/AutoBF	135	S1_TG1C NISSAN_JAIME JI	NO	4958878501
165262	08/06/2012	ZSCR	551	034-4	NA	5WK50227	NA	A2C53393484	2	3011	015		1344	housing	NA	ROH	NA	47.76	S1_BMW_ADRIAN CEBALLOS	NO	4958879155
165265	08/06/2012	ZSCR	551	034-4	NA	5WK50227	NA	A2C53393484	3	3011	015		1344	housing	NA	ROH	NA	71.64	S1_BMW_ADRIAN CEBALLOS	NO	4958879155
165289	08/06/2012	ZSCR	551	034-2	NA	A2C53395969	NA	S120121001	88	3011	015		1342	Tire Guard grey cap	NA	ROH	NA	71.28	S5_TIS TLS_MIGUEL QUEZA	NO	4958879089
165290	08/06/2012	ZSCR	551	034-2	NA	A2C53402830	NA	A2C53402830	2				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	96.62	S1_TG1C DCX_JAIME JIMEN	NO	4958878590
165291	08/06/2012	ZSCR	551	034-2	NA	5WY8547	NA	A2C53402830	3				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	144.93	S1_TG1C DCX_JAIME JIMEN	NO	4958878590
165292	08/06/2012	ZSCR	551	034-2	NA	A2C31442400	NA	A2C31442400	4				1342	circuit board assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	130.8	S1_TG1C DCX_JAIME JIMEN	NO	4958878455
