No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
175019	04/07/2012	ZSCR	551	030-1	NA	'015	A2C30889600	NA	A2C30889600	1	1301	LOGIC PCB (DIESEL/BUX)	HALB	S.Real	246.24	S1_TIPM LOGIC_CARLOS MU	NO	x		
176156	07/07/2012	ZSCR	551	035-1	0	'050	A2C5333838493	NA	A2C53331174	15	1351	antenna	ROH	NA	24.75	S5_FOB ACURA 09_ENRIQUE	NO	4959520077		
176156	07/07/2012	ZSCR	551	035-1	0	'050	A2C5333838493	NA	A2C53331175	56	1351	antenna	ROH	NA	89.6	S5_FOB ACURA 09_ENRIQUE	NO	4959520103		
176156	07/07/2012	ZSCR	551	035-1	0	'050	A2C5333838493	NA	A2C53341943	24	1351	receiver bleifrei	ROH	NA	644.88	S5_FOB ACURA 09_ENRIQUE	NO	4959520135		
176740	09/07/2012	ZSCR	551	035-1	0	'050	A2C8058480093	NA	A2C00043887	1	1351	"12nH,600mA,SMD,COIL/"	ROH	NA	0.24	S5_TG1C HONDA_MIGUEL QU	NO	4959519883		
176748	09/07/2012	ZSCR	551	035-1	0	'050	A2C53426160B	NA	A2C00038238	3	1351	"47R,1%,TK50,1W,MELF0207,LIN RES/"	ROH	NA	0.72	S5_FOB SLOT 09_ENRIQUE	NO	4959519945		
176748	09/07/2012	ZSCR	551	035-1	0	'050	A2C53426160B	NA	A2C00057053	5	1351	"TRANSCEIVER,High Speed CAN/Lin,HTSSOP32,"	ROH	NA	71.25	S5_FOB SLOT 09_ENRIQUE	NO	4959520018		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00006606	1724	1351	"100K,5%,TK200,63mW,0402,LIN RES/"	ROH	NA	17.24	S5_FOB ACURA 09_ENRIQUE	NO	4959520490		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00006610	115	1351	"10K,5%,TK200,63mW,0402,LIN RES/"	ROH	NA	1.15	S5_FOB ACURA 09_ENRIQUE	NO	4959520776		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00006613	798	1351	"22K,5%,TK200,63mW,0402,LIN RES/"	ROH	NA	7.98	S5_FOB ACURA 09_ENRIQUE	NO	4959520823		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00010444	234	1351	"0R05,63mW,1A,0402,JUMPER/+++please use A"	ROH	NA	2.34	S5_FOB ACURA 09_ENRIQUE	NO	4959520861		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00010445	73	1351	"4K7,5%,TK200,63mW,0402,LIN RES/CRCW"	ROH	NA	0.73	S5_FOB ACURA 09_ENRIQUE	NO	4959520898		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00010737	89	1351	"100pF,5%,50V,C0G,0402,TINNED,CER CAP/VJ"	ROH	NA	0.89	S5_FOB ACURA 09_ENRIQUE	NO	4959520939		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00010740	200	1351	"33nF,10%,16V,X7R,0402,Sn,CER CAP/GCM"	ROH	NA	2	S5_FOB ACURA 09_ENRIQUE	NO	4959521033		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00010900	55	1351	"68K,5%,TK200,63mW,0402,LIN RES/CRCW"	ROH	NA	0.55	S5_FOB ACURA 09_ENRIQUE	NO	4959521072		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00010904	590	1351	"2K,5%,TK200,63mW,0402,LIN RES/CRCW"	ROH	NA	5.9	S5_FOB ACURA 09_ENRIQUE	NO	4959521099		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00017750	819	1351	"2,BOTH,NORMAL,100mA,45V,SOT363,BIP/BC847"	ROH	NA	131.04	S5_FOB ACURA 09_ENRIQUE	NO	4959521160		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00019601	391	1351	"2K2,5%,TK200,63mW,0402,LIN RES/"	ROH	NA	3.91	S5_FOB ACURA 09_ENRIQUE	NO	4959521223		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00020090	2095	1351	"C CER,X7R,47nF,10%,16V,0402,Sn"	ROH	NA	41.9	S5_FOB ACURA 09_ENRIQUE	NO	4959521250		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00020606	24	1351	"100nH,50mA,SMD,COIL/LQP18MN"	ROH	NA	8.16	S5_FOB ACURA 09_ENRIQUE	NO	4959521270		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00020895	147	1351	"70V,150mA,2, common anode, FAST,SOT323_3"	ROH	NA	13.23	S5_FOB ACURA 09_ENRIQUE	NO	4959521380		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00022910	304	1351	"C CER,X7R,22nF,10%,25V,0402,Sn"	ROH	NA	3.04	S5_FOB ACURA 09_ENRIQUE	NO	4959521436		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00024049	161	1351	"12pF,1%,50V,C0G,0402,TINNED,CER CAP/GCP"	ROH	NA	4.83	S5_FOB ACURA 09_ENRIQUE	NO	4959521456		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00027637	3	1351	"R LIN,68K,1%,TK100,63mW,0402"	ROH	NA	0.03	S5_FOB ACURA 09_ENRIQUE	NO	4959521475		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00031067	42	1351	"4pF,0.1pF,50V,C0G,0402,TINNED,CER CAP/"	ROH	NA	0.84	S5_FOB ACURA 09_ENRIQUE	NO	4959521490		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00031575	137	1351	"5.6pF,0.1pF,50V,C0G,0402,TINNED,CER CAP/"	ROH	NA	2.74	S5_FOB ACURA 09_ENRIQUE	NO	4959521539		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00031577	128	1351	"C CER,C0G,10pF,1%,50V,0402,Sn/RF applica"	ROH	NA	2.56	S5_FOB ACURA 09_ENRIQUE	NO	4959521569		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00031578	501	1351	"22pF,1%,50V,C0G,0402,TINNED,CER CAP/RF a"	ROH	NA	15.03	S5_FOB ACURA 09_ENRIQUE	NO	4959521609		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00031579	280	1351	"18pF,1%,50V,C0G,0402,TINNED,CER CAP/RF a"	ROH	NA	8.4	S5_FOB ACURA 09_ENRIQUE	NO	4959521637		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00032259	4	1351	"HAL-IC, HAL509SF-K,SENSOR/"	ROH	NA	12.44	S5_FOB ACURA 09_ENRIQUE	NO	4959521662		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00034028	684	1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"	ROH	NA	13.68	S5_FOB ACURA 09_ENRIQUE	NO	4959521715		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294	NA	A2C00034028	10	1351	"100nF,10%,16V,X7R,0402,TINNED,CER CAP/"	ROH	NA	0.2	S5_FOB ACURA 09_ENRIQUE	NO			
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00040658	81	1351	"18nH,200mA,SMD,COIL/MLK1005S18NJT"	ROH	NA	7.29	S5_FOB ACURA 09_ENRIQUE	NO	4959521738		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00040850	83	1351	"100nH,300mA,SMD,COIL/LQG18"	ROH	NA	11.62	S5_FOB ACURA 09_ENRIQUE	NO	4959521767		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00043666	17	1351	"33uF,10%,35V,SMD,TA, Case E, ELEC CAP/"	ROH	NA	136.34	S5_FOB ACURA 09_ENRIQUE	NO	4959521796		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00044402	8	1351	"6.8uH,135mA,SMD,COIL/B82422/NLV32T"	ROH	NA	2.24	S5_FOB ACURA 09_ENRIQUE	NO	4959520796		
176753	09/07/2012	ZSCR	551	035-1	0	'050	A2C53278294B	NA	A2C00047242	5	1351	"2.36mH,30mA,SMD,LEADFREE_COIL/"	ROH	NA	11.75	S5_FOB ACURA 09_ENRIQUE	NO	4959520644		
