No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
178948	7/14/2012	ZSCR	551	030-1	NA	'054	5WK44426	NA	A2C53399620B	1	1301	NA	HALB	S.Real/AutoBF	58.3	PS_HONDA HRS5_GERARDO E	NO	4959666852
178949	7/14/2012	ZSCR	551	034-2	NA	'054	A2C53279728	NA	A2C53279728	1	1342	NA	HALB	S.Real/AutoBF	497.74	OC_OCS NISSAN_GERARDO E	NO	4959667013
178950	7/14/2012	ZSCR	551	040-3	NA	'054	5WK44245	NA	A2C53353898	1	1403	NA	HALB	S.Real/AutoBF	529.39	OC_OCS NISSAN_GERARDO E	NO	4959667044
178951	7/14/2012	ZSCR	551	030-1	NA	'054	A2C53399620B	NA	A2C53399620B	1	1301	NA	HALB	S.Real/AutoBF	58.3	PS_HONDA HRS5_GERARDO E	NO	4959667139
178966	7/14/2012	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C8021660092	1	1301	NA	HALB	S.Real/AutoBF	58.29	PS_HONDA HRS6_GERARDO E	NO	4959667158
178970	7/14/2012	ZSCR	551	030-1	NA	'054	A2C53108385MI	NA	A2C53108385B	1	1301	NA	HALB	S.Real/AutoBF	72.04	PS_ARAMIS I_GERARDO ECH	NO	4959666929
179112	7/14/2012	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C8021660092	1	1301	NA	HALB	S.Real/AutoBF	58.29	PS_HONDA HRS6_GERARDO E	NO	4959667158
179114	7/14/2012	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C8021660092	1	1301	NA	HALB	S.Real/AutoBF	58.29	PS_HONDA HRS6_GERARDO E	NO	4959667158
179123	7/14/2012	ZSCR	551	030-1	NA	'054	A2C53375497A2	NA	A2C53375497B2	1	1301	NA	HALB	S.Real/AutoBF	82	PS_ARAMIS III_GERARDO E	NO	4959667067
179128	7/14/2012	ZSCR	551	030-1	NA	'054	A2C53375498A2	NA	A2C53375498B2	1	1301	NA	HALB	S.Real/AutoBF	86.43	PS_ARAMIS III_GERARDO E	NO	4959667082
179129	7/14/2012	ZSCR	551	030-1	NA	'054	A2C53375498A2	NA	A2C53375498B2	1	1301	NA	HALB	S.Real/AutoBF	86.43	PS_ARAMIS III_GERARDO E	NO	4959667082
179146	7/14/2012	ZSCR	551	030-1	NA	'054	A2C53375498A2	NA	A2C53375498B2	1	1301	NA	HALB	S.Real/AutoBF	86.43	PS_ARAMIS III_GERARDO E	NO	4959667082
179147	7/14/2012	ZSCR	551	030-1	NA	'054	A2C53375498A2	NA	A2C53375498B2	1	1301	NA	HALB	S.Real/AutoBF	86.43	PS_ARAMIS III_GERARDO E	NO	4959667082
179150	7/14/2012	ZSCR	551	030-1	NA	'054	A2C53241828A	NA	A2C53241828B	4	1301	NA	HALB	S.Real/AutoBF	118.64	PS_FORD_GERARDO ECHEAGA	NO	4959666979
179295	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179297	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179298	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179299	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179300	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179301	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179302	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179303	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179304	7/15/2012	ZSCR	551	030-1	NA	'054	A2C37820600	NA	A2C3797550092	1	1301	NA	HALB	S.Real/AutoBF	91.75	PS_ARAMIS II MCG_GERARD	NO	4959666903
179305	7/15/2012	ZSCR	551	030-1	NA	'054	A2C37820600	NA	A2C3797550092	1	1301	NA	HALB	S.Real/AutoBF	91.75	PS_ARAMIS II MCG_GERARD	NO	4959666903
179307	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179308	7/15/2012	ZSCR	551	034-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1341	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666953
179309	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179310	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179311	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179313	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179314	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179315	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179316	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179318	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179320	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
179321	7/15/2012	ZSCR	551	030-1	NA	'054	A2C53189515A	NA	A2C53189515B	1	1301	NA	HALB	S.Real/AutoBF	122.38	PS_ARAMIS II MCG_GERARD	NO	4959666968
