x	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
184199	7/27/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53408549	14	1095	housing D= 2	NA	ROH	NA	223.16	PSAD_GM BRASIL_GERARDO	NO	4960030633
184388	7/27/2012	MB1A	551	040-1	K96019	'054	NA	NA	A2C53408763	1	1095	pcb assy	NA	HALB	S.Real	166.55	PS_FIAT BRAZIL_GERARDO	NO	4960030612
184428	7/27/2012	MB1A	551	040-1	K96019	'054	NA	NA	A2C53412214	1	1095	pcb assy	NA	HALB	S.Real	167.2	PSAD_GM BRASIL_GERARDO	NO	4960030633
184429	7/27/2012	MB1A	551	040-3	K96019	'054	NA	NA	A2C53412214	1	1095	pcb assy	NA	HALB	S.Real	167.2	PSAD_GM BRASIL_GERARDO	NO	4960030633
184547	7/28/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	1	1095	cover RAP T BK	NA	ROH	NA	6.08	PS_CHRYSLER MY2013_GERA	NO	4960030580
184791	7/28/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	14	1095	cover RAP T BK	NA	ROH	NA	85.12	PS_CHRYSLER MY2013_GERA	NO	4960030580
184791	7/28/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53424009	12	1095	"pan head screw 3,5 x 12,00 1268"	NA	ROH	NA	3.12	PS_CHRYSLER MY2013_GERA	NO	4960030580
184793	7/28/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	12	1095	cover RAP T BK	NA	ROH	NA	72.96	PS_CHRYSLER MY2013_GERA	NO	4960030580
184793	7/28/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53424009	13	1095	"pan head screw 3,5 x 12,00 1268"	NA	ROH	NA	3.38	PS_CHRYSLER MY2013_GERA	NO	4960030580
184794	7/28/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	15	1095	cover RAP T BK	NA	ROH	NA	91.2	PS_CHRYSLER MY2013_GERA	NO	4960030580
184794	7/28/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53424009	12	1095	"pan head screw 3,5 x 12,00 1268"	NA	ROH	NA	3.12	PS_CHRYSLER MY2013_GERA	NO	4960030580
184796	7/28/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53436156	15	1095	cover RAP T BK	NA	ROH	NA	91.2	PS_CHRYSLER MY2013_GERA	NO	4960030580
184796	7/28/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53424009	12	1095	"pan head screw 3,5 x 12,00 1268"	NA	ROH	NA	3.12	PS_CHRYSLER MY2013_GERA	NO	4960030580
