No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	054		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	
198846	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44004	NA	A2C53108387	50	3011	054		1342	"pan head screw SF-M3,5x 10,00 1241"	NA	ROH	NA	9.5	PS_HONDA HRS5_GERARDO E	NO	4960823109	
198846	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44749	NA	A2C53397769	26	3011	054		1342	housing	NA	ROH	NA	606.06	PS_HONDA HRS5_GERARDO E	NO	4960823118	
198848	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44781	NA	A2C00014697	100	3011	054		1342	sticker	NA	ROH	NA	51	PS_VW10 LC_GERARDO ECHE	NO	4960823165	
198849	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44303	NA	A2C53108376	2	3011	054		1342	"housing FIP 175,0x 152,0"	NA	ROH	NA	43.08	PS_ARAMIS II MCG_GERARD	NO	4960823081	
198849	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44303	NA	A2C53108377	4	3011	054		1342	cover FIP T GY	NA	ROH	NA	14.88	PS_ARAMIS II MCG_GERARD	NO	4960823081	
198851	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355144	1	3011	054		1342	housing	NA	ROH	NA	4.04	OC_BOSE VW_GERARDO ECHE	NO	4960822984	
198851	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44252	NA	A2C53355145	1	3011	054		1342	front plate	NA	ROH	NA	23.88	OC_BOSE VW_GERARDO ECHE	NO	4960822984	
198852	30/08/2012	ZSCR	551	034-2	NA	'054	5WK44303	NA	A2C53108376	1	3011	054		1342	"housing FIP 175,0x 152,0"	NA	ROH	NA	21.54	PS_ARAMIS II MCG_GERARD	NO	4960823081	
198852	30/08/2012	ZSCR	551	034-2	NA	'054	5WY86940	NA	A2C53108379	11	3011	054		1342	cover FIP T GY	NA	ROH	NA	36.52	PS_ARAMIS II MCG_GERARD	NO	4960823092	
198853	30/08/2012	MB1A	551	034-2	K96019	'054	NA	NA	A2C53408549	17				1095	housing D= 2	NA	ROH	NA	270.98	PSAD_GM BRASIL_GERARDO	NO	4960823657	
198854	30/08/2012	MB1A	551	040-2	K96019	'054	NA	NA	A2C31080700	1				1095	IM Chrysler RT ORC MY13	NA	HALB	S.Real	385.91	PS_CHRYSLER MY2013_GERA	NO	4960823682	
198857	30/08/2012	ZSCR	551	050-2	NA	'054	5WK43766	NA	A2C53142579	6				1502	ACU MY07 4	NA	HALB	S.Real	1519.98	PS_HONDA CR-V MC_GERARD	NO	4960823503	
198857	30/08/2012	ZSCR	551	050-2	NA	'054	5WK43767	NA	A2C53142626	2				1502	ACU MY07 4	NA	HALB	S.Real	503.86	PS_HONDA CR-V MC_GERARD	NO	4960823511	
198857	30/08/2012	ZSCR	551	050-2	NA	'054	5WK43772	NA	A2C53142641	2				1502	ACU MY07 6	NA	HALB	S.Real	525.16	PS_HONDA CR-V MC_GERARD	NO	4960823518	
198857	30/08/2012	ZSCR	551	050-2	NA	'054	5WK44225	NA	A2C53347151	22				1502	ACU MY10 10	NA	HALB	S.Real	6449.74	PS_HONDA CR-V MC_GERARD	NO	4960823526	
198862	30/08/2012	ZSCR	551	050-2	NA	'054	5WK43949	NA	A2C53242712	4				1502	ACU MY07 12	NA	HALB	S.Real	1743.6	PS_HONDA CR-V HE_GERARD	NO	4960823568	
198862	30/08/2012	ZSCR	551	050-2	NA	'054	5WK44014	NA	A2C53279666	22				1502	ACU MY10 12	NA	HALB	S.Real	9589.8	PS_HONDA CR-V HE_GERARD	NO	4960823569	
198862	30/08/2012	ZSCR	551	050-2	NA	'054	5WK44016	NA	A2C53279668	2				1502	ACU MY10 12	NA	HALB	S.Real	871.8	PS_HONDA CR-V HE_GERARD	NO	4960823575	
199120	30/08/2012	ZSCR	551	030-1	NA	'054	5WK43521	NA	A2C53106605	1				1301	keypad assy	NA	HALB	S.Real/AutoBF	647.24	OC_OCS NISSAN_GERARDO E	NO	4960823309	
199116	30/08/2012	ZSCR	551	040-1	NA	'054	5WK43758	NA	A2C53193004	1				1401	keypad assy	NA	HALB	S.Real/AutoBF	481.46	OC_OCS NISSAN_GERARDO E	NO	4960823316	
198865	30/08/2012	ZSCR	551	040-4	NA	'054	5WK44675	NA	A2C53408763	2				1404	pcb assy	NA	HALB	S.Real	333.1	PS_FIAT BRAZIL_GERARDO	NO	4960823491	
198866	30/08/2012	ZSCR	551	040-1	NA	'054	5WK44633	NA	A2C53375511MI	1				1401	MI Assy C218 W/PyroPPSg W/RO WO/PO	NA	HALB	S.Real	476.13	PS_ARAMIS III_GERARDO E	NO	4960823534	
198867	30/08/2012	ZSCR	551	040-1	NA	'054	5WK43966	NA	A2C37975500	1				1401	pcb assy DAGARM2 RO V09	NA	HALB	S.Real	469.75	PS_ARAMIS II MCG_GERARD	NO	4960823473	
198869	30/08/2012	MB1A	551	040-2	K96019	'054	NA	NA	A2C80216600	1				1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_GERARDO E	NO	4960823708	
198870	30/08/2012	MB1A	551	040-2	K96019	'054	NA	NA	A2C34805100	5				1095	pcb assy	NA	HALB	S.Real	896.6	PSAD_GM BRASIL_GERARDO	NO	4960823722	
198873	30/08/2012	ZSCR	551	040-4	NA	'054	5WK44016	NA	A2C53279668	4				1404	ACU MY10 12	NA	HALB	S.Real	1743.6	PS_HONDA CR-V HE_GERARD	NO	4960823579	
198874	30/08/2012	MB1A	551	040-1	K96019	'054	NA	NA	A2C80216600	1				1095	pcb assy HONHRS6 V04	NA	HALB	S.Real	357.49	PS_HONDA HRS6_GERARDO E	NO	4960823708	
