No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
268448	2/19/2013	ZSCR	551	040-2	NA	'015	A2C53406357	NA	A2C53335101	1	3011	´015	 	1402	pin header 20P H 2R PF BK	NA	ROH	NA	16.28	S5_TG ECU_JORGE AGUILAR	NO	
268448	2/19/2013	ZSCR	551	040-2	NA	'015	A2C53406390	NA	A2C53406354	1	3011	´015	 	1402	circuit board assy HONZZDIV V03	NA	HALB	S.Real/AutoBF	134.26	S5_TG ECU_JORGE AGUILAR	NO	
270247	2/23/2013	ZSCR	551	040-3	NA	'015	A2C53406357	NA	A2C53335101	1	3011	´015	 	1403	pin header 20P H 2R PF BK	NA	ROH	NA	16.28	S5_TG ECU_JORGE AGUILAR	NO	
270247	2/23/2013	ZSCR	551	040-3	NA	'015	A2C53406357	NA	A2C53404863	1	3011	´015	 	1403	circuit board assy HONZZDIV V02	NA	HALB	S.Real/AutoBF	95.82	S5_TG ECU_JORGE AGUILAR	NO	
270343	2/23/2013	ZSCR	551	040-2	NA	'015	A2C53404863	NA	A2C53404863	1	3011	´015	 	1402	circuit board assy HONZZDIV V02	NA	HALB	S.Real/AutoBF	95.82	S5_TG ECU_JORGE AGUILAR	NO	
271584	2/27/2013	ZSCR	551	040-2	NA	'015	5WK49845	NA	A2C53335101	2	3011	´015	 	1402	pin header 20P H 2R PF BK	NA	ROH	NA	32.56	S5_TG ECU_JORGE AGUILAR	NO	
284870	4/2/2013	MB1A	551	012-1	95000050	'015	NA	NA	A2C53402100	2				1121	module assy TPM	QN410085269	HALB	S.Real/AutoBF	90.34	S1_TG1C HYUNDAI_MIGUEL	NO	4966269842
284921	4/2/2013	MB1A	551	034-2	B30301-00495	'050	NA	NA	A2C53440572	60				1095	pcb TLS_WU2010	NA	ROH	NA	91.8	S1_TIS 1D CHRYSLER_JAIM	NO	4966269807
285302	4/3/2013	ZSCR	551	034-2	NA	'015	A2C8064010093	NA	A2C8064010093	3	3011	´015	 	1342	circuit board assy TPM TOP	NA	HALB	S.Real	81.06	S1_TG1C HYUNDAI_MIGUEL	NO	
285312	4/3/2013	ZSCR	551	034-2	NA	'015	A2C53348715	NA	A2C53402830	1	3011	´015	 	1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	46.39	S1_TG1C DCX_JAIME JIMEN	NO	4966270898
285315	4/3/2013	ZSCR	551	034-2	NA	'015	A2C53402830	NA	A2C32163600	3	3011	´015	 	1342	module assy TPM	NA	HALB	S.Real/AutoBF	133.62	S1_TG1C DCX_JAIME JIMEN	NO	4966270457
