No.Item	Fecha	Txs SAP	Mov	Código Scrap	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
284545	30/03/2013	ZSCR	551	035-1	'045	A2C53117474T	NA	A2C00037291	36	1351	"1K8,5%,TK300,500mW,2010,LIN RES/CR1/2 18"		ROH	NA	2.88	S2_FOB READER_ANTONIO A	NO	4966304866
285863	04/04/2013	MB1A	551	030-1	'045	NA	NA	A2C3233800093	168	1095	pcb assy 433 TOP	NA	HALB	S.Real	6088.32	S1_INTERNAL RECEIVER K2	NO	4966302328
286964	06/04/2013	MB1A	551	030-1	'045	NA	NA	A2C8356380093	4	1095	GM GLOBAL A BCM MY14 HIGH TOP THD ASM	NA	HALB	S.Real	1310	S1_BCM K2XX_LUIS LIZARR	NO	4966302312
287132	07/04/2013	ZSCR	551	034-1	'045	A2C30852700	NA	A2C30852700T	23	1341	pcb assy TOP	NA	HALB	S.Real	2843.03	S6_WEBASTO_MIGUEL ZAVAL	NO	4966301753
287174	07/04/2013	ZSCR	551	030-1	'045	A2C30852700	NA	A2C30852700T	8	1301	pcb assy TOP	NA	HALB	S.Real	988.88	S6_WEBASTO_MIGUEL ZAVAL	NO	4966301131
287177	07/04/2013	ZSCR	551	030-1	'045	A2C30852700	NA	A2C30852700T	3	1301	pcb assy TOP	NA	HALB	S.Real	370.83	S6_WEBASTO_MIGUEL ZAVAL	NO	4966301131
287181	07/04/2013	ZSCR	551	030-1	'045	A2C80107300	NA	A2C80107300	1	1301	pcb assy	NA	HALB	S.Real	161.06	S6_WEBASTO_MIGUEL ZAVAL	NO	4966301416
287188	07/04/2013	ZSCR	551	030-1	'045	A2C80107300	NA	A2C80107300	1	1301	pcb assy	NA	HALB	S.Real	161.06	S6_WEBASTO_MIGUEL ZAVAL	NO	4966301416
287194	07/04/2013	ZSCR	551	030-1	'045	A2C30852700T	NA	A2C30852700T	8	1301	pcb assy TOP	NA	HALB	S.Real	988.88	S6_WEBASTO_MIGUEL ZAVAL	NO	4966301131
287197	07/04/2013	ZSCR	551	030-1	'045	A2C80107300	NA	A2C80107300	1	1301	pcb assy	NA	HALB	S.Real	161.06	S6_WEBASTO_MIGUEL ZAVAL	NO	4966301416
