No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	x	x	x	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
290331	15/04/2013	ZSCR	551	042-4	NA	'050	5WY9000	NA	A2C31229200	2	3011	050		1424	"PCB RIGID,1001-2-00 TIPM MED MY12 Ci S1"	NA	ROH	NA	133.82	S1_TIPM MEDIUM_PABLO PA	NO	4966606247
290331	15/04/2013	ZSCR	551	042-4	NA	'050	5WY8842	NA	A2C53428227	4	3011	050		1424	PIN	NA	ROH	NA	1.16	S1_TIPM MEDIUM_PABLO PA	NO	4966606247
290331	15/04/2013	ZSCR	551	042-4	NA	'050	5WY8842	NA	A2C53428228	42	3011	050		1424	PIN	NA	ROH	NA	10.92	S1_TIPM MEDIUM_PABLO PA	NO	4966606247
290331	15/04/2013	ZSCR	551	042-4	NA	'050	5WY8842	NA	A2C53428229	4	3011	050		1424	"PIN,TNG FORK (TALL)"	NA	ROH	NA	1.24	S1_TIPM MEDIUM_PABLO PA	NO	4966606247
290423	15/04/2013	ZSCR	551	034-2	NA	'050	A2C32297200	NA	A2C32464600	36	3011	050		1342	receiver assy	NA	ROH	NA	392.04	S1_IGNM CUSW_ADRIANA RE	NO	4966606073
290425	15/04/2013	ZSCR	551	034-2	NA	'050	A2C73601700	NA	A2C73519600	2	3011	050		1342	PCB CHRYSLER CBC (1-SCREW)-MY13update	NA	ROH	NA	153.64	S1_CBC_PABLO PALMER-CAS	NO	4966606089
290478	16/04/2013	ZSCR	551	030-1	NA	'050	A2C73601701	NA	A2C73519600	4	3011	050		1301	PCB CHRYSLER CBC (1-SCREW)-MY13update	NA	ROH	NA	307.28	S1_CBC_PABLO PALMER-CAS	NO	4966606019
290479	16/04/2013	ZSCR	551	030-1	NA	'050	A2C73601701	NA	A2C73519600	2	3011	050		1301	PCB CHRYSLER CBC (1-SCREW)-MY13update	NA	ROH	NA	153.64	S1_CBC_PABLO PALMER-CAS	NO	4966606019
290803	16/04/2013	ZSCR	551	030-1	NA	'050	A2C73601700	NA	A2C73519600	12	3011	050		1301	PCB CHRYSLER CBC (1-SCREW)-MY13update	NA	ROH	NA	921.84	S1_CBC_PABLO PALMER-CAS	NO	4966605995
290804	16/04/2013	ZSCR	551	040-2	NA	'050	A2C73601700	NA	A2C73519600	8	3011	050		1402	PCB CHRYSLER CBC (1-SCREW)-MY13update	NA	ROH	NA	614.56	S1_CBC_PABLO PALMER-CAS	NO	4966606205
290805	16/04/2013	ZSCR	551	030-1	NA	'050	A2C73601701	NA	A2C37574600	95	3011	050		1301	"FLAT CONNECTOR 1,2 X 0,6 X 12,2"	NA	ROH	NA	13.3	S1_CBC_PABLO PALMER-CAS	NO	4966606019
