No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
290738	4/16/2013	MB1A	551	034-3	K96019	'054	NA	NA	A2C32523400	102	1095	ROH	NA	1038.36	PSAD_DAIMLER STAR 2_ANA	NO	4966774759
290738	4/16/2013	MB1A	551	034-3	K96019	'054	NA	NA	A2C83435000	72	1095	ROH	NA	660.24	PSAD_DAIMLER STAR 2_ANA	NO	4966774759
291127	4/17/2013	MB1A	551	070-2	NA	'054	NA	NA	A2C8337770093	4	1702	HALB	S.Real	1731.16	PSAD_LAND ROVER_JOSE OR	NO	4966775119
291650	4/19/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83435000	15	1095	ROH	NA	137.55	PSAD_DAIMLER STAR 2_ANA	NO	4966774759
291661	4/19/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83043800	43	1095	ROH	NA	135.88	PSAD_LAND ROVER_JOSE OR	NO	4966774872
292509	4/21/2013	MB1A	551	040-1	K96019	'054	NA	NA	A2C82542000	1	1095	HALB	S.Real/AutoBF	238.97	PSAD_OPEL 4400_JOSE ORT	NO	4966774997
293783	4/24/2013	MB1A	551	040-5	K96019	'054	NA	NA	A2C40005692	552	1095	ROH	NA	226.32	PSAD_LAND ROVER_JOSE OR	NO	4966774872
293783	4/24/2013	MB1A	551	040-5	K96019	'054	NA	NA	A2C40005930	138	1095	ROH	NA	1003.26	PSAD_LAND ROVER_JOSE OR	NO	4966774872
293783	4/24/2013	MB1A	551	040-5	K96019	'054	NA	NA	A2C83043800	138	1095	ROH	NA	436.08	PSAD_LAND ROVER_JOSE OR	NO	4966774872
293783	4/24/2013	MB1A	551	040-5	K96019	'054	NA	NA	A2C83046400	138	1095	ROH	NA	5140.5	PSAD_LAND ROVER_JOSE OR	NO	4966774872
293783	4/24/2013	MB1A	551	040-5	K96019	'054	NA	NA	A2C8337770093	406	1095	HALB	S.Real	175712.74	PSAD_LAND ROVER_JOSE OR	NO	4966774872
293905	4/25/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C8397190092	8	1095	HALB	S.Real/AutoBF	1009.28	PS_SDM10+_CAROLINA OTAN	NO	4966774644
293906	4/25/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C8397200092	1	1095	HALB	S.Real/AutoBF	152.61	PS_SDM10+_CAROLINA OTAN	NO	4966774644
293908	4/25/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C8334150093	2	1095	HALB	S.Real	474.72	PS_SDM10+_CAROLINA OTAN	NO	4966774644
293910	4/25/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C8397190093	1	1095	HALB	S.Real	354.89	PS_SDM10+_CAROLINA OTAN	NO	4966774644
293911	4/25/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C83377700	1	1095	HALB	S.Real/AutoBF	482.36	PSAD_LAND ROVER_JOSE OR	NO	4966774872
293913	4/25/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C83046700	8	1095	ROH	NA	189.84	PSAD_JAGUAR PED_JOSE OR	NO	4966774792
293915	4/25/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C82542000	1	1095	HALB	S.Real/AutoBF	238.97	PSAD_OPEL 4400_JOSE ORT	NO	4966774997
293916	4/25/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C82542000	1	1095	HALB	S.Real/AutoBF	238.97	PSAD_OPEL 4400_JOSE ORT	NO	4966774997
293918	4/25/2013	MB1A	551	030-1	K96019	'054	NA	NA	A2C85265800	1	1095	HALB	S.Real/AutoBF	345.37	PSAD_VOLVO P15_JOSE ORT	NO	4966774777
293952	4/25/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C53408548	30	1095	ROH	NA	6.9	PSAD_LAND ROVER_JOSE OR	NO	4966774872
293952	4/25/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83043600	10	1095	ROH	NA	207.4	PSAD_LAND ROVER_JOSE OR	NO	4966774872
293974	4/25/2013	MB1A	551	040-1	K96019	'054	NA	NA	A2C35116100	1	1095	HALB	S.Real	417.98	PSAD_DAIMLER STAR 2_ANA	NO	4966774759
293975	4/25/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C35116100	1	1095	HALB	S.Real	417.98	PSAD_DAIMLER STAR 2_ANA	NO	4966774759
293976	4/25/2013	MB1A	551	040-1	K96019	'054	NA	NA	A2C83377700	1	1095	HALB	S.Real/AutoBF	482.36	PSAD_LAND ROVER_JOSE OR	NO	4966774872
293977	4/25/2013	MB1A	551	040-1	K96019	'054	NA	NA	A2C83377700	1	1095	HALB	S.Real/AutoBF	482.36	PSAD_LAND ROVER_JOSE OR	NO	4966774872
293978	4/25/2013	MB1A	551	040-1	K96019	'054	NA	NA	A2C83012100	1	1095	HALB	S.Real/AutoBF	234.17	PSAD_OPEL 3300_JOSE ORT	NO	4966774929
293980	4/25/2013	MB1A	551	040-1	K96019	'054	NA	NA	A2C83009000	1	1095	HALB	S.Real/AutoBF	534.12	PSAD_VOLVO P15_JOSE ORT	NO	4966774777
293985	4/25/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83341400	1	1095	HALB	S.Real	209.52	PS_SDM10+_CAROLINA OTAN	NO	4966774644
293986	4/25/2013	MB1A	551	040-1	K96019	'054	NA	NA	A2C83341400	1	1095	HALB	S.Real	209.52	PS_SDM10+_CAROLINA OTAN	NO	4966774644
293988	4/25/2013	MB1A	551	034-2	K96019	'054	NA	NA	A2C83377700	1	1095	HALB	S.Real/AutoBF	482.36	PSAD_LAND ROVER_JOSE OR	NO	4966774872
294137	4/26/2013	ZSCR	551	034-2	NA	'054	5WK44562	NA	A2C8021730093	1	1342	HALB	S.Real	156.54	PS_HONDA HRS6_JUAN CHAV	NO	4966774360
294142	4/26/2013	ZSCR	551	030-1	NA	'054	5WK44564	NA	A2C3268040093	1	1301	HALB	S.Real	288.18	PS_HONDA HRS6_JUAN CHAV	NO	4966774331
294144	4/26/2013	ZSCR	551	030-1	NA	'054	5WK44600	NA	A2C8021660093	1	1301	HALB	S.Real	286.92	PS_HONDA HRS6_JUAN CHAV	NO	4966774350
294147	4/26/2013	ZSCR	551	030-1	NA	'054	5WK44564	NA	A2C3268040093	1	1301	HALB	S.Real	288.18	PS_HONDA HRS6_JUAN CHAV	NO	4966774331
294149	4/26/2013	ZSCR	551	030-1	NA	'054	A2C53429875	NA	A2C53429875A	1	1301	HALB	S.Real	176.47	PS_HYUNDAI_ (APROBACIO	NO	4966774442
294150	4/26/2013	ZSCR	551	030-1	NA	'054	A2C53429875	NA	A2C53429875A	1	1301	HALB	S.Real	176.47	PS_HYUNDAI_ (APROBACIO	NO	4966774442
