No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	gf	hj	fd	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	6594352030	4	3011	050		1351	"6K8,1%,TK100,1W,0207_SMD_CHP,F"		ROH	NA	6.2	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	6592392036	1	3011	050		1351	"22UF,10%,16V,SMD,TA,ELEC CAP/"		ROH	NA	1.74	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	A2C00001041	2	3011	050		1351	"2,COMP,0Hz,SO8,OP-COMP/TY30464,LM2903___"		ROH	NA	1.08	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	A2C00000191	45	3011	050		1351	"6.2V,350mW,SOT23,ZENER/BZX84-C6V2/T1"		ROH	NA	4.05	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	A2C00041263	2	3011	050		1351	"2,OP AMP,800KHz,SO8,OP-COMP/TS912AIDT"		ROH	NA	8.84	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	6594352012	3	3011	050		1351	"100K,1%,TK100,1W,0207_SMD_CHP,"		ROH	NA	4.65	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	6594352003	2	3011	050		1351	"2K,1%,TK100,1W,0207_SMD_CHP,FI"		ROH	NA	3.1	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	6592312071	1	3011	050		1351	DIODO RECTIFICADOR		ROH	NA	0.17	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	A2C00034730	2	3011	050		1351	"SAK-C167CR-LM HA+step, A1, P-MQFP144 ,RO"		ROH	NA	80.32	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	9156646	3	3011	050		1351	"29K4,1%,TK50,250MW,MINIMELF020"		ROH	NA	0.27	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	6594352028	1	3011	050		1351	"33K2,1%,TK100,1W,0207_SMD_CHP,"		ROH	NA	1.55	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	6594352027	1	3011	050		1351	"0R1,1%,TK100,1W,0207_SMD_CHP,F"		ROH	NA	1.55	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	9156049	27	3011	050		1351	"4K32,1%,TK50,250MW,MINIMELF020"		ROH	NA	2.43	ES_CEC_NORA ANCHONDO	NO	4970395960
344662	31/08/2013	ZSCR	551	035-1	0	'050	6521017609A	NA	6576372070	2	3011	050		1351	"100OHM,7A,SMD,BEAD/BDS4.6/3/8."		ROH	NA	2.14	ES_CEC_NORA ANCHONDO	NO	4970395960
