No.Item	Fecha	Txs SAP	Mov	C—digo Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripci—n	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	DŽficit Stock	No.Docto.SAP
351769	17/09/2013	MB1A	551	030-1	K96019	'015	NA	NA	A2C38081400	2	1095	"SUB FOBIK PCB T-ASM, NA/EU(U L T)"	NA	HALB	S.Real	116.38	S1_PASE FOB CUSW_A.ADR	NO	4971181599
351769	17/09/2013	MB1A	551	030-1	K96019	'015	NA	NA	A2C38136400	6	1095	"SUB FOBIK PCB T-ASM, NA/EU(P U L T RS)"	NA	HALB	S.Real	374.64	S1_PASE FOB CUSW_A.ADR	NO	4971181599
353386	21/09/2013	MB1A	551	022-2	K96019	'015	NA	NA	A2C73552302	112	1095	transmitter CHR MY13 PASE 433 VAR#21	NA	HALB	S.Real	12070.24	S1_PASE FOB CUSW_A.ADR	NO	4971181599
353386	21/09/2013	MB1A	551	022-2	K96019	'015	NA	NA	A2C73552502	215	1095	transmitter CHR MY13 PASE 433 VAR#23	NA	HALB	S.Real	22256.8	S1_PASE FOB CUSW_A.ADR	NO	4971181599
354474	23/09/2013	MB1A	551	030-1	K96019	'050	NA	NA	A2C8393060093	40	1095	"SUB FOBIK PCB TOP-ASM, NA/EU(U L) B"	NA	HALB	S.Real/AutoBF	2217.2	S1_PASE FOB CUSW_A.ADR	NO	4971181599
354857	24/09/2013	MB1A	551	022-2	K96019	'015	NA	NA	A2C73552502	162	1095	transmitter CHR MY13 PASE 433 VAR#23	NA	HALB	S.Real	16770.24	S1_PASE FOB CUSW_A.ADR	NO	4971181599
356330	27/09/2013	MB1A	551	022-2	K96019	'015	NA	NA	A2C73552301	155	1095	transmitter CHR MY13 PASE 433 VAR#21	NA	HALB	S.Real	16337	S1_PASE FOB CUSW_A.ADR	NO	4971181599
356330	27/09/2013	MB1A	551	022-2	K96019	'015	NA	NA	A2C73552401	174	1095	transmitter CHR MY13 PASE 433 VAR#22	NA	HALB	S.Real	17478.3	S1_PASE FOB CUSW_A.ADR	NO	4971181599
356330	27/09/2013	MB1A	551	022-2	K96019	'015	NA	NA	A2C73552401	41	1095	transmitter CHR MY13 PASE 433 VAR#22	NA	HALB	S.Real	4118.45	S1_PASE FOB CUSW_A.ADR	NO	4971181599
356330	27/09/2013	MB1A	551	022-2	K96019	'015	NA	NA	A2C73552501	237	1095	transmitter CHR MY13 PASE 433 VAR#23	NA	HALB	S.Real	24392.04	S1_PASE FOB CUSW_A.ADR	NO	4971181599
356330	27/09/2013	MB1A	551	022-2	K96019	'015	NA	NA	A2C73552701	140	1095	transmitter CHR MY13 PASE 433 VAR#25	NA	HALB	S.Real	15276.8	S1_PASE FOB CUSW_A.ADR	NO	4971181599
