No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP	338144
366236	10/22/2013	ZSCR	551	040-2	NA	'015	A2C84975300	NA	A2C53278172	6	3011	015	 	1402	"rot shaft lip seal 9,4x16,30x 6,5 VMQ"	NA	ROH	NA	5.1	S5_TIS1C127 HMC_A.ADRIA	NO		
366239	10/22/2013	ZSCR	551	034-2	NA	'015	A2C80584900	NA	A2C8058490093	1				1342	circuit board assy TPM TOP	NA	HALB	S.Real	30.6	S5_TG1C HONDA_M.MIGUEL	NO	4972036044	
366241	10/22/2013	ZSCR	551	034-2	NA	'015	A2C31442500	NA	A2C3144250093	1				1342	circuit board assy TPM 433 MHz	NA	HALB	S.Real	30.52	S1_TG1C DCX_J.JAIME JIM	NO	4972036014	
366242	10/22/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53311707	1	3011	015	 	1342	housing	NA	ROH	NA	2.43	S1_TG1C DCX_J.JAIME JIM	NO	4972036478	
366245	10/22/2013	ZSCR	551	034-2	NA	'015	A2C81364700	NA	A2C31556200	19				1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	832.96	S1_TG1C NISSAN_J.JAIME	NO	4972031458	
366248	10/22/2013	ZSCR	551	034-2	NA	'015	A2C81364700	NA	A2C81364700	2				1342	parts kit assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	90.08	S1_TG1C NISSAN_J.JAIME	NO	4972032012	
366267	10/22/2013	ZSCR	551	034-2	NA	'015	S180052033	NA	S180052033	1				1342	TG1C NISSAN 315MHz ASK	NA	FERT	NA	54.75	S1_TG1C NISSAN_J.JAIME	NO	4972028383	
366268	10/22/2013	ZSCR	551	040-2	NA	'015	S180052033	NA	S180052033	1				1402	TG1C NISSAN 315MHz ASK	NA	FERT	NA	54.75	S1_TG1C NISSAN_J.JAIME	NO	4972028383	
366311	10/22/2013	ZSCR	551	034-2	NA	'015	A2C82208300	NA	A2C87496000	48				1342	pcb assy BCU	NA	HALB	S.Real/AutoBF	1227.36	S1_TG1C NISSAN_J.JAIME	NO	4972032034	
366414	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C53278177	1	3011	015	 	1342	"sealing ring 2x 2,85 40"	NA	ROH	NA	0.09	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366414	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C53422372	1	3011	015	 	1342	housing	NA	ROH	NA	1.7	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366414	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C86767700	1				1342	circuit board assy TPM	NA	HALB	S.Real/AutoBF	27.35	S5_TIS1C127 HMC_A.ADRIA	NO	4972032028	
366416	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C00510300	1	3011	015	 	1342	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	10.31	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366416	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C53278177	1	3011	015	 	1342	"sealing ring 2x 2,85 40"	NA	ROH	NA	0.09	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366416	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C53422372	1	3011	015	 	1342	housing	NA	ROH	NA	1.7	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366417	10/23/2013	ZSCR	551	040-2	NA	'015	A2C84975300	NA	A2C00510300	1	3011	015	 	1402	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	10.31	S5_TIS1C127 HMC_A.ADRIA	NO		
366417	10/23/2013	ZSCR	551	040-2	NA	'015	A2C84975300	NA	A2C53278177	1	3011	015	 	1402	"sealing ring 2x 2,85 40"	NA	ROH	NA	0.09	S5_TIS1C127 HMC_A.ADRIA	NO		
366417	10/23/2013	ZSCR	551	040-2	NA	'015	A2C84975300	NA	A2C53422372	1	3011	015	 	1402	housing	NA	ROH	NA	1.7	S5_TIS1C127 HMC_A.ADRIA	NO		
366417	10/23/2013	ZSCR	551	040-2	NA	'015	A2C84975300	NA	A2C86767700	1				1402	circuit board assy TPM	NA	HALB	S.Real/AutoBF	27.35	S5_TIS1C127 HMC_A.ADRIA	NO	4972032255	
366419	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C00510300	3	3011	015	 	1342	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	30.93	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366419	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C53278177	3	3011	015	 	1342	"sealing ring 2x 2,85 40"	NA	ROH	NA	0.27	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366419	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C53422372	3	3011	015	 	1342	housing	NA	ROH	NA	5.1	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366423	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C00510300	2	3011	015	 	1342	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	20.62	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366423	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C53278177	2	3011	015	 	1342	"sealing ring 2x 2,85 40"	NA	ROH	NA	0.18	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366424	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C00510300	2	3011	015	 	1342	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	20.62	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366424	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C53278177	2	3011	015	 	1342	"sealing ring 2x 2,85 40"	NA	ROH	NA	0.18	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366424	10/23/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C53422372	2	3011	015	 	1342	housing	NA	ROH	NA	3.4	S5_TIS1C127 HMC_A.ADRIA	NO	4972036690	
366532	10/23/2013	ZSCR	551	030-1	NA	'015	5WY8833	NA	A2C53338452	4				1301	circuit board assy	NA	HALB	S.Real	238.56	S1_DCU_A.ADRIAN CEBALLO	NO	4972035991	
366537	10/23/2013	ZSCR	551	030-1	NA	'015	5WY8833	NA	A2C53338452	3				1301	circuit board assy	NA	HALB	S.Real	178.92	S1_DCU_A.ADRIAN CEBALLO	NO	4972035991	
366539	10/23/2013	ZSCR	551	050-1	NA	'015	5WY8833	NA	A2C53338452	2				1501	circuit board assy	NA	HALB	S.Real	119.28	S1_DCU_A.ADRIAN CEBALLO	NO	4972036176	
366549	10/23/2013	ZSCR	551	034-2	NA	'015	5WY8834	NA	A2C53328412	2				1342	circuit board assy	NA	HALB	S.Real	175.86	S1_DCU_A.ADRIAN CEBALLO	NO	4972036029	
366553	10/23/2013	ZSCR	551	030-1	NA	'015	5WY8834	NA	A2C53328412	21				1301	circuit board assy	NA	HALB	S.Real	1846.53	S1_DCU_A.ADRIAN CEBALLO	NO	4972035901	
366581	10/23/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C3144240093	37				1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	1127.39	S1_TG1C NISSAN_J.JAIME	NO	4972036003	
366665	10/23/2013	ZSCR	551	030-1	NA	'015	5WY8834	NA	A2C53328412	13				1301	circuit board assy	NA	HALB	S.Real	1143.09	S1_DCU_A.ADRIAN CEBALLO	NO	4972035901	
366911	10/24/2013	ZSCR	551	034-2	NA	'050	5WY8834	NA	A2C00053178	15	3011	050	 	1342	"MICRO,TWIN,12V,RELAY/G8ND-27UR"	NA	ROH	NA	153.15	S1_DCU_A.ADRIAN CEBALLO	NO	4972036515	
367133	10/24/2013	ZSCR	551	040-3	NA	'015	5WY8833	NA	A2C53338452	3				1403	circuit board assy	NA	HALB	S.Real	178.92	S1_DCU_A.ADRIAN CEBALLO	NO	4972036163	
367134	10/24/2013	ZSCR	551	022-2	NA	'015	5WY8834	NA	A2C53328412	1				1222	circuit board assy	NA	HALB	S.Real	87.93	S1_DCU_A.ADRIAN CEBALLO	NO	4972035742	
367144	10/24/2013	ZSCR	551	050-2	NA	'015	5WY8835	NA	A2C53328411	6				1502	circuit board assy	NA	HALB	S.Real	504.84	S1_DCU_A.ADRIAN CEBALLO	NO	4972036189	
367345	10/24/2013	ZSCR	551	030-1	NA	'015	5WY8835	NA	A2C53328411	1				1301	circuit board assy	NA	HALB	S.Real	84.14	S1_DCU_A.ADRIAN CEBALLO	NO	4972035848	
367345	10/24/2013	ZSCR	551	030-1	NA	'015	5WY8834	NA	A2C53328412	3				1301	circuit board assy	NA	HALB	S.Real	263.79	S1_DCU_A.ADRIAN CEBALLO	NO	4972035901	
367347	10/24/2013	ZSCR	551	030-1	NA	'015	5WY8834	NA	A2C53328412	1				1301	circuit board assy	NA	HALB	S.Real	87.93	S1_DCU_A.ADRIAN CEBALLO	NO	4972035901	
367347	10/24/2013	ZSCR	551	030-1	NA	'015	5WY8833	NA	A2C53338452	1				1301	circuit board assy	NA	HALB	S.Real	59.64	S1_DCU_A.ADRIAN CEBALLO	NO	4972035991	
367352	10/24/2013	ZSCR	551	040-1	NA	'015	5WY8834	NA	A2C53328412	3				1401	circuit board assy	NA	HALB	S.Real	263.79	S1_DCU_A.ADRIAN CEBALLO	NO	4972036149	
367377	10/25/2013	ZSCR	551	050-5	NA	'015	S180052056	NA	A2C00046497	3	3011	015	 	1505	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	28.77	S1_TIS1C127 BMW_A.ADRIA	NO		
367377	10/25/2013	ZSCR	551	050-5	NA	'015	S180052056	NA	A2C53352996	1	3011	015	 	1505	"sealing ring 9,5x 4,4 BK"	NA	ROH	NA	2.28	S1_TIS1C127 BMW_A.ADRIA	NO		
367377	10/25/2013	ZSCR	551	050-5	NA	'015	S180052056	NA	A2C53375807	3	3011	015	 	1505	valve body assy	NA	ROH	NA	23.46	S1_TIS1C127 BMW_A.ADRIA	NO		
367377	10/25/2013	ZSCR	551	050-5	NA	'015	S180052056	NA	A2C53422372	3	3011	015	 	1505	housing	NA	ROH	NA	5.1	S1_TIS1C127 BMW_A.ADRIA	NO		
367377	10/25/2013	ZSCR	551	050-5	NA	'015	S180052056	NA	A2C85513900	4				1505	circuit board assy TPM	NA	HALB	S.Real/AutoBF	109.64	S1_TIS1C127 BMW_A.ADRIA	NO	4972032334	
367381	10/25/2013	ZSCR	551	050-1	NA	'015	A2C35115200	NA	A2C86767700	3				1501	circuit board assy TPM	NA	HALB	S.Real/AutoBF	82.05	S5_TIS1C127 HMC_A.ADRIA	NO	4972032319	
367383	10/25/2013	ZSCR	551	034-9	NA	'015	S180052059	NA	A2C82487200	1				1349	control device TPM 433 MHz	NA	HALB	S.Real/AutoBF	55	S5_HONDA HL LL SP37_M.M	NO	4972032115	
367384	10/25/2013	ZSCR	551	034-9	NA	'015	A2C84975300	NA	A2C35115200	2				1349	housing assy	NA	HALB	S.Real/AutoBF	106.02	S5_TIS1C127 HMC_A.ADRIA	NO	4972032126	
367386	10/25/2013	ZSCR	551	040-3	NA	'015	A2C53402830	NA	A2C32163600	6				1403	module assy TPM	NA	HALB	S.Real/AutoBF	267.24	S1_TG1C DCX_J.JAIME JIM	NO	4972032158	
367391	10/25/2013	ZSCR	551	040-3	NA	'015	A2C83143000	NA	A2C84455600	1				1403	parts kit assy TPM	NA	HALB	S.Real/AutoBF	50.73	S1_TG1C UNIVERSAL_J.JAI	NO	4972032190	
367393	10/25/2013	ZSCR	551	050-5	NA	'015	A2C35115200	NA	A2C00510300	2	3011	015	 	1505	"EM OTH BATTERY/CR2450HR-EX,500mAh,3V"	NA	ROH	NA	20.62	S5_TIS1C127 HMC_A.ADRIA	NO		
367393	10/25/2013	ZSCR	551	050-5	NA	'015	A2C35115200	NA	A2C53422372	2	3011	015	 	1505	housing	NA	ROH	NA	3.4	S5_TIS1C127 HMC_A.ADRIA	NO		
367393	10/25/2013	ZSCR	551	050-5	NA	'015	A2C35115200	NA	A2C86767700	2				1505	circuit board assy TPM	NA	HALB	S.Real/AutoBF	54.7	S5_TIS1C127 HMC_A.ADRIA	NO	4972032344	
367396	10/25/2013	ZSCR	551	040-2	NA	'015	A2C30188101	NA	A2C30723401	1				1402	parts kit assy TPM	NA	HALB	S.Real/AutoBF	44.68	S5_HONDA HL LL SP37_M.M	NO	4972032284	
367397	10/25/2013	ZSCR	551	040-2	NA	'015	A2C53348715	NA	A2C53402830	1				1402	parts kit assy TPM	NA	HALB	S.Real/AutoBF	46.39	S1_TG1C DCX_J.JAIME JIM	NO	4972032306	
367476	10/25/2013	ZSCR	551	040-2	NA	'015	5WY8834	NA	A2C53304050	1	3011	015	 	1402	housing bottom	NA	ROH	NA	2.64	S1_DCU_A.ADRIAN CEBALLO	NO		
367551	10/25/2013	ZSCR	551	034-2	NA	'050	A2C8673350093	NA	A2C8673350093	40				1342	pcb assy VDC Top	NA	HALB	S.Real	998.4	S1_TIS 1D CHRYSLER_J.JA	NO	4972036128	
367560	10/25/2013	ZSCR	551	034-2	NA	'015	A2C31556200	NA	A2C00051931	77	3011	015	 	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	766.15	S1_TG1C NISSAN_J.JAIME	NO	4972036540	
367653	10/25/2013	ZSCR	551	034-2	NA	'015	5WY8835	NA	A2C53328411	1				1342	circuit board assy	NA	HALB	S.Real	84.14	S1_DCU_A.ADRIAN CEBALLO	NO	4972036021	
367658	10/25/2013	ZSCR	551	040-2	NA	'015	5WY8836	NA	A2C53323521	1	3011	015	 	1402	housing bottom	NA	ROH	NA	2.59	S1_DCU_A.ADRIAN CEBALLO	NO		
367740	10/25/2013	ZSCR	551	034-2	NA	'015	A2C53407338	NA	A2C31109500	2	3011	015	 	1342	valve housing assy	NA	ROH	NA	12.56	S1_TG1C NISSAN_J.JAIME	NO	4972036669	
367750	10/25/2013	ZSCR	551	050-3	NA	'015	5WY8834	NA	A2C53304050	37	3011	015	 	1503	housing bottom	NA	ROH	NA	97.68	S1_DCU_A.ADRIAN CEBALLO	NO		
367750	10/25/2013	ZSCR	551	050-3	NA	'015	5WY8834	NA	A2C53304051	78	3011	015	 	1503	housing	NA	ROH	NA	227.76	S1_DCU_A.ADRIAN CEBALLO	NO		
367763	10/25/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C3144240093	60				1342	circuit board assy TPM 315 MHz Top	NA	HALB	S.Real	1828.2	S1_TG1C DCX_J.JAIME JIM	NO	4972036003	
367765	10/25/2013	ZSCR	551	034-2	NA	'015	A2C35115200	NA	A2C8676770093	33				1342	circuit board assy TPM Top	NA	HALB	S.Real	902.55	S5_TIS1C127 HMC_A.ADRIA	NO	4972036110	
367852	10/26/2013	ZSCR	551	034-2	NA	'015	A2C32253300	NA	A2C53422372	3	3011	015	 	1342	housing	NA	ROH	NA	5.1	S5_TIS1C127 HMC_A.ADRIA	NO	4972036550	
367854	10/26/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C53311707	1	3011	015	 	1342	housing	NA	ROH	NA	2.43	S1_TG1C NISSAN_J.JAIME	NO	4972036727	
367855	10/26/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C00051931	22	3011	015	 	1342	"EM OTH BATTERY/CR2450S,500mAh,3V"	NA	ROH	NA	218.9	S1_TG1C NISSAN_J.JAIME	NO	4972036727	
368083	10/26/2013	ZSCR	551	030-1	NA	'050	A2C35115200	NA	A2C8676770092	48				1301	circuit board assy TPM bottom	NA	HALB	S.Real/AutoBF	335.04	S5_TIS1C127 HMC_A.ADRIA	NO	4972028383	
368164	10/26/2013	ZSCR	551	030-1	NA	'050	5WY8548	NA	A2C86363000	144	3011	050	 	1301	pcb	NA	ROH	NA	216	S1_TG1C DCX_J.JAIME JIM	NO	4972036449	
368167	10/26/2013	ZSCR	551	034-2	NA	'015	S180052048	NA	A2C8749600093	5				1342	pcb assy BCU Top	NA	HALB	S.Real	127.85	S1_TG1C NISSAN_J.JAIME	NO	4972036139	
368172	10/26/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C8676770093	5				1342	circuit board assy TPM Top	NA	HALB	S.Real	136.75	S1_TG1C HYUNDAI_M.MIGUE	NO	4972036110	
368172	10/26/2013	ZSCR	551	034-2	NA	'015	A2C35115200	NA	A2C8676770093	1				1342	circuit board assy TPM Top	NA	HALB	S.Real	27.35	S1_TG1C HYUNDAI_M.MIGUE	NO	4972036110	
368175	10/26/2013	ZSCR	551	034-2	NA	'015	S180052036	NA	A2C81364500	5				1342	module assy TPM 433 MHz	NA	HALB	S.Real/AutoBF	270.15	S1_TG1C NISSAN_J.JAIME	NO	4972032000	
368178	10/26/2013	ZSCR	551	034-2	NA	'015	S180052048	NA	A2C82208300	2				1342	control device TPM 433 MHz	NA	HALB	S.Real/AutoBF	105.48	S1_TG1C NISSAN_J.JAIME	NO	4972032020	
368181	10/26/2013	ZSCR	551	034-3	NA	'015	A2C84975300	NA	A2C35115200	1				1343	housing assy	NA	HALB	S.Real/AutoBF	53.01	S1_TG1C NISSAN_J.JAIME	NO	4972032039	
368189	10/26/2013	ZSCR	551	034-3	NA	'015	S180052048	NA	A2C82208300	1				1343	control device TPM 433 MHz	NA	HALB	S.Real/AutoBF	52.74	S1_TG1C HYUNDAI_M.MIGUE	NO	4972032050	
368204	10/26/2013	ZSCR	551	034-3	NA	'015	A2C53397674	NA	A2C37351700	4				1343	parts kit assy TPM 315 MHz	NA	HALB	S.Real/AutoBF	178.72	S1_TG1C NISSAN_J.JAIME	NO	4972032074	
368227	10/26/2013	ZSCR	551	034-2	NA	'015	A2C87144000	NA	A2C53422372	4	3011	015	 	1342	housing	NA	ROH	NA	6.8	S1_TG1C HYUNDAI_M.MIGUE	NO	4972036703	
368227	10/26/2013	ZSCR	551	034-2	NA	'015	A2C87144000	NA	A2C87496000	4				1342	pcb assy BCU	NA	HALB	S.Real/AutoBF	102.28	S1_TG1C HYUNDAI_M.MIGUE	NO	4972032034	
368230	10/26/2013	ZSCR	551	034-2	NA	'015	A2C53402830	NA	A2C32163600	1				1342	module assy TPM	NA	HALB	S.Real/AutoBF	44.54	S1_TG1C DCX_J.JAIME JIM	NO	4972031951	
368232	10/26/2013	ZSCR	551	034-2	NA	'015	A2C53348715	NA	A2C53402830	2				1342	parts kit assy TPM	NA	HALB	S.Real/AutoBF	92.78	S1_TG1C DCX_J.JAIME JIM	NO	4972031974	
368233	10/26/2013	ZSCR	551	034-8	NA	'015	A2C53348715	NA	A2C53402830	1				1348	parts kit assy TPM	NA	HALB	S.Real/AutoBF	46.39	S1_TG1C DCX_J.JAIME JIM	NO	4972032083	
368236	10/26/2013	ZSCR	551	034-2	NA	'015	5WY8547	NA	A2C53311707	2	3011	015	 	1342	housing	NA	ROH	NA	4.86	S1_TG1C DCX_J.JAIME JIM	NO	4972036478	
368237	10/26/2013	ZSCR	551	034-2	NA	'015	S180052033	NA	A2C53407338	14				1342	wheel unit TPM 315 MHz	NA	HALB	S.Real/AutoBF	758.94	S1_TG1C NISSAN_J.JAIME	NO	4972031985	
368238	10/26/2013	ZSCR	551	034-1	NA	'015	5WY8547	NA	A2C53348715	2				1341	control device TPM 315 MHz	NA	HALB	S.Real/AutoBF	114.64	S1_TG1C DCX_J.JAIME JIM	NO	4972031190	
368239	10/26/2013	ZSCR	551	034-2	NA	'015	A2C84975300	NA	A2C35115200	3				1342	housing assy	NA	HALB	S.Real/AutoBF	159.03	S1_TG1C HYUNDAI_M.MIGUE	NO	4972031961	
368240	10/26/2013	MB1A	551	034-2	K96019	'015	NA	NA	A2C8673310093	4				1095	circuit board assy TPM	NA	HALB	S.Real	97.4	S1_TIS 1D MMC_J.JAIME J	NO	4972036229	
