No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad				Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
387518	07/12/2013	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53338471	6	3011	054		1342	contact element	NA	ROH	NA	5.58	PS_SDM10+_C.CAROLINA OT	NO	4973590788
387518	07/12/2013	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C53395713	1	3011	054		1342	housing WIC P BK A-D	NA	ROH	NA	36.01	PS_SDM10+_C.CAROLINA OT	NO	4973590788
387518	07/12/2013	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C53395715	1	3011	054		1342	housing WIC P BK A-B	NA	ROH	NA	34.37	PS_SDM10+_C.CAROLINA OT	NO	4973590859
387774	07/12/2013	ZSCR	551	040-3	NA	'054	A2C91764300	NA	A2C53395713	4	3011	054		1403	housing WIC P BK A-D	NA	ROH	NA	144.04	PS_SDM10+_C.CAROLINA OT	NO	4973590788
388168	08/12/2013	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53338471	16	3011	054		1342	contact element	NA	ROH	NA	14.88	PS_SDM10+_C.CAROLINA OT	NO	4973590788
388168	08/12/2013	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C53395713	4	3011	054		1342	housing WIC P BK A-D	NA	ROH	NA	144.04	PS_SDM10+_C.CAROLINA OT	NO	4973590788
388380	09/12/2013	ZSCR	551	030-1	NA	'054	A2C8483530092	NA	A2C53367683	6	3011	054		1301	pcb VW ZZDIV AC VW10G RdW 1	NA	ROH	NA	117	PS_VW10 LC_U.ULISES VIL	NO	4973590925
388602	09/12/2013	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53338471	16	3011	054		1342	contact element	NA	ROH	NA	14.88	PS_SDM10+_C.CAROLINA OT	NO	4973590788
388602	09/12/2013	ZSCR	551	034-2	NA	'054	A2C91764300	NA	A2C53395713	2	3011	054		1342	housing WIC P BK A-D	NA	ROH	NA	72.02	PS_SDM10+_C.CAROLINA OT	NO	4973590788
388602	09/12/2013	ZSCR	551	034-2	NA	'054	A2C91764100	NA	A2C53395715	1	3011	054		1342	housing WIC P BK A-B	NA	ROH	NA	34.37	PS_SDM10+_C.CAROLINA OT	NO	4973590859
388673	09/12/2013	ZSCR	551	040-3	NA	'054	5WY82770	NA	A2C00008554	20	3011	054		1403	"220uF,20%,35V,HOL,AL,ELEC CAP/EEUFC1V221"	NA	ROH	NA	25.2	PS_FORD_.	NO	4973590963
389543	12/12/2013	ZSCR	551	034-2	NA	'054	A2C91764200	NA	A2C53395715	1	3011	054		1342	housing WIC P BK A-B	NA	ROH	NA	34.37	PS_SDM10+_C.CAROLINA OT	NO	4973590859
389579	12/12/2013	ZSCR	551	030-1	NA	'054	A2C8021730002	NA	A2C32679900	12	3011	054		1301	pcb	NA	ROH	NA	247.08	PS_HONDA HRS6_J.JUAN CH	NO	4973590598
389580	12/12/2013	ZSCR	551	030-1	NA	'054	A2C8021660002	NA	A2C32679900	6	3011	054		1301	pcb	NA	ROH	NA	123.54	PS_HONDA HRS6_J.JUAN CH	NO	4973590598
389665	12/12/2013	ZSCR	551	030-1	NA	'054	A2C53374378A	NA	A2C53374377	6	3011	054		1301	pcb VW ZZDIV AC	NA	ROH	NA	102.84	PS_VW10 LC_U.ULISES VIL	NO	4973590929
389839	12/12/2013	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	100	3011	054		1342	certification label identificati	NA	ROH	NA	30	PS_SDM10+_C.CAROLINA OT	NO	4973590859
389927	12/12/2013	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	100	3011	054		1342	certification label identificati	NA	ROH	NA	30	PS_SDM10+_C.CAROLINA OT	NO	4973590859
389934	12/12/2013	ZSCR	551	034-2	NA	'054	A2C82735600	NA	A2C53395713	1	3011	054		1342	housing WIC P BK A-D	NA	ROH	NA	36.01	PS_SDM10+_C.CAROLINA OT	NO	4973590788
390082	13/12/2013	ZSCR	551	034-2	NA	'054	A2C82735400	NA	A2C53395715	2	3011	054		1342	housing WIC P BK A-B	NA	ROH	NA	68.74	PS_SDM10+_C.CAROLINA OT	NO	4973590859
390435	13/12/2013	ZSCR	551	042-4	NA	'054	A2C53374378	NA	A2C53374378	1	3011	054		1424	pcb assy	NA	HALB	S.Real	224.32	PS_VW10 LC_U.ULISES VIL	NO	4973590936
390590	14/12/2013	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53338471	2	3011	054		1342	contact element	NA	ROH	NA	1.86	PS_SDM10+_C.CAROLINA OT	NO	4973590788
390590	14/12/2013	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C53395713	1	3011	054		1342	housing WIC P BK A-D	NA	ROH	NA	36.01	PS_SDM10+_C.CAROLINA OT	NO	4973590788
391271	15/12/2013	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	300	3011	054		1342	certification label identificati	NA	ROH	NA	90	PS_SDM10+_C.CAROLINA OT	NO	4973590859
391274	15/12/2013	ZSCR	551	034-2	NA	'054	A2C91764300	NA	A2C83145200	150	3011	054		1342	certification label identificati	NA	ROH	NA	45	PS_SDM10+_C.CAROLINA OT	NO	4973590859
391697	16/12/2013	ZSCR	551	030-1	NA	'054	A2C3320950092	NA	A2C53387067	256	3011	054		1301	pcb FIAT ACU MA	NA	ROH	NA	2990.08	PS_FIAT BRAZIL_E.EDWIN	NO	4973588517
391740	16/12/2013	ZSCR	551	030-1	NA	'054	A2C8483530092	NA	A2C53367683	240	3011	054		1301	pcb VW ZZDIV AC VW10G RdW 1	NA	ROH	NA	4680	PS_VW10 LC_U.ULISES VIL	NO	4973590925
391968	17/12/2013	ZSCR	551	034-1	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054		1341	pcb assy	NA	HALB	S.Real	451.04	PS_ARAMIS 2013_E.EDWIN	NO	4973588065
391970	17/12/2013	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054		1401	pcb assy	NA	HALB	S.Real	451.04	PS_ARAMIS 2013_E.EDWIN	NO	4973588065
391973	17/12/2013	ZSCR	551	040-3	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054		1403	pcb assy	NA	HALB	S.Real	451.04	PS_ARAMIS 2013_E.EDWIN	NO	4973588065
391974	17/12/2013	ZSCR	551	040-1	NA	'054	5WY88030	NA	A2C53417786	2	3011	054		1401	pcb assy	NA	HALB	S.Real/AutoBF	321.06	PSAD_GM BRASIL_A.ANA TA	NO	4973587579
391976	17/12/2013	ZSCR	551	040-3	NA	'054	5WK44252	NA	A2C53364457	2	3011	054		1403	pcb assy	NA	HALB	S.Real	211.78	OC_BOSE VW_A.ANA TAPIA-	NO	4973587707
391978	17/12/2013	ZSCR	551	034-3	NA	'054	5WK44630	NA	A2C32509000	1	3011	054		1343	pcb assy VW20 V01 Mecanico	NA	HALB	S.Real	153.51	PSAD_VW20_U.ULISES VILL	NO	4973588397
391979	17/12/2013	ZSCR	551	034-3	NA	'054	5WY89350	NA	A2C31080700	1	3011	054		1343	IM Chrysler RT ORC MY13	NA	HALB	S.Real	364.32	PS_CHRYSLER MY2013_E.ED	NO	4973588362
391981	17/12/2013	ZSCR	551	050-1	NA	'054	5WK44461	NA	A2C53404914	1	3011	054		1501	pcb assy HONHRS5 V30	NA	HALB	S.Real/AutoBF	357.45	PS_HONDA HRS5_.	NO	4973587549
391982	17/12/2013	ZSCR	551	034-2	NA	'054	A2C8021660002	NA	A2C8021660002	4	3011	054		1342	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	1331.32	PS_HONDA HRS6_J.JUAN CH	NO	4973587594
391983	17/12/2013	ZSCR	551	040-1	NA	'054	5WK44252	NA	A2C53364457	1	3011	054		1401	pcb assy	NA	HALB	S.Real	105.89	OC_BOSE VW_A.ANA TAPIA-	NO	4973587707
391986	17/12/2013	ZSCR	551	040-1	NA	'054	A2C81542300	NA	A2C81543200	1	3011	054		1401	pcb assy	NA	HALB	S.Real	451.04	PS_ARAMIS 2013_E.EDWIN	NO	4973588065
392010	17/12/2013	ZSCR	551	040-2	NA	'054	A2C81542300	NA	A2C81543200	2	3011	054		1402	pcb assy	NA	HALB	S.Real	902.08	PS_ARAMIS III_E.EDWIN R	NO	4973588299
392013	17/12/2013	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53412214	1	3011	054		1401	pcb assy	NA	HALB	S.Real/AutoBF	162.05	PSAD_GM BRASIL_A.ANA TA	NO	4973587563
392015	17/12/2013	ZSCR	551	040-1	NA	'054	5WY88040	NA	A2C53412214	1	3011	054		1401	pcb assy	NA	HALB	S.Real/AutoBF	162.05	PSAD_GM BRASIL_A.ANA TA	NO	4973587563
392067	17/12/2013	ZSCR	551	034-2	NA	'054	5WY86940	NA	A2C53108379	1	3011	054		1342	cover FIP T GY	NA	ROH	NA	3.49	PS_ARAMIS III_E.EDWIN R	NO	4973588186
392067	17/12/2013	ZSCR	551	034-2	NA	'054	5WK44808	NA	A2C53371768	4	3011	054		1342	cover FIP T GY	NA	ROH	NA	12	PS_ARAMIS III_E.EDWIN R	NO	4973588166
392070	17/12/2013	ZSCR	551	034-2	NA	'054	A2C82735300	NA	A2C83145200	50	3011	054		1342	certification label identificati	NA	ROH	NA	15	PSAD_GM BRASIL_A.ANA TA	NO	4973588471
392092	17/12/2013	ZSCR	551	034-2	NA	'054	5WY89350	NA	A2C31080700	28	3011	054		1342	IM Chrysler RT ORC MY13	NA	HALB	S.Real	10200.96	PS_CHRYSLER MY2013_E.ED	NO	4973588362
392095	17/12/2013	ZSCR	551	040-4	NA	'054	A2C86852400	NA	A2C86851900	1	3011	054		1404	multipoint connector 66P H 2SYS 5005	NA	ROH	NA	28.71	PS_HYUNDAI_.	NO	4973588485
392098	17/12/2013	ZSCR	551	040-4	NA	'054	A2C31080700	NA	A2C30202900	1	3011	054		1404	multipoint connector 84P H 2SYS AFAD	NA	ROH	NA	40.79	PS_CHRYSLER MY2013_E.ED	NO	4973588362
392098	17/12/2013	ZSCR	551	040-4	NA	'054	5WY89360	NA	A2C53330109	4	3011	054		1404	socket	NA	ROH	NA	78.24	PS_CHRYSLER MY2013_E.ED	NO	4973588362
392100	17/12/2013	ZSCR	551	034-2	NA	'054	5WK44252		5WK44252	2	3011	054		1342	BoSe VW	NA	FERT	NA	227.74	OC_BOSE VW_A.ANA TAPIA-	NO	4973587279
392106	17/12/2013	ZSCR	551	040-3	NA	'054	5WY89350	NA	A2C31080700	1	3011	054		1403	IM Chrysler RT ORC MY13	NA	HALB	S.Real	364.32	PS_CHRYSLER MY2013_E.ED	NO	4973588362
392107	17/12/2013	ZSCR	551	040-1	NA	'054	A2C8021660002	NA	A2C8021660002	1	3011	054		1401	pcb assy HONHRS6 V04	NA	HALB	S.Real/AutoBF	332.83	PS_HONDA HRS6_J.JUAN CH	NO	4973587602
392112	17/12/2013	ZSCR	551	034-2	NA	'054	5WK44551	NA	A2C53287874	6	3011	054		1342	pcb assy	NA	HALB	S.Real	356.46	OC_OCS NISSAN_A.ANA TAP	NO	4973588019
