No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	 	 	 	Reason	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
409266	2/4/2014	ZSCR	551	034-2	NA	'054	5WK43189	NA	6593847664	1				1342	SUBENSAMBLE COMPLETO ACCORD 02	NA	HALB	S.Real/AutoBF	467.39	PS_ACCORD_O.OSCAR FONSE	NO	4975874349
409717	2/5/2014	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53333522	3	3011	054	 	1342	COVER	NA	ROH	NA	7.08	PS_SDM10+_C.CAROLINA OT	NO	
410306	2/6/2014	ZSCR	551	034-2	NA	'054	5WY72640	NA	6593811404	242	3011	054	 	1342	ETIQUETA P131	NA	ROH	NA	174.24	PSAD_EPSILON_O.OSCAR FO	NO	
417477	2/21/2014	ZSCR	551	034-3	NA	'054	A2C92116200	NA	6593831401	1	3011	054	 	1343	WARNING LABEL c/d/i HONDA	NA	ROH	NA	1.11	PS_HONDA HRS5_.	NO	
419551	2/25/2014	ZSCR	551	034-2	NA	'054	5WK43950	NA	A2C53239918	10	3011	054	 	1342	cover	NA	ROH	NA	33.5	OES_HONDA ACCORD_.	NO	
421494	3/1/2014	ZSCR	551	034-2	NA	'054	A2C87075100	NA	A2C53333522	1	3011	054	 	1342	COVER	NA	ROH	NA	2.36	PS_SDM10+_C.CAROLINA OT	NO	
422422	3/2/2014	ZSCR	551	040-3	NA	'054	6590119	NA	A2C00031845	3	3011	054	 	1403	pin header 60P H 2R THP	NA	ROH	NA	98.88	PSAD_EPSILON_O.OSCAR FO	NO	
422890	3/3/2014	ZSCR	551	034-2	NA	'054	5WY86940	NA	A2C53331574	3	3011	054	 	1342	"housing FIP 157,0x 130,8"	NA	ROH	NA	47.25	PS_ARAMIS III_E.EDWIN R	NO	4975876670
422908	3/3/2014	ZSCR	551	040-3	NA	'054	5WY89340	NA	A2C00031845	41	3011	054	 	1403	pin header 60P H 2R THP	NA	ROH	NA	1351.36	PSAD_EPSILON_O.OSCAR FO	NO	
423324	3/4/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	150	3011	054	 	1342	certification label identificati	NA	ROH	NA	49.5	PS_SDM30_C.CAROLINA OTA	NO	4975876738
423356	3/4/2014	ZSCR	551	050-3	NA	'054	A2C83016700	NA	A2C83016900	1				1503	pcb assy PSAG3I 8-V CAN	NA	HALB	S.Real/AutoBF	196.13	PSAD_PSA CAN_J.JOSE ORT	NO	4975874603
423364	3/4/2014	ZSCR	551	040-3	NA	'054	5WK44753	NA	A2C53330109	1	3011	054	 	1403	socket	NA	ROH	NA	18.1	PS_HONDA HRS6_J.JUAN CH	NO	
423367	3/4/2014	ZSCR	551	034-2	NA	'054	A2C92704000	NA	A2C91600800	1	3011	054	 	1342	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	57.79	PSAD_DAIMLER STAR 2_A.A	NO	
423368	3/4/2014	ZSCR	551	040-3	NA	'054	A2C38172003	NA	A2C91593100	1	3011	054	 	1403	multipoint connector124/ 69P H 2SYS 1018	NA	ROH	NA	55.37	PSAD_DAIMLER SMART_F.FE	NO	
423368	3/4/2014	ZSCR	551	040-3	NA	'054	A2C38171803	NA	A2C91595300	1	3011	054	 	1403	multipoint connector124/ 55P H 2SYS 1018	NA	ROH	NA	50.54	PSAD_DAIMLER SMART_F.FE	NO	
423375	3/4/2014	ZSCR	551	034-2	NA	'054	5WK44547	NA	6593831401	300	3011	054	 	1342	WARNING LABEL c/d/i HONDA	NA	ROH	NA	333	PS_HONDA HRS6_J.JUAN CH	NO	
423396	3/4/2014	ZSCR	551	034-2	NA	'054	5WY86940	NA	A2C53331574	2	3011	054	 	1342	"housing FIP 157,0x 130,8"	NA	ROH	NA	31.5	PS_ARAMIS III_E.EDWIN R	NO	4975876670
423808	3/5/2014	ZSCR	551	034-2	NA	'054	A2C91763900	NA	A2C40000022	2	3011	054	 	1342	"C ELEC,AL,4.7mF,20%,35V"	NA	ROH	NA	13.46	PS_SDM10+_C.CAROLINA OT	NO	4975877021
423808	3/5/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C53395713	1	3011	054	 	1342	housing WIC P BK A-D	NA	ROH	NA	36.47	PS_SDM10+_C.CAROLINA OT	NO	4975876738
423842	3/5/2014	ZSCR	551	050-1	NA	'054	A2C81626100	NA	A2C81625600	1	3011	054	 	1501	pcb assy HONHRS5 V11	NA	HALB	S.Real	209.61	PS_HONDA HRS5_.	NO	
423852	3/5/2014	ZSCR	551	034-2	NA	'054	5WY86940	NA	A2C53108379	1	3011	054	 	1342	cover FIP T GY	NA	ROH	NA	3.45	PS_ARAMIS III_E.EDWIN R	NO	4975876670
423852	3/5/2014	ZSCR	551	034-2	NA	'054	5WY86940	NA	A2C53331574	1	3011	054	 	1342	"housing FIP 157,0x 130,8"	NA	ROH	NA	15.75	PS_ARAMIS III_E.EDWIN R	NO	4975876670
424009	3/5/2014	ZSCR	551	030-1	NA	'054	A2C53374378A	NA	A2C53374377	6	3011	054	 	1301	pcb VW ZZDIV AC	NA	ROH	NA	95.16	PS_VW10 LC_U.ULISES VIL	NO	
424055	3/5/2014	ZSCR	551	030-1	NA	'054	5WK44277	NA	A2C53125028	70	3011	054	 	1301	pcb DC 70 LP PRO NU	NA	ROH	NA	98	PS_ARAMIS III_E.EDWIN R	NO	
424191	3/6/2014	ZSCR	551	034-2	NA	'054	A2C32453901	NA	A2C91601100	2	3011	054	 	1342	multipoint connector124/ 81P H 2SYS 1018	NA	ROH	NA	110.32	PSAD_DAIMLER STAR 2_A.A	NO	
424195	3/6/2014	ZSCR	551	034-2	NA	'054	A2C92704000	NA	A2C91600800	1	3011	054	 	1342	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	57.79	PSAD_DAIMLER STAR 2_A.A	NO	
