No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	apd		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
423560	05/03/2014	ZSCR	551	030-1	NA	'045	A2C32765800	NA	A2C00054061	4	3011	045		1301	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	30.68	S1_BCM K2XX_L.LUIS LIZA	NO	4976253013
423560	05/03/2014	ZSCR	551	030-1	NA	'045	A2C32828300	NA	A2C00054061	4	3011	045		1301	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	30.68	S1_BCM K2XX_L.LUIS LIZA	NO	4976253047
423560	05/03/2014	ZSCR	551	030-1	NA	'045	A2C32765500	NA	A2C00054061	5	3011	045		1301	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	38.35	S1_BCM K2XX_L.LUIS LIZA	NO	4976252990
423817	05/03/2014	ZSCR	551	040-3	NA	'045	5WY8050	NA	A2C53182172	35	3011	045		1403	RF ANTENNA 315MHZ	NA	ROH	NA	245.35	S1_EZKEY_L.LUIS LIZARRA	NO	4976255779
424870	07/03/2014	ZSCR	551	030-1	NA	'045	A2C7402430093	NA	A2C00054061	16	3011	045		1301	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	122.72	S1_BCM K2XX_L.LUIS LIZA	NO	4976253329
426165	10/03/2014	ZSCR	551	030-1	NA	'045	S180064015	NA	A2C00030485	38	3011	045		1301	"100uF,20%,35V,SMD,AL,ELEC CAP/ECEV1VA101"	NA	ROH	NA	23.18	S2_NISSAN KEY FOB SQUAR	NO	4976253719
426165	10/03/2014	ZSCR	551	030-1	NA	'045	S180064015	NA	A2C00051774	73	3011	045		1301	"TA CAP,TA,22uF,10%,10V,SMD"	NA	ROH	NA	101.47	S2_NISSAN KEY FOB SQUAR	NO	4976253719
426415	10/03/2014	ZSCR	551	034-2	NA	'045	5WY7703C	NA	8800630143	6	3011	045		1342	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.36	S1_PATS_M.MANUEL MANZAN	NO	4976254126
426723	11/03/2014	ZSCR	551	030-1	NA	'045	A2C7402430093	NA	A2C00054061	62	3011	045		1301	"MICRO,TWIN,12V,RELAY/G8NB-27SR"	NA	ROH	NA	475.54	S1_BCM K2XX_L.LUIS LIZA	NO	4976253329
426964	11/03/2014	ZSCR	551	034-2	NA	'045	A2C73720600	NA	A2C34710900	1	3011	045		1342	"CONNECTOR 183P,GLOBAL A BCM High Content"	NA	ROH	NA	41.92	S1_GLOBAL A_L.LUIS LIZA	NO	4976254712
427017	11/03/2014	ZSCR	551	034-2	NA	'045	A2C53423622	NA	A2C53303672	5	3011	045		1342	bracket	NA	ROH	NA	16.4	S2_NIMOCO RECEIVER NISZ	NO	4976254666
427017	11/03/2014	ZSCR	551	034-2	NA	'045	A2C90248400	NA	A2C90248900	4	3011	045		1342	control device	NA	ROH	NA	251	S2_NIMOCO RECEIVER NISZ	NO	4976254910
427118	12/03/2014	ZSCR	551	030-1	NA	'045	A2C74024200	NA	A2C73429901	2	3011	045		1301	"PCB, GM GLOBAL-A BCM MY14"	NA	ROH	NA	104.94	S1_BCM K2XX_L.LUIS LIZA	NO	4976253317
427139	12/03/2014	ZSCR	551	030-1	NA	'045	A2C34172100	NA	A2C33265400	18	3011	045		1301	PCB*FR-4/ TD-A6 /TSG*GM PWE	NA	ROH	NA	61.2	S6_KWANG JIN_J.JAVIER B	NO	4976253146
427195	12/03/2014	ZSCR	551	030-1	NA	'045	A2C8277390092	NA	A2C73429901	2	3011	045		1301	"PCB, GM GLOBAL-A BCM MY14"	NA	ROH	NA	104.94	S1_BCM K2XX_L.LUIS LIZA	NO	4976253384
427207	12/03/2014	ZSCR	551	030-1	NA	'045	5WG50020	NA	A2C53287265	96	3011	045		1301	pcb VW PQ35	NA	ROH	NA	1182.72	S4_PQ GATEWAY MY13_. (	NO	4976252136
427218	12/03/2014	ZSCR	551	034-2	NA	'045	A2C82705700	NA	A2C00018512	25	3011	045		1342	sticker identi spool unprin	NA	ROH	NA	9.25	S1_FOB K2XX_L.LUIS LOPE	NO	4976254869
427220	12/03/2014	ZSCR	551	034-2	NA	'045	5WY7703	NA	8800630143	7	3011	045		1342	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.42	S1_PATS_M.MANUEL MANZAN	NO	4976254098
427220	12/03/2014	ZSCR	551	034-2	NA	'045	5WY7703	NA	A2C53119450	7	3011	045		1342	HOUSING PARA 5WY7703 (ANTENA) CLIP ON	NA	ROH	NA	63	S1_PATS_M.MANUEL MANZAN	NO	4976254098
427220	12/03/2014	ZSCR	551	034-2	NA	'045	5WY7703	NA	A2C53119451	5	3011	045		1342	COVER PATS CLIP ON 5WY7703	NA	ROH	NA	4.7	S1_PATS_M.MANUEL MANZAN	NO	4976254098
427224	12/03/2014	ZSCR	551	040-3	NA	'045	5WY7700	NA	A2C53117565	3	3011	045		1403	pin header 12P H 2R THP BK	NA	ROH	NA	10.47	S2_FOB READER_A.ANTONIO	NO	4976255634
427313	12/03/2014	ZSCR	551	030-1	NA	'045	5WG50020	NA	A2C53287265	24	3011	045		1301	pcb VW PQ35	NA	ROH	NA	295.68	S4_PQ GATEWAY MY13_. (	NO	4976252136
427454	12/03/2014	ZSCR	551	030-1	NA	'045	5WY8800	NA	A2C53282673	4	3011	045		1301	pcb panel ABM	NA	ROH	NA	51.36	S1_ABM_M.MANUEL MANZANO	NO	4976252711
427617	13/03/2014	ZSCR	551	030-1	NA	'045	A2C74024200	NA	A2C73429901	2	3011	045		1301	"PCB, GM GLOBAL-A BCM MY14"	NA	ROH	NA	104.94	S1_BCM K2XX_L.LUIS LIZA	NO	4976253317
427686	13/03/2014	ZSCR	551	034-2	NA	'045	A2C32337100	NA	A2C00004906	2	3011	045		1342	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	3.28	S1_FOB K2XX_L.LUIS LOPE	NO	4976254566
427686	13/03/2014	ZSCR	551	034-2	NA	'045	A2C32337100	NA	A2C34525201	2	3011	045		1342	Base Level Upper Housing 6 Button	NA	ROH	NA	33.1	S1_FOB K2XX_L.LUIS LOPE	NO	4976254566
427686	13/03/2014	ZSCR	551	034-2	NA	'045	A2C32337100	NA	A2C34525301	2	3011	045		1342	housing bottom assy	NA	ROH	NA	5.78	S1_FOB K2XX_L.LUIS LOPE	NO	4976254566
427686	13/03/2014	ZSCR	551	034-2	NA	'045	A2C32337100	NA	A2C34971300	2	3011	045		1342	clip	NA	ROH	NA	0.98	S1_FOB K2XX_L.LUIS LOPE	NO	4976254566
427686	13/03/2014	ZSCR	551	034-2	NA	'045	A2C32337100	NA	A2C53333375	2	3011	045		1342	ring	NA	ROH	NA	0.94	S1_FOB K2XX_L.LUIS LOPE	NO	4976254566
427814	13/03/2014	ZSCR	551	040-3	NA	'045	A2C32337700	NA	A2C53334975	20	3011	045		1403	Sticker	NA	ROH	NA	3	S1_INTERNAL RECEIVER K2	NO	4976255889
427837	13/03/2014	ZSCR	551	034-2	NA	'045	A2C81507400	NA	8800630143	2	3011	045		1342	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.12	S1_FOB K2XX_L.LUIS LOPE	NO	4976254815
