No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	Adp		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
420447	27/02/2014	ZSCR	551	030-1	NA	'045	5WK48203A	NA	6598082101	42	3011	45		1301	TC IMPRESA RECEIVER	NA	ROH	NA	140.28	S1_RECEIVER_S.SALVADOR	NO	
429270	15/03/2014	ZSCR	551	030-1	NA	'045	A2C53154517	NA	A2C00027373	3299	3011	45		1301	"3.9nF,10%,50V,X7R,0603,TINNED,CER CAP/++"	NA	ROH	NA	65.98	S1_PEPS_J.JAVIER BECERR	NO	
438294	03/04/2014	ZSCR	551	030-1	NA	'045	S122736003S	NA	A2C53158413	2	3011	45		1301	pcb panel 1-up	NA	ROH	NA	70.32	S2_BCM_R.RODRIGO CERVAN	NO	
440894	08/04/2014	ZSCR	551	034-2	NA	'045	A2C81507500	NA	A2C34525300	6	3011	45		1342	housing bottom assy	NA	ROH	NA	17.34	S1_FOB K2XX_L.LUIS LOPE	NO	
445416	17/04/2014	ZSCR	551	034-2	NA	'045	A2C32337200	NA	A2C34525200	2	3011	45		1342	housing cover assy	NA	ROH	NA	33.6	S1_FOB K2XX_L.LUIS LOPE	NO	
448506	24/04/2014	ZSCR	551	040-1	NA	'045	A2C31243800	NA	A2C37754600	9	3011	45		1401	housing	NA	ROH	NA	23.85	S1_PEPS PK 1 WAY_M.MANU	NO	
448506	24/04/2014	ZSCR	551	040-1	NA	'045	A2C31243300	NA	A2C53405271	9	3011	45		1401	Foam cushion	NA	ROH	NA	2.97	S1_PEPS PK 1 WAY_M.MANU	NO	
448973	25/04/2014	ZSCR	551	040-2	NA	'045	A2C32337700	NA	A2C32591100	12	3011	45		1402	pcb assy	NA	ROH	NA	107.52	S1_INTERNAL RECEIVER K2	NO	
449103	25/04/2014	ZSCR	551	022-2	NA	'045	A2C32335900S	NA	8800913049	530	3011	45		1222	bolsa de empaque peps my 13	NA	VERP	NA	0	S1_PEPS PK 1 WAY_M.MANU	NO	
450209	28/04/2014	ZSCR	551	040-3	NA	'045	A2C87230500	NA	A2C87230500	3	3011	45		1403	pcb assy BCU L42A NAM	NA	HALB	S.Real/AutoBF	719.22	S2_BCM_R.RODRIGO CERVAN	NO	
450622	29/04/2014	ZSCR	551	040-3	NA	'045	A2C90248500	NA	A2C90249000	2	3011	45		1403	control device	NA	ROH	NA	125.5	S2_NIMOCO RECEIVER NISZ	NO	
450662	29/04/2014	ZSCR	551	040-3	NA	'045	A2C87433200	NA	A2C53421842	1	3011	45		1403	damping	NA	ROH	NA	1.44	S2_NISSAN KEY FOB SQUAR	NO	
450662	29/04/2014	ZSCR	551	040-3	NA	'045	5WK49670C	NA	A2C53358639	4	3011	45		1403	contact spring	NA	ROH	NA	1.84	S2_NISSAN KEY FOB SQUAR	NO	4978262666
450868	29/04/2014	ZSCR	551	040-3	NA	'045	A2C32335900	NA	A2C53333375	33	3011	45		1403	ring	NA	ROH	NA	15.51	S1_FOB K2XX_L.LUIS LOPE	NO	4978263692
450877	29/04/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C53333375	11	3011	45		1402	ring	NA	ROH	NA	5.17	S1_FOB K2XX_L.LUIS LOPE	NO	
450877	29/04/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C34525900	21	3011	45		1402	O-ring	NA	ROH	NA	6.3	S1_FOB K2XX_L.LUIS LOPE	NO	
450877	29/04/2014	ZSCR	551	040-2	NA	'045	A2C32336700	NA	A2C34525101	1	3011	45		1402	Base Level Upper Housing 5 Button	NA	ROH	NA	16.53	S1_FOB K2XX_L.LUIS LOPE	NO	
450877	29/04/2014	ZSCR	551	040-2	NA	'045	A2C32337100	NA	A2C34525201	1	3011	45		1402	Base Level Upper Housing 6 Button	NA	ROH	NA	16.55	S1_FOB K2XX_L.LUIS LOPE	NO	
450877	29/04/2014	ZSCR	551	040-2	NA	'045	A2C32336100	NA	A2C34524701	8	3011	45		1402	housing bottom assy	NA	ROH	NA	23.12	S1_FOB K2XX_L.LUIS LOPE	NO	
450877	29/04/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C34971300	76	3011	45		1402	clip	NA	ROH	NA	37.24	S1_FOB K2XX_L.LUIS LOPE	NO	
450877	29/04/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C00004906	3	3011	45		1402	"EM OTH BATTERY/CR2032,220mAh,3V"	NA	ROH	NA	4.92	S1_FOB K2XX_L.LUIS LOPE	NO	
450877	29/04/2014	ZSCR	551	040-2	NA	'045	A2C81507400	NA	A2C82493901	1	3011	45		1402	housing cover assy	NA	ROH	NA	16.3	S1_FOB K2XX_L.LUIS LOPE	NO	
450877	29/04/2014	ZSCR	551	040-2	NA	'045	A2C32335900	NA	A2C34525301	2	3011	45		1402	housing bottom assy	NA	ROH	NA	5.78	S1_FOB K2XX_L.LUIS LOPE	NO	
450879	29/04/2014	ZSCR	551	040-3	NA	'045	A2C32335900	NA	A2C53333375	3	3011	45		1403	ring	NA	ROH	NA	1.41	S1_FOB K2XX_L.LUIS LOPE	NO	4978263692
450879	29/04/2014	ZSCR	551	040-3	NA	'045	A2C81507400	NA	A2C82493901	2	3011	45		1403	housing cover assy	NA	ROH	NA	32.6	S1_FOB K2XX_L.LUIS LOPE	NO	
450880	29/04/2014	ZSCR	551	040-3	NA	'045	A2C32335900	NA	A2C53333375	4	3011	45		1403	ring	NA	ROH	NA	1.88	S1_FOB K2XX_L.LUIS LOPE	NO	4978263692
450880	29/04/2014	ZSCR	551	040-3	NA	'045	A2C81507400	NA	A2C82493901	4	3011	45		1403	housing cover assy	NA	ROH	NA	65.2	S1_FOB K2XX_L.LUIS LOPE	NO	
450881	29/04/2014	ZSCR	551	040-3	NA	'045	A2C32335900	NA	A2C53333375	2	3011	45		1403	ring	NA	ROH	NA	0.94	S1_FOB K2XX_L.LUIS LOPE	NO	4978263692
450881	29/04/2014	ZSCR	551	040-3	NA	'045	A2C81507400	NA	A2C82493901	2	3011	45		1403	housing cover assy	NA	ROH	NA	32.6	S1_FOB K2XX_L.LUIS LOPE	NO	
450909	30/04/2014	ZSCR	551	040-3	NA	'045	5WY7138	NA	A2C53256340	1	3011	45		1403	plug connector 2P H CI 9005 A	NA	ROH	NA	10.03	S1_EZKEY_L.LUIS LIZARRA	NO	4978262979
450909	30/04/2014	ZSCR	551	040-3	NA	'045	5WY7978A	NA	A2C53188411	4	3011	45		1403	antenna GM EZKEY P	NA	ROH	NA	42.32	S1_EZKEY_L.LUIS LIZARRA	NO	4978263298
450940	30/04/2014	ZSCR	551	040-2	NA	'045	A2C53283727	NA	A2C53309839	25	3011	45		1402	pcb GM CADILLAC	NA	ROH	NA	71.75	S1_EZKEY_M.MIGUEL ZAVAL	NO	
451008	30/04/2014	ZSCR	551	040-3	NA	'045	A2C53350196	NA	A2C53311196	3	3011	45		1403	cover LOP B BK	NA	ROH	NA	19.95	S4_PQ35 6ta Gen_. (APR	NO	4978264281
451012	30/04/2014	ZSCR	551	030-1	NA	'045	A2C9089980093	NA	A2C9089980093	1	3011	45		1301	electronic assy Top	NA	HALB	S.Real	78.93	S1_PK MY 13 FORD_M.MANU	NO	
451015	30/04/2014	ZSCR	551	030-1	NA	'045	A2C9089980093	NA	A2C9089980093	3	3011	45		1301	electronic assy Top	NA	HALB	S.Real	236.79	S1_PK MY 13 FORD_M.MANU	NO	
451023	30/04/2014	ZSCR	551	040-2	NA	'045	A2C82982100	NA	A2C82979500	1	3011	45		1402	pcb 4-lay 1353 main	NA	ROH	NA	45.51	S4_PQ35 6ta Gen_. (APR	NO	
451347	01/05/2014	ZSCR	551	034-2	NA	'045	A2C31243300	NA	A2C31226900	3	3011	45		1342	keypad	NA	ROH	NA	5.79	S1_PK MY 13 FORD_M.MANU	NO	
451355	01/05/2014	ZSCR	551	040-3	NA	'045	5WY5975R	NA	A2C53405271	5	3011	45		1403	Foam cushion	NA	ROH	NA	1.65	S1_PK MY 13 FORD_M.MANU	NO	4978262846
451357	01/05/2014	ZSCR	551	040-2	NA	'045	A2C31243800	NA	A2C37754600	4	3011	45		1402	housing	NA	ROH	NA	10.6	S1_PEPS PK 1 WAY_M.MANU	NO	
