No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	045		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
506830	17/08/2014	ZSCR	551	034-2	NA	'045	A2C32336900S	NA	8800630143	9	3011	045		1342	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.54	S1_FOB K2XX_L.LUIS LOPE	NO	4981596146
512554	28/08/2014	ZSCR	551	040-3	NA	'045	A2C32336100	NA	8800630143	2	3011	045		1403	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.12	S1_FOB K2XX_L.LUIS LOPE	NO	4981596146
512906	29/08/2014	ZSCR	551	040-4	NA	'045	A2C32335900	NA	8800630143	9	3011	045		1404	Etiqueta unidad Clip On datamatrix	NA	ROH	NA	0.54	S1_FOB K2XX_L.LUIS LOPE	NO	4981596146
512959	30/08/2014	ZSCR	551	035-1	0	'045	A2C8754070193	NA	A2C00023271	2	3011	045		1351	"4,EQ ISO,konvex 1206,2K2,5%,63mW,NET RES"		ROH	NA	0.08	S6_WEBASTO_E.EDGAR FLOR	NO	4981596215
512959	30/08/2014	ZSCR	551	035-1	0	'045	A2C8754070193	NA	A2C00030941	34	3011	045		1351	"4,EQ ISO,konvex 1206,10K,5%,63mW,NET RES"		ROH	NA	1.36	S6_WEBASTO_E.EDGAR FLOR	NO	4981596321
512959	30/08/2014	ZSCR	551	035-1	0	'045	A2C8754070193	NA	A2C00033262	4	3011	045		1351	"70V,70mA,2,,SOT323,RECT DIODE/BAS70-05W"		ROH	NA	0.76	S6_WEBASTO_E.EDGAR FLOR	NO	4981596585
512959	30/08/2014	ZSCR	551	035-1	0	'045	A2C8754070193	NA	A2C00034982	1	3011	045		1351	"16MHz,50ppm,NX5032GA,QUARTZ CRYSTAL/NX50"		ROH	NA	1.94	S6_WEBASTO_E.EDGAR FLOR	NO	4981596668
512963	30/08/2014	ZSCR	551	035-1	0	'045	A2C8527140093	NA	A2C00027381	105	3011	045		1351	"R LIN,390R,5%,TK200,100mW,0603"		ROH	NA	1.05	S6_ESCL_E.EDGAR FLORES	NO	4981596268
512963	30/08/2014	ZSCR	551	035-1	0	'045	A2C8328700093	NA	A2C00027381	53	3011	045		1351	"R LIN,390R,5%,TK200,100mW,0603"		ROH	NA	0.53	S6_ESCL_E.EDGAR FLORES	NO	4981596268
512968	30/08/2014	ZSCR	551	035-1	0	'045	A2C3280500092	NA	A2C00031959	19	3011	045		1351	"2pF,0.1pF,50V,C0G,0402,TINNED,CER CAP/ +"		ROH	NA	0.38	S2_CMF1_R.RODRIGO CERVA	NO	4981596523
512969	30/08/2014	ZSCR	551	035-1	0	'045	A2C8275211092	NA	A2C00026748	1	3011	045		1351	"8.2pF,0.1pF,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.04	S2_CMF1_R.RODRIGO CERVA	NO	4981596251
512969	30/08/2014	ZSCR	551	035-1	0	'045	A2C8275221192	NA	A2C00026748	24	3011	045		1351	"8.2pF,0.1pF,50V,C0G,0603,TINNED,CER CAP/"		ROH	NA	0.96	S2_CMF1_R.RODRIGO CERVA	NO	4981596251
