No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	054	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
504044	11/08/2014	ZSCR	551	050-1	NA	'054	5WY73050	NA	6590119029	1	3011	054	 	1501	Func tests Epsilon GMX380A 10 Loops - SP	NA	HALB	S.Real	452.73	PSAD_EPSILON_O.OSCAR FO	NO	**
504044	11/08/2014	ZSCR	551	050-1	NA	'054	A2C84043500	NA	A2C84043500	4	3011	054	 	1501	pcb assy	NA	HALB	S.Real	852.48	PSAD_EPSILON_O.OSCAR FO	NO	
514545	02/09/2014	ZSCR	551	030-1	NA	'054	A2C86816902	NA	A2C86617300	1	3011	054	 	1301	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	428.83	PS_ARAMIS III_E.EDWIN R	NO	
514551	02/09/2014	ZSCR	551	030-1	NA	'054	A2C86816902	NA	A2C86617300	1	3011	054	 	1301	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	428.83	PS_ARAMIS III_E.EDWIN R	NO	
514671	02/09/2014	ZSCR	551	034-2	NA	'054	A2C86816802	NA	A2C86617100	2	3011	054	 	1342	pcb assy DAGARM3 RO V17EDR	NA	HALB	S.Real	853.14	PS_ARAMIS III_E.EDWIN R	NO	
515199	03/09/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
515216	03/09/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
515217	03/09/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
515332	03/09/2014	ZSCR	551	035-1	0	'054	A2C9024720092	NA	A2C00007895	1	3011	054	 	1351	"C CER,C0G,470pF,5%,50V,0603,Sn"		ROH	NA	0.02	PS_HONDA HRS6_N.NORTON	NO	
515518	04/09/2014	ZSCR	551	034-2	NA	'054	A2C91763900	NA	A2C83145200	200	3011	054	 	1342	certification label identificati	NA	ROH	NA	66	PS_SDM10+_.	NO	
515612	04/09/2014	ZSCR	551	042-4	NA	'054	5WY78901	9	5WY78901	6	3011	054	 	1424	MODUL CONTROL FOR AIRBAG E240	NA	FERT	NA	1747.32	PS_FORD_.	NO	
515632	04/09/2014	ZSCR	551	034-2	NA	'054	A2C92704000	NA	A2C91600800	2	3011	054	 	1342	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	115.58	PSAD_DAIMLER STAR 2_A.A	NO	
515649	04/09/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
515671	04/09/2014	ZSCR	551	042-4	NA	'054	A2C86816901	NA	A2C86617300	1	3011	054	 	1424	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	428.83	PS_ARAMIS III_E.EDWIN R	NO	
515673	04/09/2014	ZSCR	551	040-3	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1403	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
515999	05/09/2014	ZSCR	551	034-2	NA	'054	A2C92114400	NA	A2C53405780	2	3011	054	 	1342	housing	NA	ROH	NA	52.74	PS_HONDA HRS6_J.JUAN CH	NO	
516064	05/09/2014	ZSCR	551	030-1	NA	'054	A2C89711901	NA	A2C83021101	2	3011	054	 	1301	pcb assy DAGARM3 3i DC Mex	NA	HALB	S.Real	651.6	PS_LEGACY_C.CAROLINA OT	NO	
516074	05/09/2014	ZSCR	551	030-1	NA	'054	A2C86816901	NA	A2C86617300	1	3011	054	 	1301	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	428.83	PS_ARAMIS III_E.EDWIN R	NO	
516122	05/09/2014	ZSCR	551	022-2	NA	'054	A2C89711901	NA	A2C83021101	5	3011	054	 	1222	pcb assy DAGARM3 3i DC Mex	NA	HALB	S.Real	1629	PS_LEGACY_C.CAROLINA OT	NO	
516142	05/09/2014	ZSCR	551	034-4	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1344	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
516153	05/09/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	500	3011	054	 	1342	certification label identificati	NA	ROH	NA	165	PS_SDM10+_.	NO	
516153	05/09/2014	ZSCR	551	034-2	NA	'054	A2C91764300	NA	A2C83145200	1500	3011	054	 	1342	certification label identificati	NA	ROH	NA	495	PS_SDM10+_.	NO	
516409	06/09/2014	ZSCR	551	034-2	NA	'054	A2C91764300	NA	A2C83145200	25	3011	054	 	1342	certification label identificati	NA	ROH	NA	8.25	PS_SDM10+_.	NO	
516410	06/09/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	240	3011	054	 	1342	certification label identificati	NA	ROH	NA	79.2	PS_SDM10+_.	NO	
516433	06/09/2014	ZSCR	551	040-2	NA	'054	A2C92704000	NA	A2C91600800	6	3011	054	 	1402	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	346.74	PSAD_DAIMLER STAR 2_A.A	NO	
516591	06/09/2014	ZSCR	551	034-4	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1344	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
516958	07/09/2014	ZSCR	551	030-1	NA	'054	A2C87038500	NA	A2C5339962993	1	3011	054	 	1301	pcb assy HONHRS5 RO V13 TOP	NA	HALB	S.Real	278.67	PS_HONDA HRS5_.	NO	
516959	07/09/2014	ZSCR	551	030-1	NA	'054	A2C87038500	NA	A2C5339962993	1	3011	054	 	1301	pcb assy HONHRS5 RO V13 TOP	NA	HALB	S.Real	278.67	PS_HONDA HRS5_.	NO	
516960	07/09/2014	ZSCR	551	030-1	NA	'054	A2C87038500	NA	A2C5339962993	1	3011	054	 	1301	pcb assy HONHRS5 RO V13 TOP	NA	HALB	S.Real	278.67	PS_HONDA HRS5_.	NO	
516961	07/09/2014	ZSCR	551	030-1	NA	'054	A2C87038500	NA	A2C5339962993	1	3011	054	 	1301	pcb assy HONHRS5 RO V13 TOP	NA	HALB	S.Real	278.67	PS_HONDA HRS5_.	NO	
516984	07/09/2014	ZSCR	551	030-1	NA	'054	A2C87038500	NA	A2C5339962993	1	3011	054	 	1301	pcb assy HONHRS5 RO V13 TOP	NA	HALB	S.Real	278.67	PS_HONDA HRS6_J.JUAN CH	NO	
516985	07/09/2014	ZSCR	551	030-1	NA	'054	A2C87038500	NA	A2C5339962993	1	3011	054	 	1301	pcb assy HONHRS5 RO V13 TOP	NA	HALB	S.Real	278.67	PS_HONDA HRS6_J.JUAN CH	NO	
517027	07/09/2014	ZSCR	551	030-1	NA	'054	A2C87038500	NA	A2C5339962993	1	3011	054	 	1301	pcb assy HONHRS5 RO V13 TOP	NA	HALB	S.Real	278.67	PS_HONDA HRS5_.	NO	
517157	07/09/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	100	3011	054	 	1342	certification label identificati	NA	ROH	NA	33	PSAD_GM BRASIL_A.ANA TA	NO	
517158	07/09/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	100	3011	054	 	1342	certification label identificati	NA	ROH	NA	33	PSAD_GM BRASIL_A.ANA TA	NO	
517164	07/09/2014	ZSCR	551	040-3	NA	'054	A2C87074800	NA	A2C40000025	1	3011	054	 	1403	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	6.83	PS_SDM10+_.	NO	
517164	07/09/2014	ZSCR	551	040-3	NA	'054	A2C87074800	NA	A2C53338471	2	3011	054	 	1403	contact element	NA	ROH	NA	2.04	PS_SDM10+_.	NO	
517181	07/09/2014	ZSCR	551	040-3	NA	'054	A2C91764400	NA	A2C40000025	4	3011	054	 	1403	"C ELEC,AL,6.8mF,20%,35V"	NA	ROH	NA	27.32	PS_SDM10+_.	NO	
517181	07/09/2014	ZSCR	551	040-3	NA	'054	A2C91763900	NA	A2C53395714	1	3011	054	 	1403	housing WIC P BK A-A	NA	ROH	NA	31.07	PS_SDM10+_.	NO	
517953	09/09/2014	ZSCR	551	040-1	NA	'054	A2C86852400	NA	A2C87110200	1	3011	054	 	1401	pcb assy PTFSPEED10 D_26	NA	HALB	S.Real	204.2	PS_HYUNDAI_.	NO	
517964	09/09/2014	ZSCR	551	040-3	NA	'054	A2C86816902	NA	A2C53245952	1	3011	054	 	1403	"housing FIP 152,0x 135,7"	NA	ROH	NA	19.22	PS_ARAMIS III_E.EDWIN R	NO	
517964	09/09/2014	ZSCR	551	040-3	NA	'054	A2C86816902	NA	A2C86617300	1	3011	054	 	1403	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	428.83	PS_ARAMIS III_E.EDWIN R	NO	
518000	09/09/2014	ZSCR	551	040-3	NA	'054	A2C86816902	NA	A2C53245952	1	3011	054	 	1403	"housing FIP 152,0x 135,7"	NA	ROH	NA	19.22	PS_ARAMIS III_E.EDWIN R	NO	
518000	09/09/2014	ZSCR	551	040-3	NA	'054	A2C86816902	NA	A2C86617300	1	3011	054	 	1403	pcb assy DAGARM3 RO V16EDR	NA	HALB	S.Real	428.83	PS_ARAMIS III_E.EDWIN R	NO	
518255	09/09/2014	ZSCR	551	035-1	0	'054	A2C9379490093	NA	A2C00004364	1	3011	054	 	1351	"R LIN,33K2,1%,TK100,100mW,0603"		ROH	NA	0.01	PS_HONDA HRS6_N.NORTON	NO	
518366	10/09/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	100	3011	054	 	1342	certification label identificati	NA	ROH	NA	33	PSAD_GM BRASIL_A.ANA TA	NO	
518500	10/09/2014	ZSCR	551	030-1	NA	'054	A2C86816501	NA	A2C86816700	1	3011	054	 	1301	pcb assy DAGARM3 V18EDR	NA	HALB	S.Real	514.02	PS_ARAMIS III_E.EDWIN R	NO	
518634	10/09/2014	ZSCR	551	040-3	NA	'054	A2C86664900	NA	A2C86664900	2	3011	054	 	1403	MRS*Z3 G3I/10-A08 PSA	NA	FERT	NA	828.7	PSAD_PSA CAN_J.JOSE ORT	NO	
518696	10/09/2014	ZSCR	551	034-2	NA	'054	A2C89711901	NA	A2C83021500	30	3011	054	 	1342	label identificati	NA	ROH	NA	814.8	PSAD_ARMIN_J.JOSE ORTIZ	NO	
518701	10/09/2014	ZSCR	551	050-3	NA	'054	A2C86816501	NA	A2C86816700	8	3011	054	 	1503	pcb assy DAGARM3 V18EDR	NA	HALB	S.Real	4112.16	PS_ARAMIS III_E.EDWIN R	NO	
518956	11/09/2014	ZSCR	551	040-5	NA	'054	A2C86852400	NA	A2C86851900	7	3011	054	 	1405	multipoint connector 66P H 2SYS 5005	NA	ROH	NA	153.37	PS_HYUNDAI_.	NO	
518958	11/09/2014	ZSCR	551	034-2	NA	'054	A2C92704000	NA	A2C91600800	1	3011	054	 	1342	multipoint connector124/ 76P H 2SYS 1018	NA	ROH	NA	57.79	PSAD_DAIMLER STAR 2_A.A	NO	
518973	11/09/2014	ZSCR	551	034-2	NA	'054	A2C91764300	NA	A2C83145200	20	3011	054	 	1342	certification label identificati	NA	ROH	NA	6.6	PS_SDM10+_.	NO	
518975	11/09/2014	ZSCR	551	034-2	NA	'054	A2C91764400	NA	A2C83145200	290	3011	054	 	1342	certification label identificati	NA	ROH	NA	95.7	PS_SDM10+_.	NO	
519000	11/09/2014	ZSCR	551	030-1	NA	'054	A2C92114600	NA	A2C3268040093	1	3011	054	 	1301	pcb assy HONHRS6 V11 top side	NA	HALB	S.Real	266.18	PS_HONDA HRS6_J.JUAN CH	NO	
519004	11/09/2014	ZSCR	551	030-1	NA	'054	A2C92115500	NA	A2C3268040093	1	3011	054	 	1301	pcb assy HONHRS6 V11 top side	NA	HALB	S.Real	266.18	PS_HONDA HRS6_J.JUAN CH	NO	
519020	11/09/2014	ZSCR	551	030-1	NA	'054	NA	NA	A2C3511610193	1	3011	054	 	1301	pcb assy DAGSTAR2 D_12 SMD TOP	NA	HALB	S.Real	305.73	PSAD_DAIMLER STAR 2_A.A	NO	
