No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Info.Obl.	Tipo	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
526451	27/09/2014	ZSCR	551	040-4	NA	'015	A2C90360200	NA	A2C53410038	170	1404	NA	ROH	23.8	S4_BMW FBD 3_. (APROBA	NO	4982656467		
526563	27/09/2014	ZSCR	551	030-1	NA	'050	A2C37346700	NA	A2C86363000	48	1301	NA	ROH	71.04	S1_TIS 1C MMC_. (APROB	NO	4982656360		
526569	27/09/2014	ZSCR	551	030-1	NA	'050	A2C8062670092	NA	A2C33313400	48	1301	NA	ROH	87.84	S5_TIS1C127 HMC_A.ADRIA	NO	4982656551		
526646	28/09/2014	ZSCR	551	050-1	NA	'015	A2C33099101	NA	A2C86351600	6	1501	NA	ROH	30.42	S1_TIS 1D MMC_J.JAIME J	NO	4982656369		
526652	28/09/2014	ZSCR	551	034-8	NA	'015	5WY8828	NA	A2C53422372	82	1348	NA	ROH	194.34	S5_TIS1C127 HMC_A.ADRIA	NO	4982656551		
526653	28/09/2014	ZSCR	551	040-4	NA	'015	5WY8833	NA	A2C53304050	47	1404	NA	ROH	116.56	S1_DCU_A.ADRIAN CEBALLO	NO	4982655890		
526653	28/09/2014	ZSCR	551	040-4	NA	'015	5WY8834	NA	A2C53304051	47	1404	NA	ROH	128.31	S1_DCU_A.ADRIAN CEBALLO	NO	4982655919		
526656	28/09/2014	ZSCR	551	030-1	NA	'050	A2C3776240093	NA	A2C81350400	32	1301	NA	ROH	161.92	S4_BMW FBD 3_. (APROBA	NO	4982656467		
526664	28/09/2014	ZSCR	551	035-1	NA	'015	5WY8828	NA	A2C53422372	9	1351	NA	ROH	21.33	S5_TIS1C127 HMC_A.ADRIA	NO	4982656551		
526705	28/09/2014	ZSCR	551	034-3	NA	'015	5WK50218	NA	A2C53371501	5	1343	NA	ROH	7.4	S1_BMW_A.ADRIAN CEBALLO	NO	4982655944		
527075	29/09/2014	ZSCR	551	022-2	NA	'015	A2C30777500	NA	A2C91049300	6	1222	NA	ROH	14.88	S1_TG1C UNIVERSAL_J.JAI	NO	4982656232		
527238	29/09/2014	ZSCR	551	040-4	NA	'015	5WY8834	NA	A2C53304050	42	1404	NA	ROH	104.16	S1_DCU_A.ADRIAN CEBALLO	NO	4982655890		
527238	29/09/2014	ZSCR	551	040-4	NA	'015	5WY8836	NA	A2C53304051	42	1404	NA	ROH	114.66	S1_DCU_A.ADRIAN CEBALLO	NO	4982655919		
527770	30/09/2014	ZSCR	551	034-2	NA	'015	5WY8829	NA	A2C53422372	10	1342	NA	ROH	23.7	S5_TIS1C127 HMC_A.ADRIA	NO	4982656551		
527780	30/09/2014	ZSCR	551	034-2	NA	'015	A2C33099101	NA	A2C86351600	6	1342	NA	ROH	30.42	S1_TIS 1D MMC_J.JAIME J	NO	4982656369		
527784	30/09/2014	ZSCR	551	034-2	NA	'015	5WY8826	NA	A2C53413509	2	1342	NA	ROH	1.68	S1_TIS 1D MMC_J.JAIME J	NO	4982656384		
527827	30/09/2014	MB1A	551	010-4	95000004	'015	NA	NA	A2C8673350093	330	1104	QN410105252	HALB	7203.9	410105252_TIS 1D	NO	4982656582		
527829	30/09/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C37351000	1	1253	ECN242566	HALB	38.09	S1_TG1C NISSAN_J.JAIME	NO	4982656622		
527829	30/09/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C37351700	28	1253	ECN242566	HALB	1066.52	S1_TG1C NISSAN_J.JAIME	NO	4982656622		
527831	30/09/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C37351000	4	1253	ECN242566	HALB	152.36	S1_TG1C NISSAN_J.JAIME	NO	4982656622		
527833	30/09/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C81364700	1	1253	ECN242566	HALB	40.36	S1_TG1C NISSAN_J.JAIME	NO	4982656622		
527856	30/09/2014	ZSCR	551	030-1	NA	'050	5WY8828	NA	A2C33313400	48	1301	NA	ROH	87.84	S1_TIS1C127 BMW_A.ADRIA	NO	4982656435		
527921	30/09/2014	ZSCR	551	030-1	NA	'050	5WY8828	NA	A2C33313400	144	1301	NA	ROH	263.52	S1_TIS1C127 BMW_A.ADRIA	NO	4982656435		
527925	30/09/2014	MB1A	551	010-3	95000224	'015	NA	06AA	A2C90360200	4	1103	QN410105660	FERT	314.8	410105660_BMW FB	NO	4982656601		
527961	01/10/2014	MB1A	551	010-4	95000053	'015	NA	NA	A2C86767700	9	1104	QN410105252	HALB	212.13	410105252_TIS1C1	NO	4982656590		
527963	01/10/2014	MB1A	551	010-4	95000227	'015	NA	NA	A2C86733100	8	1104	QN410105252	HALB	175.52	410105252_TIS 1D	NO	4982656582		
527964	01/10/2014	MB1A	551	010-4	95000227	'015	NA	NA	A2C86733200	23	1104	QN410105252	HALB	505.08	410105252_TIS 1D	NO	4982656582		
527993	01/10/2014	ZSCR	551	034-2	NA	'015	5WY8828	NA	A2C53422372	1	1342	NA	ROH	2.37	S5_TIS1C127 HMC_A.ADRIA	NO	4982656551		
527995	01/10/2014	ZSCR	551	034-2	NA	'050	A2C87144100	NA	A2C33313400	48	1342	NA	ROH	87.84	S1_TIS1C127 BMW_A.ADRIA	NO	4982656435		
527997	01/10/2014	ZSCR	551	034-2	NA	'050	A2C53398069	NA	A2C86363000	48	1342	NA	ROH	71.04	S1_TG1C NISSAN_J.JAIME	NO	4982656141		
527998	01/10/2014	ZSCR	551	034-2	NA	'015	A2C30188101	NA	A2C31109500	3	1342	NA	ROH	17.76	S5_HONDA HL LL SP37_M.M	NO	4982656484		
528003	01/10/2014	ZSCR	551	034-2	NA	'015	S180052041	NA	A2C53422372	3	1342	NA	ROH	7.11	S1_TG1C NISSAN_J.JAIME	NO	4982656160		
528003	01/10/2014	ZSCR	551	034-2	NA	'015	5WY8828	NA	A2C53422372	6	1342	NA	ROH	14.22	S1_TG1C NISSAN_J.JAIME	NO	4982656160		
528019	01/10/2014	ZSCR	551	034-2	NA	'015	A2C82208300	NA	A2C53439916	34	1342	NA	ROH	18.7	S5_TIS1C127 NISSAN_C.CA	NO	4982656560		
528021	01/10/2014	ZSCR	551	034-2	NA	'015	A2C82208300	NA	A2C53439917	8	1342	NA	ROH	12.88	S5_TIS1C127 NISSAN_C.CA	NO	4982656560		
528023	01/10/2014	ZSCR	551	034-2	NA	'015	5WY8828	NA	A2C00051931	26	1342	NA	ROH	205.66	S5_TIS1C127 NISSAN_C.CA	NO	4982656560		
528030	01/10/2014	ZSCR	551	034-2	NA	'015	5WY9012	NA	A2C00052450	5	1342	NA	ROH	36.95	S1_TIS 1D CHRYSLER_J.JA	NO	4982656417		
528035	01/10/2014	MB1A	951	025-3	NA	'015	NA	NA	A2C53304051	160	1253	VUG148864	ROH	436.8	S1_DCU_A.ADRIAN CEBALLO	NO	4982655675		
528036	01/10/2014	ZSCR	551	034-2	NA	'015	A2C86718800	NA	A2C86176400	2	1342	NA	ROH	17.42	S1_TIS 1D CHRYSLER_J.JA	NO	4982656417		
528037	01/10/2014	ZSCR	551	034-2	NA	'050	5WY8833	NA	A2C00053178	22	1342	NA	ROH	190.3	S1_DCU_A.ADRIAN CEBALLO	NO	4982655765		
528037	01/10/2014	ZSCR	551	034-2	NA	'050	5WY8833	NA	A2C00053275	3	1342	NA	ROH	29.01	S1_DCU_A.ADRIAN CEBALLO	NO	4982655823		
528123	01/10/2014	ZSCR	551	050-1	NA	'015	5WY8751	NA	A2C53401335	4	1501	NA	ROH	27.92	S1_TG1C NISSAN_J.JAIME	NO	4982656181		
528123	01/10/2014	ZSCR	551	050-1	NA	'015	S180052048	NA	A2C53439917	4	1501	NA	ROH	6.44	S1_TG1C NISSAN_J.JAIME	NO	4982656192		
