No.Item	Fecha	 	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	3011	054	 	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
540967	27/10/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C92711900	32				1095	pcb assy DAGSTAR2 ISC D_25	NA	HALB	S.Real	13134.72	PSAD_DAIMLER STAR2_ISC_	NO			
540968	27/10/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C92711900	32				1095	pcb assy DAGSTAR2 ISC D_25	NA	HALB	S.Real	13134.72	PSAD_DAIMLER STAR2_ISC_	NO			
540969	27/10/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C83378601	16				1095	pcb assy DAGSTAR2 V06 ISC	NA	HALB	S.Real	8047.36	PSAD_DAIMLER STAR2_ISC_	NO			
540991	27/10/2014	MB1A	551	034-2	K96019	'054	NA	06AC	A2C92704000	21				1095	ACU DAGS2WS205 MY14 S15 20 09 1 0 0 HSA	NA	FERT	NA	10230.36	PSAD_DAIMLER STAR2_ISC_	NO			
541085	27/10/2014	MB1A	551	034-2	K96019	'054	NA	NA	A2C9271190093	32				1095	pcb assy DAGSTAR2 ISC D_25 Top	NA	HALB	S.Real	10629.12	PSAD_DAIMLER STAR2_ISC_	NO			
541093	27/10/2014	MB1A	551	034-2	K96019	'054	NA	06AC	A2C92704000	25				1095	ACU DAGS2WS205 MY14 S15 20 09 1 0 0 HSA	NA	FERT	NA	12179	PSAD_DAIMLER STAR2_ISC_	NO			
541443	28/10/2014	ZSCR	551	034-2	NA	'054	5WK44252		5WK44252	1				1342	BoSe VW	NA	FERT	NA	104.03	OC_OCS NISSAN_A.ANA TAP	NO	4983476103	4983475872	4983476034
541448	28/10/2014	ZSCR	551	040-1	NA	'054	A2C91764400	NA	A2C92572700	2				1401	pcb assy GMSDM30	NA	HALB	S.Real/AutoBF	774.36	PS_SDM30_.	NO	4983477246		
541472	28/10/2014	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C92572300	1				1401	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO	4983477227		
541473	28/10/2014	ZSCR	551	040-1	NA	'054	A2C91764100	NA	A2C92572300	1				1401	pcb assy GMSMD30	NA	HALB	S.Real/AutoBF	260.01	PS_SDM30_.	NO	4983477227		
