No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	planta	apd		Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
571336	06/01/2015	ZSCR	551	034-2	NA	'100	5WY7110	NA	6578551402	19	3011	100		1342	LABEL WITH CARRIER ETIQUETA PARA EMS PCM	NA	ROH	NA	76.76	OES_EMS ECM_.	NO	4985694915
571338	06/01/2015	ZSCR	551	042-4	NA	'100	A2C53138318	NA	A2C53374465PCB	5	3011	100		1424	"""ETM CBA ETM,2-SPEED,T-TRUCK"""	NA	HALB	S.Real/AutoBF	1531.4	OES_ETM_.	NO	4985695745
571339	06/01/2015	ZSCR	551	034-2	NA	'100	5WY7128	NA	6578562115	1	3011	100		1342	EMS ECM PCB 8 LAYER	NA	ROH	NA	261.16	OES_EMS ECM_.	NO	4985694968
571340	06/01/2015	ZSCR	551	030-1	NA	'100	5WY7128	NA	6578567615	3	3011	100		1301	SUBENSAMBLE EMS ECM C3.0 CON CONECTORES	NA	HALB	S.Real/AutoBF	3935.58	OES_EMS ECM_.	NO	4985695770
571342	06/01/2015	ZSCR	551	034-2	NA	'100	5WY7128	NA	6578567615	2	3011	100		1342	SUBENSAMBLE EMS ECM C3.0 CON CONECTORES	NA	HALB	S.Real/AutoBF	2623.72	OES_EMS ECM_.	NO	4985695790
572548	09/01/2015	ZSCR	551	042-4	NA	'100	5WY7805	NA	A2C00025272	7	3011	100		1424	housing	NA	ROH	NA	49.21	OES_D219 IIC_. (APROBA	NO	4985694986
573835	12/01/2015	ZSCR	551	030-1	NA	'100	5WY7805	NA	6598187412	2	3011	100		1301	EPCB D219 Subensam OLA-ICT-COAT Hi WIP	NA	HALB	S.Real/AutoBF	480.82	OES_D219 IIC_. (APROBA	NO	4985695827
573838	12/01/2015	ZSCR	551	034-2	NA	'100	5WY7805	NA	6598187611	2	3011	100		1342	Power Board D219 (WIP/DTC)	NA	HALB	S.Real/AutoBF	1179.1	OES_D219 IIC_. (APROBA	NO	4985695852
573842	12/01/2015	ZSCR	551	030-1	NA	'100	5WY7943	NA	A2C53344226	2	3011	100		1301	pcb assy FOG CD33 VECU	NA	HALB	S.Real/AutoBF	556.24	OES_CD338_. (APROBACIO	NO	4985695870
573863	12/01/2015	ZSCR	551	042-4	NA	'100	5WK4146	NA	6593811404	85	3011	100		1424	ETIQUETA P131	NA	ROH	NA	61.2	OES_D219 IIC_. (APROBA	NO	4985694728
