No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Planta	APD	Espacio	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
612403	22/04/2015	ZSCR	551	030-1	NA	'054	5WY77078	NA	A2C53096706	16	3011	054	 	1301	circuit board	NA	ROH	NA	493.76	PSAD_EPSILON_O.OSCAR FO	NO	
612403	22/04/2015	ZSCR	551	030-1	NA	'054	A2C53391886	NA	A2C53380966	12	3011	054	 	1301	pcb panel multiple 4-up	NA	ROH	NA	250.56	PSAD_EPSILON_O.OSCAR FO	NO	
612407	22/04/2015	ZSCR	551	022-2	NA	'054	5WY77078	NA	A2C53096706	4	3011	054	 	1222	circuit board	NA	ROH	NA	123.44	PSAD_EPSILON_O.OSCAR FO	NO	
612407	22/04/2015	ZSCR	551	022-2	NA	'054	5WY72950	NA	A2C53096709	8	3011	054	 	1222	circuit board assy	NA	HALB	S.Real	1969.6	PSAD_EPSILON_O.OSCAR FO	NO	
612407	22/04/2015	ZSCR	551	022-2	NA	'054	A2C53391886	NA	A2C53380966	4	3011	054	 	1222	pcb panel multiple 4-up	NA	ROH	NA	83.52	PSAD_EPSILON_O.OSCAR FO	NO	
612432	22/04/2015	ZSCR	551	030-1	NA	'054	5WY77078	NA	A2C53096706	8	3011	054	 	1301	circuit board	NA	ROH	NA	246.88	PSAD_EPSILON_O.OSCAR FO	NO	
612432	22/04/2015	ZSCR	551	030-1	NA	'054	A2C53391886	NA	A2C53380966	16	3011	054	 	1301	pcb panel multiple 4-up	NA	ROH	NA	334.08	PSAD_EPSILON_O.OSCAR FO	NO	
612764	23/04/2015	ZSCR	551	030-1	NA	'054	A2C53367544	NA	A2C53374378A	12	3011	054	 	1301	VW10 circuit board assy 12FL SMD Top	NA	HALB	S.Real	2108.4	PS_VW10 LC_.	NO	
612804	23/04/2015	ZSCR	551	042-4	NA	'054	5WY72970	NA	A2C00031844	1	3011	054	 	1424	pin header 60P H 2R THP	NA	ROH	NA	31.08	PSAD_EPSILON_O.OSCAR FO	NO	
612804	23/04/2015	ZSCR	551	042-4	NA	'054	5WY79320	NA	A2C53219698	3	3011	054	 	1424	pin header 39P H 2R THP BK K2	NA	ROH	NA	109.41	PSAD_EPSILON_O.OSCAR FO	NO	
