No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Doc. Header Tex	Déficit Stock	No.Docto.SAP		
615726	02/05/2015	MB1A	551	022-2	B30301-00495	'050	NA	NA	A2C53440572	58	1095	pcb TLS_WU2010	NA	ROH	NA	S1_TIS 1D REDI_. (APRO	NO	4990089065		
615839	03/05/2015	ZSCR	551	034-2	NA	'015	S180150005	NA	A2C82360001	3	1342	module assy TPM	NA	HALB	S.Real/AutoBF	S1_TIS 1D MMC_. (APROB	NO	4990092228		
615840	03/05/2015	ZSCR	551	034-2	NA	'015	S180150005	NA	A2C82360001	3	1342	module assy TPM	NA	HALB	S.Real/AutoBF	S1_TIS 1D MMC_. (APROB	NO	4990092228		
616209	04/05/2015	MB1A	551	034-2	B30301-00495	'050	A2C90641800	NA	A2C53440572	120	1095	pcb TLS_WU2010	NA	ROH	NA	S1_TIS 1D REDI_. (APRO	NO	4990089065		
616227	04/05/2015	MB1A	551	034-2	K96019	'050	NA	NA	A2C00042316	240	1095	"18.52mH,5mA,SMD,COIL/Transponder Coil"	NA	ROH	NA	S1_TIS 1D REDI_. (APRO	NO	4990089065		
616227	04/05/2015	MB1A	551	034-2	K96019	'050	NA	NA	A2C00054029	240	1095	"26MHz,10ppm,NX3225SA,QUARTZ CRYSTAL/"	NA	ROH	NA	S1_TIS 1D REDI_. (APRO	NO	4990089065		
616227	04/05/2015	MB1A	551	034-2	K96019	'050	NA	NA	A2C53440572	240	1095	pcb TLS_WU2010	NA	ROH	NA	S1_TIS 1D REDI_. (APRO	NO	4990089065		
616231	04/05/2015	MB1A	551	034-2	B30301-00495	'050	A2C31749200	NA	A2C53440572	960	1095	pcb TLS_WU2010	NA	ROH	NA	S1_TIS 1D REDI_. (APRO	NO	4990089065		
617101	06/05/2015	MB1A	551	022-2	K96019	'015	NA	NA	A2C53413509	1	1095	cover NC	NA	ROH	NA	S1_TIS 1D REDI_. (APRO	NO	4990089065		
617444	06/05/2015	MB1A	551	034-2	K96019	'050	 -	NA	A2C00912700	60	1095	"SEN/SUZUKA 2.6,ATIC127 2.6 900kPa 1-Hole"	NA	ROH	NA	S1_TIS 1D REDI_. (APRO	NO	4990089065		
618730	11/05/2015	ZSCR	551	035-1	0	'015	A2C53406787	NA	A2C53430182	211	1351	"label 50,00x 25,00mm yello foil"		ROH	NA	S5_HYUNDAI TPMS ECU_A.A	NO			
618949	11/05/2015	ZSCR	551	050-1	NA	'015	5WK50227	NA	A2C37523600	1	1501	pcb assy	NA	HALB	S.Real/AutoBF	S1_BMW_A.ADRIAN CEBALLO	NO	4990090631		
618949	11/05/2015	ZSCR	551	050-1	NA	'015	5WK50220S	NA	A2C53393484	1	1501	housing	NA	ROH	NA	S1_BMW_A.ADRIAN CEBALLO	NO			
618951	11/05/2015	ZSCR	551	050-1	NA	'015	5WK50228	NA	A2C37523900	1	1501	pcb assy	NA	HALB	S.Real/AutoBF	S1_BMW_A.ADRIAN CEBALLO	NO	4990090651		
618951	11/05/2015	ZSCR	551	050-1	NA	'015	5WK50218S	NA	A2C53371500	1	1501	housing	NA	ROH	NA	S1_BMW_A.ADRIAN CEBALLO	NO			
618954	11/05/2015	ZSCR	551	034-4	NA	'015	5WK50226	NA	A2C37522000	3	1344	pcb assy 315	NA	HALB	S.Real/AutoBF	S1_BMW_A.ADRIAN CEBALLO	NO	4990090563		
618954	11/05/2015	ZSCR	551	034-4	NA	'015	5WK50218S	NA	A2C53371500	3	1344	housing	NA	ROH	NA	S1_BMW_A.ADRIAN CEBALLO	NO			
619105	12/05/2015	ZSCR	551	042-4	NA	'015	5WK50226	NA	A2C37522000	4	1424	pcb assy 315	NA	HALB	S.Real/AutoBF	S1_BMW_A.ADRIAN CEBALLO	NO	4990090577		
619105	12/05/2015	ZSCR	551	042-4	NA	'015	5WK50228	NA	A2C37523900	1	1424	pcb assy	NA	HALB	S.Real/AutoBF	S1_BMW_A.ADRIAN CEBALLO	NO	4990090597		
619105	12/05/2015	ZSCR	551	042-4	NA	'015	5WK50218S	NA	A2C53371500	4	1424	housing	NA	ROH	NA	S1_BMW_A.ADRIAN CEBALLO	NO			
619719	13/05/2015	MB1A	951	025-4	NA	'015	NA	AGB	5WY8387	2	1254	LF initiator DH RIGHT FRONT	NA	FERT	NA	S1_LF_A.ADRIAN CEBALLOS	NO	4990088682		
619721	13/05/2015	MB1A	951	025-4	NA	'015	5WY8373	AGB	5WY8373	2	1254	LF initiator LX Left Front	NA	FERT	NA	S1_LF_A.ADRIAN CEBALLOS	NO	4990088266		
619725	13/05/2015	MB1A	951	025-4	NA	'015	5WY8374	ABW	5WY8374	2	1254	LF initiator LX Right Front	NA	FERT	NA	S1_LF_A.ADRIAN CEBALLOS	NO	4990088345		
619732	13/05/2015	MB1A	951	025-4	NA	'015	5WY8383	AGB	5WY8383	1	1254	LF initiator KA left rear	NA	FERT	NA	S1_LF_A.ADRIAN CEBALLOS	NO	4990088607		
619774	13/05/2015	ZSCR	551	034-2	NA	'015	A2C30777500	NA	A2C53401335	2	1342	valve assy	NA	ROH	NA	S1_TG1C NISSAN_. (APRO	NO			
619845	13/05/2015	MB1A	951	025-3	NA	'015	NA	2800	A2C92270600	3	1253	actuator	ECN102592	FERT	NA	S1_TG1C NISSAN_. (APRO	NO	4990088801		
