No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Batch ID	No.Parte	Cantidad	Reason Code	Tipo	Tipo Sub	Doc. Header Tex	No.Docto.SAP
632706	19/06/2015	ZSCR	551	030-1	NA	'015	6598277607	NA	6598277607	23	1301	HALB	S.Real	OES_SKREEM_A.ADRIANA RE	4991913944
636355	30/06/2015	ZSCR	551	034-2	NA	'015	A2C83143000	NA	A2C8314420093	1	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991915261
636734	30/06/2015	ZSCR	551	034-2	NA	'015	A2C3752390093	NA	A2C3752390093	1	1342	HALB	S.Real	S1_BMW_A.ADRIAN CEBALLO	4991913992
636738	01/07/2015	ZSCR	551	034-2	NA	'015	A2C8647920393	NA	A2C8647920393	6	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
636753	01/07/2015	ZSCR	551	034-2	NA	'015	A2C83143000	NA	A2C8314420093	7	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991915261
637164	02/07/2015	ZSCR	551	034-2	NA	'015	A2C8647920393	NA	A2C8647920393	4	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
637169	02/07/2015	ZSCR	551	034-2	NA	'015	A2C8314420093	NA	A2C8314420093	1	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991915261
637348	02/07/2015	ZSCR	551	040-4	NA	'015	A2C53338452	NA	A2C53338452	1	1404	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914476
637351	02/07/2015	ZSCR	551	040-2	NA	'015	A2C53328411	NA	A2C53328411	1	1402	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914304
637374	02/07/2015	ZSCR	551	034-2	NA	'015	A2C53338452	NA	A2C53338452	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914223
637375	02/07/2015	ZSCR	551	034-2	NA	'015	A2C53338452	NA	A2C53338452	1	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914223
637386	02/07/2015	ZSCR	551	034-9	NA	'050	A2C8647920393	NA	A2C8647920393	3	1349	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914741
637555	02/07/2015	ZSCR	551	034-2	NA	'050	A2C9337410093	NA	A2C9337410093	16	1342	HALB	S.Real	S1_TESLA TG ECU_. (APR	4991914605
637616	03/07/2015	ZSCR	551	034-2	NA	'050	A2C8647920393	NA	A2C8647920393	4	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
637871	03/07/2015	ZSCR	551	034-2	NA	'015	A2C8158270393	NA	A2C8158270393	3	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914685
637872	03/07/2015	ZSCR	551	034-2	NA	'015	A2C8647920393	NA	A2C8647920393	2	1342	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914728
637877	03/07/2015	ZSCR	551	030-1	NA	'015	A2C9323680093	NA	A2C9323680093	11	1301	HALB	S.Real	S1_TIS1C 127 TESLA_. (	4991916717
637925	03/07/2015	ZSCR	551	030-1	NA	'015	A2C37966600	NA	A2C8551390093	48	1301	HALB	S.Real	S1_TIS1C127 BMW_A.ADRIA	4991916722
637948	03/07/2015	ZSCR	551	034-2	NA	'015	A2C37522000	NA	A2C3752200093	1	1342	HALB	S.Real	S1_BMW_A.ADRIAN CEBALLO	4991913998
637982	04/07/2015	ZSCR	551	034-2	NA	'015	A2C53328412	NA	A2C53328412	2	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914214
637989	04/07/2015	ZSCR	551	040-1	NA	'015	A2C53328412	NA	A2C53328412	5	1401	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914290
638002	04/07/2015	ZSCR	551	034-2	NA	'015	A2C8669800093	NA	A2C8669800093	49	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916330
638069	04/07/2015	ZSCR	551	034-2	NA	'015	A2C83143000	NA	A2C8314420093	1	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991915261
638123	04/07/2015	ZSCR	551	034-9	NA	'015	A2C8647890293	NA	A2C8647890293	3	1349	HALB	S.Real	S1_TG1C NISSAN_. (APRO	4991914695
638140	04/07/2015	ZSCR	551	034-2	NA	'050	A2C8673350093	NA	A2C8673350093	1	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
638141	04/07/2015	ZSCR	551	034-2	NA	'050	A2C8673320193	NA	A2C8673320193	1	1342	HALB	S.Real	S1_TIS 1D MMC_. (APROB	4991916701
638142	04/07/2015	ZSCR	551	034-2	NA	'050	A2C9183700093	NA	A2C9183700093	2	1342	HALB	S.Real	S1_TIS 1D REDI_. (APRO	4991916710
638144	04/07/2015	ZSCR	551	034-2	NA	'050	A2C8673320193	NA	A2C8673320193	3	1342	HALB	S.Real	S1_TIS 1D MMC_. (APROB	4991916701
638146	04/07/2015	ZSCR	551	040-3	NA	'050	A2C8673350093	NA	A2C8673350093	1	1403	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916503
638148	04/07/2015	ZSCR	551	034-2	NA	'050	A2C3150570093	NA	A2C3150570093	2	1342	HALB	S.Real	S1_TIS 1C MMC_. (APROB	4991916355
638218	05/07/2015	ZSCR	551	034-2	NA	'015	A2C8314440093	NA	A2C8314440093	2	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916295
638263	05/07/2015	ZSCR	551	034-2	NA	'015	A2C8669800093	NA	A2C8669800093	1	1342	HALB	S.Real	S1_TG1C UNIVERSAL_. (A	4991916336
638724	06/07/2015	ZSCR	551	040-3	NA	'015	5WY8833	NA	A2C53338452	7	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914462
638728	06/07/2015	ZSCR	551	040-3	NA	'015	5WY8834	NA	A2C53328412	4	1403	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914440
638735	06/07/2015	ZSCR	551	034-2	NA	'015	5WY8833	NA	A2C53338452	2	1342	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914223
638753	06/07/2015	ZSCR	551	034-2	NA	'015	A2C37966400	NA	A2C8551390093	1	1342	HALB	S.Real	S1_TIS1C127 BMW_A.ADRIA	4991916733
639326	07/07/2015	ZSCR	551	034-2	NA	'050	A2C3776240093	NA	A2C3776240093	2	1342	HALB	S.Real	S4_BMW FBD 3_. (APROBA	4991917268
639327	07/07/2015	ZSCR	551	034-2	NA	'050	A2C8673350093	NA	A2C8673350093	5	1342	HALB	S.Real	S1_TIS 1D CHRYSLER_. (	4991916494
639370	08/07/2015	ZSCR	551	042-4	NA	'015	5WY8834	NA	A2C53328412	2	1424	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914519
639370	08/07/2015	ZSCR	551	042-4	NA	'015	5WY8833	NA	A2C53338452	1	1424	HALB	S.Real	S1_DCU_A.ADRIAN CEBALLO	4991914532
