No.Item	Fecha	Txs SAP	Mov	Código Scrap	O.I.	APD	Parte Padre	Parte Padre 2	Batch ID	No.Parte	Cantidad	A	B	C	Reason Code	Descripción	Info.Obl.	Tipo	Tipo Sub	Valor	Doc. Header Tex	Déficit Stock	No.Docto.SAP
647611	31/07/2015	ZSCR	551	050-5	NA	'054	5WK44675	5WK44675	NA	A2C33000300	13	3011	054	 	1505	pcb assy	8	HALB	S.Real	1630.33	PS_FIAT BRAZIL_. (APRO	NO	4994365102
650287	07/08/2015	ZSCR	551	034-2	NA	'054	A2C8664850093	A2C86648400	NA	A2C8664850093	4	3011	054	 	1342	PSA 8-A/V PCB COMPLETE SMD ASSEMBLY	1	HALB	S.Real	1253.16	PS_LEGACY_C.CAROLINA OT	NO	
652050	12/08/2015	ZSCR	551	050-1	NA	'054	A2C37924700	A2C37924700	NA	A2C37744300	3	3011	054	 	1501	pcb assy PTFSPEED15 V01	4	HALB	S.Real	505.26	PS_FIAT BRAZIL_.	NO	
652242	13/08/2015	ZSCR	551	050-2	NA	'054	A2C97219600	A2C97219600	NA	A2C96291400	4	3011	054	 	1502	pcb assy RENT4BGA	1	HALB	S.Real	552.68	PS_RENAULT_.	NO	
652256	13/08/2015	ZSCR	551	050-1	NA	'054	A2C83972000	A2C91085700	NA	A2C8397200093	7	3011	054	 	1501	pcb topSMD Top	6	HALB	S.Real	2740.43	PS_SDM10+_.	NO	4994384854
652916	14/08/2015	ZSCR	551	050-5	NA	'054	5WY73060	5WY73060	NA	6590119013	1	3011	054	 	1505	Subensamble IM MY06 10L	#N/A	HALB	S.Real/AutoBF	308.14	PSAD_EPSILON_O.OSCAR FO	NO	
652916	14/08/2015	ZSCR	551	050-5	NA	'054	5WY74060	5WY74060	NA	6590119035	1	3011	054	 	1505	Func tests Epsilon GMX001S 8 Loops - SP	1	HALB	S.Real	410.25	PSAD_EPSILON_O.OSCAR FO	NO	
652916	14/08/2015	ZSCR	551	050-5	NA	'054	5WY88580	5WY88580	NA	A2C53389834	1	3011	054	 	1505	ACU MY09 M20 08	1	HALB	S.Real	275.35	PSAD_EPSILON_O.OSCAR FO	NO	
652922	14/08/2015	ZSCR	551	034-4	NA	'054	5WK44675	5WK44675	NA	A2C33000300	1	3011	054	 	1344	pcb assy	8	HALB	S.Real	125.41	PS_FIAT BRAZIL_.	NO	4994365102
652922	14/08/2015	ZSCR	551	034-4	NA	'054	A2C37924700	A2C37924700	NA	A2C37744300	1	3011	054	 	1344	pcb assy PTFSPEED15 V01	4	HALB	S.Real	168.42	PS_FIAT BRAZIL_.	NO	
657095	28/08/2015	MB1A	551	022-2	K96019	'054	NA	#N/A	06AB	A2C92735000	2	3011	054	 	1095	ACU HONHRS7CIV MY16 S20 04 04 1 0 0 HSA	NA	FERT	NA	694.16	PS_HONDA HRS7_.	NO	x
658576	02/09/2015	ZSCR	551	030-1	NA	'054	5WK44752	5WK44752	NA	A2C32679900	6	3011	054	 	1301	pcb	4	ROH	NA	116.46	PS_HONDA HRS6_J.JUAN CH	NO	
658737	02/09/2015	ZSCR	551	022-2	NA	'054	A2C37964107	A2C37964107	NA	A2C35116200	5	3011	054	 	1222	pcb assy DAGSTAR2 D_3	2	HALB	S.Real	2052.05	PSAD_DAIMLER STAR 2_A.A	NO	
660386	07/09/2015	ZSCR	551	030-1	NA	'054	A2C8397200092	A2C91085700	NA	A2C34638400	16	3011	054	 	1301	pcb 6-lay main	6	ROH	NA	418.88	PS_SDM10+_.	NO	4994384854
660795	08/09/2015	ZSCR	551	030-1	NA	'054	5WK44754	5WK44754	NA	A2C32679900	6	3011	054	 	1301	pcb	2	ROH	NA	116.46	PS_HONDA HRS6_J.JUAN CH	NO	
661311	09/09/2015	ZSCR	551	030-1	NA	'054	5WK44754	5WK44754	NA	A2C32679900	6	3011	054	 	1301	pcb	2	ROH	NA	116.46	PS_HONDA HRS6_J.JUAN CH	NO	
661919	10/09/2015	ZSCR	551	030-1	NA	'054	5WY87210	5WY87210	NA	A2C53391891	1	3011	054	 	1301	circuit board assy	1	HALB	S.Real	267.58	PSAD_EPSILON_O.OSCAR FO	NO	
662064	11/09/2015	ZSCR	551	030-1	NA	'054	A2C83972000	A2C91085700	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	6	HALB	S.Real	391.49	PS_SDM10+_.	NO	4994384854
662074	11/09/2015	ZSCR	551	030-1	NA	'054	A2C83972000	A2C91085700	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	6	HALB	S.Real	391.49	PS_SDM10+_.	NO	4994384854
662078	11/09/2015	ZSCR	551	030-1	NA	'054	A2C83972000	A2C91085700	NA	A2C8397200093	1	3011	054	 	1301	pcb topSMD Top	6	HALB	S.Real	391.49	PS_SDM10+_.	NO	4994384854
662226	11/09/2015	MB1A	551	022-2	B30301-00295	'054	NA	#N/A	NA	A2C94645500	1	3011	054	 	1095	multipoint connector116/ 95P H 2SYS 1018	NA	ROH	NA	85.79	PS_AUDI_.	NO	4994305002
662226	11/09/2015	MB1A	551	022-2	B30301-00295	'054	NA	#N/A	NA	A2C94646800	1	3011	054	 	1095	multipoint connector116/111P H 2SYS 1018	NA	ROH	NA	85.04	PS_AUDI_.	NO	x
662941	14/09/2015	ZSCR	551	034-8	NA	'054	A2C82134800	A2C82134800	NA	A2C53395713	1	3011	054	 	1348	housing WIC P BK A-D	2	ROH	NA	51.54	PS_SDM10+_.	NO	
663388	15/09/2015	ZSCR	551	030-1	NA	'054	5WK44760	5WK44760	NA	A2C32679900	6	3011	054	 	1301	pcb	1	ROH	NA	116.46	PS_HONDA HRS6_J.JUAN CH	NO	
663426	15/09/2015	ZSCR	551	040-3	NA	'054	A2C91085700	A2C91085700	NA	A2C92598000	3	3011	054	 	1403	cover FIP T BK Laser Weld	6	ROH	NA	7.68	PS_SDM30_.	NO	4994384854
663429	15/09/2015	ZSCR	551	040-3	NA	'054	A2C87074500	A2C87074500	NA	A2C83145200	200	3011	054	 	1403	certification label identificati	3	ROH	NA	60	PS_SDM30_.	NO	
663493	15/09/2015	ZSCR	551	040-3	NA	'054	A2C83007700	A2C83007700	NA	A2C83008400	100	3011	054	 	1403	label identificati	2	ROH	NA	23	PSAD_VOLVO P15_.	NO	
663496	15/09/2015	ZSCR	551	040-3	NA	'054	A2C83046900	A2C83046900	NA	A2C83043900	40	3011	054	 	1403	label identificati	1	ROH	NA	51.6	PSAD_LAND ROVER_.	NO	
663523	15/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C8522100193	1	3011	054	 	1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4994305002
663526	15/09/2015	MB1A	551	030-1	K96019	'054	NA	#N/A	NA	A2C8522100193	1	3011	054	 	1095	pcb assy DAGSM D_2_ SMD TOP	NA	HALB	S.Real	176.21	PSAD_DAIMLER SMART_F.FE	NO	4994305002
664045	17/09/2015	ZSCR	551	035-1	0	'054	A2C95268300	A2C95268300	NA	6593811404	1428	3011	054	 	1351	ETIQUETA P131	1	ROH	NA	1085.28	PS_FORD_L.LPL AUTOMATIC	NO	
664048	17/09/2015	ZSCR	551	035-1	0	'054	A2C84371000	A2C84371000	NA	A2C83008400	219	3011	054	 	1351	label identificati	1	ROH	NA	50.37	PS_LEGACY_L.LPL AUTOMAT	NO	
